treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.3542	40.0871	12.2042	1.3542	5.0109	0.3212	4.2166	15.6023	NA	0.047	0	NA	0.0666	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	6.6494	4.0888	6.0298	6.6494	0.5111	0.1587	41.905	3.221	NA	0	0.0068	NA	0	0.0074	NA
008277a5fd42cb04f88c34a26df200ce	0.0109	6.0465	6.4555	0.0109	0.7558	0.1699	0.0641	4.449	NA	0.8016	7e-04	NA	0.8276	8e-04	NA
00b05a391e262ebf75433a5901c94f69	0.2497	9.8845	3.8513	0.2497	1.2356	0.1014	2.4636	12.191	NA	0.1248	0	NA	0.1602	0	NA
0104f91f1cc33e553be3bfc68a517ce7	3.8944	8.8324	4.5126	3.8944	1.104	0.1188	32.7938	9.297	NA	0	0	NA	0	0	NA
010f0a7d84a28949c78be5930457dabc	0.1482	5.6172	6.5055	0.1482	0.7022	0.1712	0.8654	4.1014	NA	0.3581	0.0013	NA	0.4101	0.0015	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.5726	28.2771	7.3704	3.5726	3.5346	0.194	18.4192	18.2238	NA	1e-04	0	NA	3e-04	0	NA
018166381b3825f4433929cd661c73b1	30.3157	3.8804	6.8455	30.3157	0.4851	0.1801	168.285	2.6926	NA	0	0.0189	NA	0	0.0199	NA
01ba5a538d3091e6f291367ab4c114de	0.7349	44.6606	15.9232	0.7349	5.5826	0.419	1.7538	13.3226	NA	0.1933	0	NA	0.2364	0	NA
029ac96df8a3842cd51b0e24cb25d147	9.7513	151.4573	25.8611	9.7513	18.9322	0.6806	14.3284	27.8187	NA	5e-04	0	NA	0.0012	0	NA
02c5ba36522584f868e4d3548c1e02af	4.8009	15.6067	7.4783	4.8009	1.9508	0.1968	24.395	9.9129	NA	0	0	NA	1e-04	0	NA
033d19faa0ce86082c0215df5bffbdb5	5e-04	9.9901	7.1184	5e-04	1.2488	0.1873	0.0026	6.6663	NA	0.9595	0	NA	0.9642	0	NA
03522a86e8b54bd9508023e65e04dfd1	7.964	15.2208	8.7583	7.964	1.9026	0.2305	34.5537	8.2548	NA	0	0	NA	0	0	NA
03576e58e1c6ff8ce50c0fadbbf4860b	5.7216	41.49	10.8142	5.7216	5.1862	0.2846	20.1053	18.224	NA	1e-04	0	NA	2e-04	0	NA
035ad00cb4268363afb29c9db102e959	1.3154	12.8399	2.6526	1.3154	1.605	0.0698	18.844	22.9922	NA	1e-04	0	NA	3e-04	0	NA
0362c5f6815777388ea02ff51947c85e	0.6237	19.5825	5.4103	0.6237	2.4478	0.1424	4.3807	17.1926	NA	0.0431	0	NA	0.0615	0	NA
036fd95372a59cb54c18db11e833a6e5	0.0846	17.5838	19.7421	0.0846	2.198	0.5195	0.1629	4.2307	NA	0.6888	0.0011	NA	0.7245	0.0012	NA
03c3804b27717d58097d438f97396ac2	0.1591	28.6268	4.6355	0.1591	3.5783	0.122	1.3042	29.3338	NA	0.2606	0	NA	0.3118	0	NA
040d33a988e7004112ecdeb4e029b32f	0.0904	7.0677	3.0024	0.0904	0.8835	0.079	1.1447	11.1815	NA	0.2914	0	NA	0.3429	0	NA
041ea541f1c4f5b3ffdc193464a3c139	4.4133	6.8334	6.0356	4.4133	0.8542	0.1588	27.7855	5.3778	NA	0	1e-04	NA	0	2e-04	NA
043aab733df943204ad5f00be077291c	4.7291	23.413	5.4995	4.7291	2.9266	0.1447	32.6762	20.222	NA	0	0	NA	0	0	NA
0468f59da37cad8e1d8dc328ddff8811	8.9213	9.3525	6.1904	8.9213	1.1691	0.1629	54.7641	7.1764	NA	0	0	NA	0	0	NA
04c4e57c46ca8bf11cdf9eb198513e84	9e-04	35.7882	18.5626	9e-04	4.4735	0.4885	0.0019	9.1579	NA	0.9653	0	NA	0.9685	0	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	6.4009	19.0054	6.971	6.4009	2.3757	0.1834	34.8922	12.9501	NA	0	0	NA	0	0	NA
055582bf87abfc587b152016a37adea2	60.5159	42.6479	8.8743	60.5159	5.331	0.2335	259.1301	22.8274	NA	0	0	NA	0	0	NA
0586aaf9e2db94ce68674fcfc109de01	5.8833	19.3654	10.9107	5.8833	2.4207	0.2871	20.4905	8.4307	NA	1e-04	0	NA	2e-04	0	NA
05871147ff12b16b162fac81396e211a	8.6979	64.7676	9.3798	8.6979	8.0959	0.2468	35.2373	32.7987	NA	0	0	NA	0	0	NA
059f46cc760a6f4330ae67c7a1edffe4	0.0204	8.725	8.8708	0.0204	1.0906	0.2334	0.0875	4.6719	NA	0.769	5e-04	NA	0.7967	6e-04	NA
05b0dee66b0a70f529ddb70ec3be9155	24.5676	7.6066	14.9965	24.5676	0.9508	0.3946	62.2523	2.4093	NA	0	0.0328	NA	0	0.034	NA
05db447f5d09ea1e6ea1697bc67c868d	6.1002	12.1353	3.8147	6.1002	1.5169	0.1004	60.7662	15.1105	NA	0	0	NA	0	0	NA
05dfade82ae64d4b1a7791a874417099	0.5528	99.5276	7.1342	0.5528	12.4409	0.1877	2.9446	66.2664	NA	0.0943	0	NA	0.1248	0	NA
0601ba88d2b9420350741fd55855a7c4	4.2074	6.7354	6.9133	4.2074	0.8419	0.1819	23.1267	4.6277	NA	0	5e-04	NA	1e-04	6e-04	NA
06b6b456fa4091284cee40092b308586	9.197	10.2435	3.8097	9.197	1.2804	0.1003	91.7354	12.7718	NA	0	0	NA	0	0	NA
