treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.1433	14.2716	1.8972	0.1433	7.1358	0.1459	0.982	48.8957	NA	0.3398	0	NA	0.422	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	2.5959	1.0379	2.6229	2.5959	0.519	0.2018	12.8662	2.5721	NA	0.0033	0.1145	NA	0.0133	0.1502	NA
0046281d7bcee40b30209fff59cb8a72	0.0106	0.1943	2.1858	0.0106	0.0971	0.1681	0.0632	0.5778	NA	0.8054	0.5749	NA	0.8434	0.6086	NA
008277a5fd42cb04f88c34a26df200ce	0.0033	1.9103	1.9964	0.0033	0.9551	0.1536	0.0212	6.2196	NA	0.8864	0.0127	NA	0.9105	0.0239	NA
00b05a391e262ebf75433a5901c94f69	0.0511	1.7936	1.8152	0.0511	0.8968	0.1396	0.3661	6.4227	NA	0.5556	0.0115	NA	0.6288	0.022	NA
0104f91f1cc33e553be3bfc68a517ce7	1.0794	1.5536	1.4508	1.0794	0.7768	0.1116	9.6723	6.9606	NA	0.0083	0.0088	NA	0.0261	0.0178	NA
010f0a7d84a28949c78be5930457dabc	0.1115	1.8943	2.1203	0.1115	0.9471	0.1631	0.6835	5.8071	NA	0.4233	0.0158	NA	0.5039	0.0285	NA
0141cc500b9cfd472681696cfe8f2eb1	1.9997	1.1718	1.4919	1.9997	0.5859	0.1148	17.4252	5.1053	NA	0.0011	0.0231	NA	0.006	0.0389	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.0764	0.7168	1.2547	0.0764	0.3584	0.0965	0.7917	3.7132	NA	0.3898	0.053	NA	0.4706	0.0783	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.5553	12.2754	4.6803	2.5553	6.1377	0.36	7.0976	17.0481	NA	0.0195	2e-04	NA	0.0475	0.001	NA
01748fb97de74d17bdb942aeaa74a1aa	1.2874	17.6832	5.9905	1.2874	8.8416	0.4608	2.7939	19.1872	NA	0.1185	1e-04	NA	0.1822	6e-04	NA
