treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	0.6035	0.9366	2.3973	0.6035	0.9366	0.2997	2.0139	3.1254	NA	0.1936	0.1151	NA	0.2719	0.207	NA
00089b46831e8ef8664d2a632b8145c5	0.4443	2.2669	1.4401	0.4443	2.2669	0.18	2.4683	12.593	NA	0.1548	0.0075	NA	0.2308	0.0294	NA
002707428636a815354367f102120956	1.3453	5.9718	6.9866	1.3453	5.9718	0.8733	1.5404	6.8379	NA	0.2497	0.0309	NA	0.3297	0.0771	NA
00361d4ec0f6bc9593b3365b7718c95b	0.0774	0.0553	0.96	0.0774	0.0553	0.12	0.6446	0.4608	NA	0.4452	0.5164	NA	0.5174	0.6247	NA
0036d59b9c2c58b22fd5945b4aa3f348	2.9174	0.8805	1.8742	2.9174	0.8805	0.2343	12.4526	3.7586	NA	0.0077	0.0885	NA	0.0415	0.1696	NA
0046281d7bcee40b30209fff59cb8a72	0.1889	0.0037	1.7083	0.1889	0.0037	0.2135	0.8846	0.0176	NA	0.3745	0.8979	NA	0.4504	0.9302	NA
005cfea3993b55186791d40ea700bb91	2.2766	3.1017	2.3682	2.2766	3.1017	0.296	7.6907	10.478	NA	0.0242	0.0119	NA	0.0743	0.04	NA
005e34772346d65b74ff2f90ea4ec0ee	0.7288	0.1571	0.7147	0.7288	0.1571	0.0893	8.1573	1.758	NA	0.0213	0.2215	NA	0.0697	0.3317	NA
008277a5fd42cb04f88c34a26df200ce	0.0375	0.0589	1.6744	0.0375	0.0589	0.2093	0.1793	0.2814	NA	0.6832	0.6102	NA	0.7334	0.7063	NA
00b05a391e262ebf75433a5901c94f69	0.5354	0.8276	0.832	0.5354	0.8276	0.104	5.1481	7.9577	NA	0.053	0.0225	NA	0.1161	0.0618	NA
00b65cc09893d47765ac0925658ae35e	2.9188	6.828	2.3722	2.9188	6.828	0.2965	9.8433	23.0268	NA	0.0139	0.0014	NA	0.0551	0.0096	NA
00c799f63b8289b2b606e7f2e056cf59	0.1955	4.6682	1.3495	0.1955	4.6682	0.1687	1.159	27.6737	NA	0.3131	8e-04	NA	0.3943	0.0068	NA
0104f91f1cc33e553be3bfc68a517ce7	1.2901	0.9283	1.0738	1.2901	0.9283	0.1342	9.6115	6.916	NA	0.0147	0.0302	NA	0.0568	0.0759	NA
010f0a7d84a28949c78be5930457dabc	0.1619	1.2275	1.9333	0.1619	1.2275	0.2417	0.6698	5.0794	NA	0.4368	0.0542	NA	0.5086	0.1186	NA
0141cc500b9cfd472681696cfe8f2eb1	1.9339	0.9271	0.6242	1.9339	0.9271	0.078	24.7852	11.8816	NA	0.0011	0.0087	NA	0.0138	0.0326	NA
014e0244ce0227c40879daa0bae73ee2	0.6206	0.0058	1.2553	0.6206	0.0058	0.1569	3.9548	0.0371	NA	0.0819	0.8521	NA	0.1513	0.897	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.2188	0.2032	0.3535	0.2188	0.2032	0.0442	4.9523	4.5993	NA	0.0567	0.0643	NA	0.1213	0.1342	NA
016131c962c5b8b9fa691ffd928a7ad7	2.7845	10.3962	2.5763	2.7845	10.3962	0.322	8.6464	32.2828	NA	0.0187	5e-04	NA	0.0646	0.0051	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.9746	8.0384	3.3966	2.9746	8.0384	0.4246	7.0062	18.9328	NA	0.0294	0.0024	NA	0.0817	0.0142	NA
