treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.7531	41.8307	15.7829	0.7531	3.8028	0.2978	2.529	12.77	NA	0.1177	0	NA	0.1684	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.7147	8.4269	13.0276	8.7147	0.7661	0.2458	35.454	3.1167	NA	0	0.0027	NA	0	0.0028	NA
008277a5fd42cb04f88c34a26df200ce	0.0019	9.5111	9.6636	0.0019	0.8646	0.1823	0.0105	4.7421	NA	0.9187	0	NA	0.9365	1e-04	NA
00b05a391e262ebf75433a5901c94f69	0.0341	13.2411	8.2523	0.0341	1.2037	0.1557	0.2187	7.7309	NA	0.6419	0	NA	0.7222	0	NA
0104f91f1cc33e553be3bfc68a517ce7	3.9418	10.5459	8.8306	3.9418	0.9587	0.1666	23.658	5.7541	NA	0	0	NA	0	0	NA
010f0a7d84a28949c78be5930457dabc	0.0336	15.5397	10.3663	0.0336	1.4127	0.1956	0.1718	7.2227	NA	0.6802	0	NA	0.7548	0	NA
018166381b3825f4433929cd661c73b1	42.9252	30.9603	10.9565	42.9252	2.8146	0.2067	207.6435	13.615	NA	0	0	NA	0	0	NA
01ba5a538d3091e6f291367ab4c114de	0.9872	65.2639	21.4172	0.9872	5.9331	0.4041	2.443	14.6823	NA	0.124	0	NA	0.1763	0	NA
033d19faa0ce86082c0215df5bffbdb5	0.1701	17.4167	10.1212	0.1701	1.5833	0.191	0.8908	8.2912	NA	0.3495	0	NA	0.4296	0	NA
03522a86e8b54bd9508023e65e04dfd1	12.1397	17.25	13.6977	12.1397	1.5682	0.2584	46.9715	6.0677	NA	0	0	NA	0	0	NA
03576e58e1c6ff8ce50c0fadbbf4860b	7.6676	44.5383	11.8798	7.6676	4.0489	0.2241	34.208	18.0637	NA	0	0	NA	0	0	NA
035ad00cb4268363afb29c9db102e959	0.2404	23.3131	6.0878	0.2404	2.1194	0.1149	2.0931	18.4511	NA	0.1539	0	NA	0.2143	0	NA
