treatment_SS	species_SS	individual_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	individual_MeanSq	Residuals_MeanSq	treatment_F	species_F	individual_F	Residuals_F	treatment_pvalue	species_pvalue	individual_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	individual_pvalue.adj	Residuals_pvalue.adj
002c8b16c60ae57f34435016c957fe69	140.8677	190.1812	31.1771	56.6483	70.4339	19.0181	1.3555	0.8992	78.3313	21.1505	1.5075	NA	0	0	0.1016	NA	0	0	0.2016	NA
003096becb056512a6852b6d97c81e70	1049.8205	1224.6621	186.9581	494.8729	524.9103	122.4662	8.1286	7.8551	66.8239	15.5906	1.0348	NA	0	0	0.4394	NA	0	0	0.6063	NA
005a280b00d3ecf88ee311777cf5222e	0.8255	49.9325	6.9087	12.5495	0.4128	4.9932	0.3004	0.1992	2.0721	25.0666	1.5079	NA	0.1344	0	0.1015	NA	0.1397	0	0.2016	NA
005a669dcc950227443b1c6e9c6e8d8b	242.9725	402.8155	55.2232	81.5704	121.4862	40.2816	2.401	1.2948	93.8286	31.111	1.8544	NA	0	0	0.028	NA	0	0	0.0717	NA
00e1fdb5474821f870fd6c48acac291c	2.0098	551.5553	97.907	47.3429	1.0049	55.1555	4.2568	0.7515	1.3373	73.3965	5.6646	NA	0.2699	0	0	NA	0.2782	0	0	NA
0120a2850c6c5d13db081628957cfdbd	21.07	174.1066	29.2056	56.0038	10.535	17.4107	1.2698	0.8889	11.8511	19.5857	1.4284	NA	0	0	0.1338	NA	1e-04	0	0.2503	NA
01896a313d0020c8b2b980d58a1a0267	10.8011	250.3776	6.4328	17.5747	5.4006	25.0378	0.2797	0.279	19.3594	89.753	1.0026	NA	0	0	0.4756	NA	0	0	0.643	NA
019824552e3a676db7346d8a462c6d9c	138.725	135.6864	18.3466	58.4512	69.3625	13.5686	0.7977	0.9278	74.7604	14.6246	0.8598	NA	0	0	0.6469	NA	0	0	0.8107	NA
0209584f794e64ff8cbb96bea8f1325c	77.5936	196.666	23.7622	49.9383	38.7968	19.6666	1.0331	0.7927	48.9444	24.8106	1.3034	NA	0	0	0.2025	NA	0	0	0.346	NA
02677ced35ad45c6a17b10f76f78b09a	14.0968	76.6394	3.652	20.0571	7.0484	7.6639	0.1588	0.3184	22.1392	24.0727	0.4987	NA	0	0	0.9669	NA	0	0	0.9994	NA
028ee642eb064920b3b1a73eace34e08	152.7972	454.6773	14.9333	81.8758	76.3986	45.4677	0.6493	1.2996	58.7856	34.9855	0.4996	NA	0	0	0.9666	NA	0	0	0.9994	NA
02cb5f2bfea2a37020777fd75fc88635	131.237	149.4451	17.7123	43.8431	65.6185	14.9445	0.7701	0.6959	94.29	21.4744	1.1066	NA	0	0	0.3639	NA	0	0	0.5292	NA
037c1287b740ca30010808aa48bdfce3	99.5872	272.2006	14.3733	50.4838	49.7936	27.2201	0.6249	0.8013	62.1387	33.9686	0.7799	NA	0	0	0.7419	NA	0	0	0.8731	NA
040ed2ecb0d3491b52973596fa95cba3	127.3512	228.5038	33.1613	64.7222	63.6756	22.8504	1.4418	1.0273	61.9812	22.2423	1.4034	NA	0	0	0.1457	NA	0	0	0.2693	NA
0411ac2d97adabe3fc25319405b1189e	12.6696	256.1792	12.5359	25.6567	6.3348	25.6179	0.545	0.4072	15.5551	62.9048	1.3383	NA	0	0	0.1809	NA	0	0	0.3156	NA
0416cad93e1297447e4c699ddd42b0c5	14.2452	183.1432	10.5232	18.0587	7.1226	18.3143	0.4575	0.2866	24.8481	63.8919	1.5962	NA	0	0	0.0739	NA	0	0	0.1559	NA
044e2b43b0cbfe1fd830937719e114e5	116.7033	414.2464	30.9897	66.5153	58.3516	41.4246	1.3474	1.0558	55.2678	39.2354	1.2762	NA	0	0	0.2208	NA	0	0	0.372	NA
04b43c4dc222ed588f7ce3bc282486fc	18.1128	619.1931	69.4959	102.0947	9.0564	61.9193	3.0216	1.6206	5.5885	38.2088	1.8645	NA	0.0058	0	0.0269	NA	0.0064	0	0.0698	NA
05125836f2d61271016ae0802d7bd9a3	102.9176	245.3528	70.0626	59.5755	51.4588	24.5353	3.0462	0.9456	54.4167	25.9456	3.2213	NA	0	0	1e-04	NA	0	0	6e-04	NA
063f36c3100d763046ee74ca4f412f86	198.8582	577.7435	46.5338	83.8525	99.4291	57.7744	2.0232	1.331	74.703	43.407	1.5201	NA	0	0	0.0972	NA	0	0	0.1939	NA
