treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
002c8b16c60ae57f34435016c957fe69	140.8677	190.1812	87.8253	70.4339	19.0181	1.0212	68.97	18.6229	NA	0	0	NA	0	0	NA
003096becb056512a6852b6d97c81e70	1049.8205	1224.6621	681.831	524.9103	122.4662	7.9283	66.2074	15.4468	NA	0	0	NA	0	0	NA
005a280b00d3ecf88ee311777cf5222e	0.8255	49.9325	19.4583	0.4128	4.9932	0.2263	1.8243	22.0687	NA	0.1675	0	NA	0.1765	0	NA
005a669dcc950227443b1c6e9c6e8d8b	242.9725	402.8155	136.7936	121.4862	40.2816	1.5906	76.3765	25.3244	NA	0	0	NA	0	0	NA
00e1fdb5474821f870fd6c48acac291c	2.0098	551.5553	145.2498	1.0049	55.1555	1.689	0.595	32.6567	NA	0.5538	0	NA	0.5642	0	NA
0120a2850c6c5d13db081628957cfdbd	21.07	174.1066	85.2094	10.535	17.4107	0.9908	10.6328	17.5722	NA	1e-04	0	NA	1e-04	0	NA
01896a313d0020c8b2b980d58a1a0267	10.8011	250.3776	24.0075	5.4006	25.0378	0.2792	19.346	89.6908	NA	0	0	NA	0	0	NA
019824552e3a676db7346d8a462c6d9c	138.725	135.6864	76.7978	69.3625	13.5686	0.893	77.6738	15.1945	NA	0	0	NA	0	0	NA
0209584f794e64ff8cbb96bea8f1325c	77.5936	196.666	73.7005	38.7968	19.6666	0.857	45.2714	22.9487	NA	0	0	NA	0	0	NA
02677ced35ad45c6a17b10f76f78b09a	14.0968	76.6394	23.709	7.0484	7.6639	0.2757	25.5666	27.7995	NA	0	0	NA	0	0	NA
028ee642eb064920b3b1a73eace34e08	152.7972	454.6773	96.8091	76.3986	45.4677	1.1257	67.8684	40.3911	NA	0	0	NA	0	0	NA
02cb5f2bfea2a37020777fd75fc88635	131.237	149.4451	61.5554	65.6185	14.9445	0.7158	91.6766	20.8792	NA	0	0	NA	0	0	NA
037c1287b740ca30010808aa48bdfce3	99.5872	272.2006	64.8571	49.7936	27.2201	0.7542	66.0259	36.0936	NA	0	0	NA	0	0	NA
040ed2ecb0d3491b52973596fa95cba3	127.3512	228.5038	97.8835	63.6756	22.8504	1.1382	55.9451	20.0762	NA	0	0	NA	0	0	NA
0411ac2d97adabe3fc25319405b1189e	12.6696	256.1792	38.1925	6.3348	25.6179	0.4441	14.2644	57.6851	NA	0	0	NA	0	0	NA
0416cad93e1297447e4c699ddd42b0c5	14.2452	183.1432	28.5819	7.1226	18.3143	0.3323	21.4312	55.106	NA	0	0	NA	0	0	NA
044e2b43b0cbfe1fd830937719e114e5	116.7033	414.2464	97.505	58.3516	41.4246	1.1338	51.4665	36.5368	NA	0	0	NA	0	0	NA
04b43c4dc222ed588f7ce3bc282486fc	18.1128	619.1931	171.5906	9.0564	61.9193	1.9952	4.539	31.0335	NA	0.0134	0	NA	0.0151	0	NA
05125836f2d61271016ae0802d7bd9a3	102.9176	245.3528	129.6381	51.4588	24.5353	1.5074	34.137	16.2763	NA	0	0	NA	0	0	NA
063f36c3100d763046ee74ca4f412f86	198.8582	577.7435	130.3863	99.4291	57.7744	1.5161	65.5813	38.1067	NA	0	0	NA	0	0	NA
064afb2e2575e5d6e5cecf7ab3b577e9	69.4914	601.5382	180.8003	34.7457	60.1538	2.1023	16.5272	28.6129	NA	0	0	NA	0	0	NA
06b7892295e942dc077eda2d7e4e86fa	52.6987	669.3856	129.7842	26.3493	66.9386	1.5091	17.4601	44.3561	NA	0	0	NA	0	0	NA
06c3d7a612ed19363bb3ab44dfeedef3	208.8626	52.6616	220.9935	104.4313	5.2662	2.5697	40.6396	2.0493	NA	0	0.0377	NA	0	0.0378	NA
06f2fff6329a0cf37f63af7b10e0c5a0	106.0052	245.772	153.7639	53.0026	24.5772	1.788	29.6443	13.746	NA	0	0	NA	0	0	NA
06f8a3a147fca20397796827449cea8d	2.688	130.7076	59.7822	1.344	13.0708	0.6951	1.9334	18.803	NA	0.1509	0	NA	0.1593	0	NA
06ff7c2ce02faf9aad837f4bffc76d39	36.9365	167.0454	27.161	18.4683	16.7045	0.3158	58.4761	52.8917	NA	0	0	NA	0	0	NA
07bb59ea50eb069d1a242711a3fd8043	28.8276	310.5983	42.2716	14.4138	31.0598	0.4915	29.3243	63.1901	NA	0	0	NA	0	0	NA
0872b27a9c01fb424b61c20e3c48b5c7	34.0154	202.1646	58.0146	17.0077	20.2165	0.6746	25.212	29.9686	NA	0	0	NA	0	0	NA
0903ddd060028e7bd985a8bd183db8a1	32.1353	66.5193	43.5377	16.0676	6.6519	0.5063	31.7384	13.1396	NA	0	0	NA	0	0	NA
093ab1e64516072cd1877dfdcc3931bf	305.4422	218.6521	375.8083	152.7211	21.8652	4.3699	34.9487	5.0036	NA	0	0	NA	0	0	NA
