treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
01d167a6dbdb0cbe980b5f2ea54e71fd	49.0711	17.1544	7.04	49.0711	2.1443	0.1805	271.8443	11.879	NA	0	0	NA	0	0	NA
03f20837ac22d72ee3fafdf1f4e68653	34.5101	30.3018	9.428	34.5101	3.7877	0.2417	142.7556	15.6684	NA	0	0	NA	0	0	NA
094460b06f8e9ea03e474cce4556813c	129.3594	20.9024	26.1961	129.3594	2.6128	0.6717	192.5865	3.8899	NA	0	0.0019	NA	0	0.0022	NA
0fdedf0154a40d89a1517a791566c30f	53.2743	9.5043	7.0997	53.2743	1.188	0.182	292.6475	6.5262	NA	0	0	NA	0	0	NA
11074d6de8f52614cf4abf36c8fc3559	3.1209	4.6624	10.4718	3.1209	0.5828	0.2685	11.6229	2.1705	NA	0.0015	0.0516	NA	0.0018	0.0528	NA
143e6bd05c944e61c95ff5da42592ddf	30.5703	45.7126	9.5859	30.5703	5.7141	0.2458	124.3745	23.2476	NA	0	0	NA	0	0	NA
174188bb261f1d47eeb4a6bcfd8fc50e	0.036	14.4773	18.4075	0.036	1.8097	0.472	0.0763	3.8341	NA	0.7839	0.0021	NA	0.7839	0.0024	NA
176f710f54f966b27a08cde901ee53ec	4.3256	11.5622	4.3225	4.3256	1.4453	0.1108	39.0278	13.04	NA	0	0	NA	0	0	NA
1c8339c87b0f53623affa792350456a3	19.8256	18.5657	8.3619	19.8256	2.3207	0.2144	92.4669	10.8238	NA	0	0	NA	0	0	NA
1e3b4ef47aa1250abdaa64be54b7917d	4.97	40.0233	13.3353	4.97	5.0029	0.3419	14.5352	14.6314	NA	5e-04	0	NA	6e-04	0	NA
24c356015e6b437ed6219dbe78a48098	48.483	4.7257	9.1414	48.483	0.5907	0.2344	206.8427	2.5202	NA	0	0.0259	NA	0	0.0271	NA
25a09cf807743f43abcb5d4fe64bc2f1	19.3516	5.9834	5.7508	19.3516	0.7479	0.1475	131.2364	5.0722	NA	0	2e-04	NA	0	3e-04	NA
2656962ed64a62239535400900e8dc9d	16.1024	7.9739	4.4476	16.1024	0.9967	0.114	141.1989	8.7402	NA	0	0	NA	0	0	NA
2f56dd1cb6284dba4eb10fd009599116	24.7216	28.0496	11.0339	24.7216	3.5062	0.2829	87.3799	12.3929	NA	0	0	NA	0	0	NA
30471b8b9f4a392ba46fff86cf84c5d3	4.4694	24.3527	6.2525	4.4694	3.0441	0.1603	27.878	18.9874	NA	0	0	NA	0	0	NA
320770c8a745c885e679511ea7e2d0c7	11.5973	7.4644	8.595	11.5973	0.9331	0.2204	52.6232	4.2338	NA	0	0.001	NA	0	0.0012	NA
3634bb45e119d4b1e8c4b53092158283	45.546	43.003	9.9925	45.546	5.3754	0.2562	177.762	20.9796	NA	0	0	NA	0	0	NA
364605b7fe29f41ceb9e133ddd9a51e0	65.0304	83.7559	34.2255	65.0304	10.4695	0.8776	74.1022	11.93	NA	0	0	NA	0	0	NA
3b519d90ab2d6629dbba8048b833da33	21.0702	9.4694	5.1422	21.0702	1.1837	0.1319	159.8021	8.9773	NA	0	0	NA	0	0	NA
3be1fb00ea6b5ba04e1015e9bb7b27e3	19.8589	4.202	8.8147	19.8589	0.5253	0.226	87.8644	2.324	NA	0	0.0381	NA	0	0.0395	NA
3d023c295cd2089e0a98413c1acdfb92	15.8488	45.8317	10.1959	15.8488	5.729	0.2614	60.6224	21.9136	NA	0	0	NA	0	0	NA
49a5b0874d0239bad034d0427bdb011b	3.2972	44.9314	39.6759	3.2972	5.6164	1.0173	3.241	5.5208	NA	0.0796	1e-04	NA	0.0854	2e-04	NA
4a239d0909a5ba2e2a368bd9ea91e1df	3.796	25.6781	13.2297	3.796	3.2098	0.3392	11.1902	9.4621	NA	0.0018	0	NA	0.0022	0	NA
4b58b76aae81d51659f024aa375f6b6c	23.9027	12.7331	9.4644	23.9027	1.5916	0.2427	98.4962	6.5587	NA	0	0	NA	0	0	NA
4d0732311ac5d9ad2fa1ed6b53021ad2	17.2474	15.2655	6.5331	17.2474	1.9082	0.1675	102.9609	11.3912	NA	0	0	NA	0	0	NA
4da71a67957b54e606befad5af0e0ae0	51.0057	32.4998	32.9628	51.0057	4.0625	0.8452	60.3476	4.8065	NA	0	4e-04	NA	0	5e-04	NA
523e4923c27367ed5f95132767f75eac	10.7717	13.2972	4.4544	10.7717	1.6621	0.1142	94.3104	14.5528	NA	0	0	NA	0	0	NA
52ce2bf56ca429438a585907ec8d6487	63.9978	16.3126	7.0036	63.9978	2.0391	0.1796	356.3765	11.3547	NA	0	0	NA	0	0	NA
530015a5a78d0c869cede27c53348476	13.906	20.5916	5.1401	13.906	2.5739	0.1318	105.5108	19.5297	NA	0	0	NA	0	0	NA
54fa546e378a19736f2bb544d6d98208	35.5386	30.8971	13.2627	35.5386	3.8621	0.3401	104.504	11.3569	NA	0	0	NA	0	0	NA
57c283fe82fd46e25aee517bdf54251e	71.6866	13.0251	9.3855	71.6866	1.6281	0.2407	297.8824	6.7655	NA	0	0	NA	0	0	NA
5fee38761daf5711baf496c8f312b281	9.7168	27.615	4.9301	9.7168	3.4519	0.1264	76.8652	27.3063	NA	0	0	NA	0	0	NA
61629e0f4bbcff583e33ef20425621e6	3.3627	63.8549	26.3938	3.3627	7.9819	0.6768	4.9688	11.7941	NA	0.0316	0	NA	0.0358	0	NA
658f3c2c703b1123c746dc1eca8140a8	9.7089	26.4153	13.5473	9.7089	3.3019	0.3474	27.95	9.5056	NA	0	0	NA	0	0	NA
6812394c92ee5290b49ef1d4ad05efe0	2.9802	9.556	8.1366	2.9802	1.1945	0.2086	14.2845	5.7254	NA	5e-04	1e-04	NA	7e-04	1e-04	NA
6bf7a3c1838a5c811cd7a1a8ffa14ec1	15.0491	2.9708	9.0301	15.0491	0.3714	0.2315	64.9958	1.6038	NA	0	0.1553	NA	0	0.1571	NA
6c903a2fed1635ad99e43bd743eba83e	0.6943	35.9799	5.932	0.6943	4.4975	0.1521	4.565	29.5688	NA	0.039	0	NA	0.0435	0	NA
6d3a584a4cf1255524fef1f31e4fcfa7	1.6524	7.4979	5.7763	1.6524	0.9372	0.1481	11.1566	6.328	NA	0.0019	0	NA	0.0022	0	NA
6df9d5f7fe9bab22f3e1b86a3166135f	1.0195	20.0012	9.2614	1.0195	2.5002	0.2375	4.2933	10.5283	NA	0.0449	0	NA	0.0495	0	NA
70c5cf9f8a48025c75db0a33a58ce351	52.8553	44.8703	17.4481	52.8553	5.6088	0.4474	118.142	12.5367	NA	0	0	NA	0	0	NA
798ee29169714eebb94c08cd9e3b862b	49.2987	5.9297	9.795	49.2987	0.7412	0.2512	196.2885	2.9512	NA	0	0.0111	NA	0	0.0123	NA
7f407e913b845b0c38af608de3508886	0.4968	12.7311	6.7499	0.4968	1.5914	0.1731	2.8706	9.1948	NA	0.0982	0	NA	0.1042	0	NA
8411b5eb0930fe36cdd241414b7c37d8	41.6353	20.3008	22.9339	41.6353	2.5376	0.588	70.8026	4.3153	NA	0	9e-04	NA	0	0.0011	NA
8768ee13cb3dd3b9cb529e5a7aeb9560	1.7688	21.4045	17.4332	1.7688	2.6756	0.447	3.957	5.9855	NA	0.0537	1e-04	NA	0.0584	1e-04	NA
87e33cb8a787c20d43c7250047e86684	29.9675	20.335	7.2617	29.9675	2.5419	0.1862	160.9438	13.6514	NA	0	0	NA	0	0	NA
92523a7cc4511ffc1eb9b1309104d4bd	22.8086	8.1226	15.3094	22.8086	1.0153	0.3925	58.104	2.5865	NA	0	0.0227	NA	0	0.0241	NA
9c7d64c2b546e8e0533a514089470ea6	14.3058	8.3013	6.0939	14.3058	1.0377	0.1563	91.5556	6.641	NA	0	0	NA	0	0	NA
9e2d699f672429eaf2418dd814a1bd22	11.2304	3.935	7.0934	11.2304	0.4919	0.1819	61.7453	2.7044	NA	0	0.018	NA	0	0.0194	NA
9e5c4baca7e26e74e7716b2bbbdf1b6d	45.7697	39.0161	12.6656	45.7697	4.877	0.3248	140.9346	15.0173	NA	0	0	NA	0	0	NA
a43e03cc32847728190eed208ad921ef	29.7906	18.2427	5.6559	29.7906	2.2803	0.145	205.4208	15.724	NA	0	0	NA	0	0	NA
a82135edd8624ba1f984e38878f63baf	85.4069	9.3578	11.0587	85.4069	1.1697	0.2836	301.1994	4.1252	NA	0	0.0012	NA	0	0.0015	NA
a85e84d66ee3eb9f8de2c7c995709e02	6.5376	22.6347	7.2441	6.5376	2.8293	0.1857	35.1965	15.2322	NA	0	0	NA	0	0	NA
a97b1681b28638728e311ffa82af05e2	21.2694	54.3905	15.2938	21.2694	6.7988	0.3921	54.2381	17.3374	NA	0	0	NA	0	0	NA
ab8f0e8ab623b836965384dbb7c3c6cd	24.0321	21.2593	7.6474	24.0321	2.6574	0.1961	122.5583	13.5522	NA	0	0	NA	0	0	NA
b03900de7497c2facfeb0c35f2b9162b	9.3311	15.3182	7.2036	9.3311	1.9148	0.1847	50.5182	10.3665	NA	0	0	NA	0	0	NA
b04fb851c4a7ad6a447ee82f4b72bed3	15.6776	10.2252	9.316	15.6776	1.2781	0.2389	65.6319	5.3508	NA	0	1e-04	NA	0	2e-04	NA
b568a652f9f3dde117280a0bfc3fee24	44.8114	25.9521	26.7716	44.8114	3.244	0.6865	65.2797	4.7258	NA	0	4e-04	NA	0	5e-04	NA
b5c401f2ca7a2e11af17a3d9540c3098	3.4399	57.5581	12.3866	3.4399	7.1948	0.3176	10.8307	22.6532	NA	0.0021	0	NA	0.0025	0	NA
b655ed61f05195db0d091c2a1bd0775a	4.5008	8.77	5.7189	4.5008	1.0962	0.1466	30.6932	7.4759	NA	0	0	NA	0	0	NA
b74191341143673cd358924c5decfcaa	18.2966	14.56	8.7335	18.2966	1.82	0.2239	81.7051	8.1274	NA	0	0	NA	0	0	NA
b7ad5522a962087cd3ccab3a2b27593b	0.1679	8.0451	10.7264	0.1679	1.0056	0.275	0.6103	3.6564	NA	0.4394	0.0029	NA	0.4551	0.0033	NA
bcee579978d17340af700937b26e8469	8.0231	12.17	8.2982	8.0231	1.5212	0.2128	37.7073	7.1496	NA	0	0	NA	0	0	NA
c0c3bafc53de8ad4caf5cf1caa75bd23	135.1874	20.8733	26.1592	135.1874	2.6092	0.6707	201.5467	3.8899	NA	0	0.0019	NA	0	0.0022	NA
c491d44b3356fb3d39bad2854b0ecd51	68.974	4.234	4.2621	68.974	0.5293	0.1093	631.1482	4.8429	NA	0	3e-04	NA	0	5e-04	NA
c849a42f77211865d7988e68a523efb6	19.1965	3.6597	4.1992	19.1965	0.4575	0.1077	178.2887	4.2487	NA	0	0.001	NA	0	0.0012	NA
c8dc76fc84d10ab38195c551e499a2bd	37.5346	24.4235	10.6852	37.5346	3.0529	0.274	136.9976	11.1429	NA	0	0	NA	0	0	NA
ca732e25300582c2653a6a63aca6e584	13.1732	34.3794	10.1533	13.1732	4.2974	0.2603	50.6001	16.507	NA	0	0	NA	0	0	NA
cd2378e5fef18a772012410d956267eb	80.0884	25.756	19.2601	80.0884	3.2195	0.4938	162.172	6.5192	NA	0	0	NA	0	0	NA
cd702c8b9d60aaf30e7286439ca2929b	23.9742	8.6496	12.7386	23.9742	1.0812	0.3266	73.3988	3.3101	NA	0	0.0056	NA	0	0.0062	NA
d161f529afb6efb111a446cea86f32c5	5.7607	64.9563	17.2171	5.7607	8.1195	0.4415	13.049	18.3923	NA	9e-04	0	NA	0.001	0	NA
d28e8a94d61d4f56a50038fae9d5034c	25.5511	14.3813	11.4828	25.5511	1.7977	0.2944	86.7811	6.1055	NA	0	0	NA	0	1e-04	NA
d30e91529ed00acef85a1d231919277a	34.7796	6.3259	5.4946	34.7796	0.7907	0.1409	246.8604	5.6125	NA	0	1e-04	NA	0	1e-04	NA
d8fc46fe60412fa6dd9b92b04531397e	5.7992	12.7129	10.843	5.7992	1.5891	0.278	20.8583	5.7157	NA	0	1e-04	NA	1e-04	1e-04	NA
db06b90a6dfab8087146992ceaa28c85	2.6088	15.9199	15.0058	2.6088	1.99	0.3848	6.7802	5.172	NA	0.013	2e-04	NA	0.0149	3e-04	NA
dd4d62f0fcc8ec0903febae018591bbd	128.0344	28.7251	24.6147	128.0344	3.5906	0.6311	202.8597	5.6891	NA	0	1e-04	NA	0	1e-04	NA
e20817244b46c670c71747741d2b787f	47.768	4.2137	17.6761	47.768	0.5267	0.4532	105.3937	1.1621	NA	0	0.346	NA	0	0.346	NA
e82bb37f070749cdaed7a1c57bea0c00	0.0865	52.4602	11.4251	0.0865	6.5575	0.293	0.2953	22.3844	NA	0.5899	0	NA	0.6038	0	NA
e87769322927d0b013030079f61bb52b	24.1514	15.9935	5.1786	24.1514	1.9992	0.1328	181.8845	15.0559	NA	0	0	NA	0	0	NA
e8eb738af4ffd9575fc4ec2fe5235244	0.1272	15.2596	7.8453	0.1272	1.9075	0.2012	0.6324	9.4822	NA	0.4313	0	NA	0.4521	0	NA
ea374f62f1b0fb8f39fe4db2e09e5fe8	5.6053	24.7078	8.7692	5.6053	3.0885	0.2249	24.9288	13.7357	NA	0	0	NA	0	0	NA
ea71545441bfdf2b025c0d18ae2102fe	7.9027	43.6168	13.3338	7.9027	5.4521	0.3419	23.1146	15.9469	NA	0	0	NA	0	0	NA
