treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0017fe1f3ebeebeb2783b69b6ce6815a	3.0136	0.4471	2.1094	3.0136	0.4471	0.2637	11.4294	1.6957	NA	0.0096	0.2291	NA	0.0184	0.3151	NA
002861a72226ea57067f3c051d2d1799	3.018	6.1854	2.8723	3.018	6.1854	0.359	8.4057	17.2274	NA	0.0199	0.0032	NA	0.0334	0.0134	NA
0051c6dcc452166ab514e05d48839bb7	18.8751	0.9219	1.6899	18.8751	0.9219	0.2112	89.3557	4.3643	NA	0	0.0701	NA	1e-04	0.1265	NA
009487b8b7bdd6acdb13a77dffed0b11	6.6078	3.4084	1.9228	6.6078	3.4084	0.2404	27.4918	14.1809	NA	8e-04	0.0055	NA	0.0024	0.02	NA
0096cfdbab221d81c3dcbb1844012a4f	0.3356	1.7339	1.4338	0.3356	1.7339	0.1792	1.8724	9.6743	NA	0.2084	0.0144	NA	0.2559	0.0395	NA
00c0154e00241a141eef9a1067a35fd4	5.5511	5.2831	1.9054	5.5511	5.2831	0.2382	23.3067	22.1817	NA	0.0013	0.0015	NA	0.0036	0.0081	NA
0153a1f57cba588bcc28845aa54d5b25	4.1728	2.8455	0.6224	4.1728	2.8455	0.0778	53.6314	36.5723	NA	1e-04	3e-04	NA	4e-04	0.0031	NA
0178d78645f5380df04fdafef7a3e492	4.3735	3.5955	1.6401	4.3735	3.5955	0.205	21.3332	17.5384	NA	0.0017	0.003	NA	0.0045	0.0131	NA
01907f358106a7fd969d8cec338fa095	3.5818	0.0024	1.6193	3.5818	0.0024	0.2024	17.6956	0.0119	NA	0.003	0.9159	NA	0.0069	0.93	NA
01b13221b450af7fc4e6a3c7a9a12fe0	5.2858	1.1154	1.4702	5.2858	1.1154	0.1838	28.7635	6.0697	NA	7e-04	0.0391	NA	0.0021	0.0814	NA
01bca72f3c43238d533a3eea1ff39cd4	0.2308	0.1049	2.7636	0.2308	0.1049	0.3454	0.6682	0.3038	NA	0.4373	0.5966	NA	0.4941	0.6737	NA
01c7a504fe943dec1c3a9c790e6a6e0b	0.0666	0.0638	9.0711	0.0666	0.0638	1.1339	0.0587	0.0562	NA	0.8146	0.8185	NA	0.8372	0.8586	NA
01d167a6dbdb0cbe980b5f2ea54e71fd	10.8227	0.0178	0.6708	10.8227	0.0178	0.0839	129.07	0.2119	NA	0	0.6576	NA	1e-04	0.7238	NA
020f37e6575038ede16cc321c7359c84	3.1595	4.0827	3.0073	3.1595	4.0827	0.3759	8.405	10.8609	NA	0.0199	0.0109	NA	0.0334	0.033	NA
023d205d1b375efcc4ba8e8b70ef29f4	0.3639	9.205	2.0615	0.3639	9.205	0.2577	1.4122	35.7213	NA	0.2688	3e-04	NA	0.3211	0.0032	NA
026d87c5a066f29442beb1e7c01c5cfb	11.2413	4.6751	1.2704	11.2413	4.6751	0.1588	70.7878	29.4397	NA	0	6e-04	NA	2e-04	0.0047	NA
0293062df92c8668e578c931845c8216	1.0626	6.5524	1.9894	1.0626	6.5524	0.2487	4.2732	26.3492	NA	0.0725	9e-04	NA	0.1021	0.0059	NA
02a5344c16dc0e4ce5c7426d6d8e6464	6.9782	0.0991	1.8015	6.9782	0.0991	0.2252	30.988	0.4401	NA	5e-04	0.5257	NA	0.0018	0.6084	NA
02a8f82f0c32bc0d6af3a27415523d03	6.2504	0.8242	1.8454	6.2504	0.8242	0.2307	27.0965	3.573	NA	8e-04	0.0954	NA	0.0025	0.159	NA
02c0db74890aa4996610b8bbe700d201	4.3764	4.2318	1.8751	4.3764	4.2318	0.2344	18.6718	18.0548	NA	0.0025	0.0028	NA	0.0062	0.0123	NA
02cb0462cfa6235b205d5a7b9e0db1cd	1.3371	0.1163	0.1538	1.3371	0.1163	0.0192	69.551	6.0498	NA	0	0.0393	NA	2e-04	0.0818	NA
030f9394d4a6b0be677c35849676d575	15.8009	0.3613	0.5478	15.8009	0.3613	0.0685	230.7502	5.2763	NA	0	0.0507	NA	0	0.0996	NA
