treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
03f20837ac22d72ee3fafdf1f4e68653	44.0221	33.9755	13.5775	44.0221	3.0887	0.2514	175.0833	12.2842	NA	0	0	NA	0	0	NA
094460b06f8e9ea03e474cce4556813c	164.1698	64.607	42.8289	164.1698	5.8734	0.7931	206.9906	7.4053	NA	0	0	NA	0	0	NA
0fdedf0154a40d89a1517a791566c30f	74.1246	18.4875	16.4498	74.1246	1.6807	0.3046	243.3299	5.5172	NA	0	0	NA	0	0	NA
11074d6de8f52614cf4abf36c8fc3559	4.1228	6.8222	16.0028	4.1228	0.6202	0.2963	13.9118	2.0928	NA	5e-04	0.0367	NA	5e-04	0.0367	NA
143e6bd05c944e61c95ff5da42592ddf	41.4172	57.271	16.8221	41.4172	5.2065	0.3115	132.9522	16.7131	NA	0	0	NA	0	0	NA
1e3b4ef47aa1250abdaa64be54b7917d	6.5376	47.4219	14.0789	6.5376	4.3111	0.2607	25.0751	16.5352	NA	0	0	NA	0	0	NA
2656962ed64a62239535400900e8dc9d	13.2442	16.0383	9.4035	13.2442	1.458	0.1741	76.0554	8.3728	NA	0	0	NA	0	0	NA
30471b8b9f4a392ba46fff86cf84c5d3	7.139	35.8179	8.3112	7.139	3.2562	0.1539	46.3842	21.1563	NA	0	0	NA	0	0	NA
364605b7fe29f41ceb9e133ddd9a51e0	109.9451	102.1708	44.5475	109.9451	9.2883	0.825	133.2743	11.2591	NA	0	0	NA	0	0	NA
3be1fb00ea6b5ba04e1015e9bb7b27e3	25.6361	13.9646	10.9694	25.6361	1.2695	0.2031	126.2014	6.2495	NA	0	0	NA	0	0	NA
49a5b0874d0239bad034d0427bdb011b	0.0863	54.1638	53.8155	0.0863	4.924	0.9966	0.0866	4.9409	NA	0.7696	0	NA	0.8113	0	NA
52ce2bf56ca429438a585907ec8d6487	95.966	35.6486	22.4595	95.966	3.2408	0.4159	230.7341	7.7919	NA	0	0	NA	0	0	NA
57c283fe82fd46e25aee517bdf54251e	88.639	14.1767	19.0443	88.639	1.2888	0.3527	251.3353	3.6543	NA	0	7e-04	NA	0	7e-04	NA
5fee38761daf5711baf496c8f312b281	10.884	28.8397	5.9856	10.884	2.6218	0.1108	98.1906	23.6528	NA	0	0	NA	0	0	NA
61629e0f4bbcff583e33ef20425621e6	4.8536	70.7541	32.1574	4.8536	6.4322	0.5955	8.1503	10.8012	NA	0.0061	0	NA	0.007	0	NA
658f3c2c703b1123c746dc1eca8140a8	11.3226	63.3953	14.8481	11.3226	5.7632	0.275	41.1784	20.9599	NA	0	0	NA	0	0	NA
6bf7a3c1838a5c811cd7a1a8ffa14ec1	23.7564	7.0912	12.2693	23.7564	0.6447	0.2272	104.5576	2.8373	NA	0	0.0053	NA	0	0.0055	NA
70c5cf9f8a48025c75db0a33a58ce351	64.4232	47.1092	26.9838	64.4232	4.2827	0.4997	128.9238	8.5704	NA	0	0	NA	0	0	NA
798ee29169714eebb94c08cd9e3b862b	61.6247	17.7554	14.0464	61.6247	1.6141	0.2601	236.9106	6.2054	NA	0	0	NA	0	0	NA
a97b1681b28638728e311ffa82af05e2	28.1345	56.764	18.3088	28.1345	5.1604	0.3391	82.98	15.22	NA	0	0	NA	0	0	NA
ab8f0e8ab623b836965384dbb7c3c6cd	29.7771	23.0471	9.2462	29.7771	2.0952	0.1712	173.9061	12.2365	NA	0	0	NA	0	0	NA
b03900de7497c2facfeb0c35f2b9162b	14.364	18.0532	8.4207	14.364	1.6412	0.1559	92.1131	10.5247	NA	0	0	NA	0	0	NA
b04fb851c4a7ad6a447ee82f4b72bed3	21.3907	14.8538	11.0867	21.3907	1.3503	0.2053	104.1872	6.5771	NA	0	0	NA	0	0	NA
b568a652f9f3dde117280a0bfc3fee24	74.0216	38.2284	41.6696	74.0216	3.4753	0.7717	95.9253	4.5037	NA	0	1e-04	NA	0	1e-04	NA
b655ed61f05195db0d091c2a1bd0775a	5.3417	15.001	8.2718	5.3417	1.3637	0.1532	34.8721	8.9027	NA	0	0	NA	0	0	NA
b74191341143673cd358924c5decfcaa	22.0232	19.0761	12.8854	22.0232	1.7342	0.2386	92.2945	7.2676	NA	0	0	NA	0	0	NA
b7ad5522a962087cd3ccab3a2b27593b	0.0014	18.0155	12.7105	0.0014	1.6378	0.2354	0.0058	6.958	NA	0.9397	0	NA	0.9397	0	NA
bcee579978d17340af700937b26e8469	10.8018	34.8328	8.9245	10.8018	3.1666	0.1653	65.359	19.1604	NA	0	0	NA	0	0	NA
c849a42f77211865d7988e68a523efb6	26.661	13.9179	8.2413	26.661	1.2653	0.1526	174.6928	8.2905	NA	0	0	NA	0	0	NA
c8dc76fc84d10ab38195c551e499a2bd	52.0571	26.3414	13.741	52.0571	2.3947	0.2545	204.5762	9.4107	NA	0	0	NA	0	0	NA
ca732e25300582c2653a6a63aca6e584	16.3458	40.0538	11.8172	16.3458	3.6413	0.2188	74.694	16.6391	NA	0	0	NA	0	0	NA
cd2378e5fef18a772012410d956267eb	124.5553	31.6757	23.8406	124.5553	2.8796	0.4415	282.1232	6.5224	NA	0	0	NA	0	0	NA
cd702c8b9d60aaf30e7286439ca2929b	42.5849	14.1971	15.886	42.5849	1.2906	0.2942	144.7554	4.3872	NA	0	1e-04	NA	0	1e-04	NA
d28e8a94d61d4f56a50038fae9d5034c	31.2629	16.6896	15.7814	31.2629	1.5172	0.2922	106.974	5.1916	NA	0	0	NA	0	0	NA
d30e91529ed00acef85a1d231919277a	45.9502	12.5479	9.5521	45.9502	1.1407	0.1769	259.7669	6.4487	NA	0	0	NA	0	0	NA
e82bb37f070749cdaed7a1c57bea0c00	0.0059	54.848	13.0304	0.0059	4.9862	0.2413	0.0246	20.6635	NA	0.876	0	NA	0.899	0	NA
e8eb738af4ffd9575fc4ec2fe5235244	0.2281	43.7394	8.9084	0.2281	3.9763	0.165	1.3827	24.1033	NA	0.2448	0	NA	0.2728	0	NA
eed82158b96970d8cd74068c0c038e15	0.1734	25.6933	9.4116	0.1734	2.3358	0.1743	0.9952	13.4017	NA	0.3229	0	NA	0.3498	0	NA
ff8ff7196966a8d81adf292586bfe0aa	26.5582	31.4102	6.3327	26.5582	2.8555	0.1173	226.4669	24.3491	NA	0	0	NA	0	0	NA
