treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000056c36e696a93b67251686997bd83	0.9939	12.9577	10.7453	0.9939	1.178	0.199	4.9948	5.9198	NA	0.0296	0	NA	0.0587	0	NA
000489977a93f28433a67b3ffcfe07e8	1.497	14.526	10.7582	1.497	1.3205	0.1992	7.5139	6.6284	NA	0.0083	0	NA	0.0242	0	NA
00085ba3f9df185b21891fa631aecc73	0.8529	34.2657	8.2637	0.8529	3.1151	0.153	5.5736	20.3557	NA	0.0219	0	NA	0.0515	0	NA
000c0887ad6f05904cf7aaccf587793b	0.767	87.1612	10.2562	0.767	7.9237	0.1899	4.0385	41.7195	NA	0.0495	0	NA	0.081	0	NA
00160b2996f4e72e9530139257ef95fd	0.215	2.6563	4.4373	0.215	0.2415	0.0822	2.6161	2.9387	NA	0.1116	0.0041	NA	0.1457	0.0042	NA
0017fe1f3ebeebeb2783b69b6ce6815a	3.0498	88.9881	33.4981	3.0498	8.0898	0.6203	4.9164	13.0411	NA	0.0308	0	NA	0.06	0	NA
00198206f834100c47126a71d4ea0a12	0.0886	11.9455	2.29	0.0886	1.086	0.0424	2.0904	25.6077	NA	0.154	0	NA	0.1912	0	NA
001d2832229a5d59d5e57b2278b8ff5c	0.2267	43.1896	4.6324	0.2267	3.9263	0.0858	2.6427	45.7689	NA	0.1098	0	NA	0.1439	0	NA
001db609571e35c1062ed21384c5a9e8	0.9286	63.8968	5.0949	0.9286	5.8088	0.0943	9.8418	61.5668	NA	0.0028	0	NA	0.0104	0	NA
001e27a2fe4e49b1fa3bacb11431d1b1	2.8507	221.0562	19.6879	2.8507	20.096	0.3646	7.8188	55.1193	NA	0.0071	0	NA	0.0215	0	NA
001eb6f788cc97fc1d5e6fa371a1e587	0.0012	241.0966	0.1794	0.0012	21.9179	0.0033	0.352	6596.3341	NA	0.5554	0	NA	0.5953	0	NA
0020a5a0f1fe0f42b797e255e7cd5e62	0.2258	41.8571	3.0119	0.2258	3.8052	0.0558	4.0477	68.2224	NA	0.0492	0	NA	0.0808	0	NA
00219889601242bbb4c3d70e388d82ae	0.438	170.6701	5.2324	0.438	15.5155	0.0969	4.52	160.1244	NA	0.0381	0	NA	0.0677	0	NA
0022ede3601f15663c11f53fb89d46b7	0.2755	67.9113	4.1141	0.2755	6.1738	0.0762	3.6154	81.0333	NA	0.0626	0	NA	0.0947	0	NA
0028077eefab110515293acf629d3ede	0.2063	313.3498	1.913	0.2063	28.4863	0.0354	5.8233	804.1037	NA	0.0192	0	NA	0.048	0	NA
002861a72226ea57067f3c051d2d1799	6.1585	102.6168	13.8537	6.1585	9.3288	0.2565	24.005	36.3626	NA	0	0	NA	1e-04	0	NA
002f4883447e4785f07b73c8126d8257	2.9072	67.8774	10.6471	2.9072	6.1707	0.1972	14.7448	31.2963	NA	3e-04	0	NA	0.002	0	NA
002f7b637831d62a71dbbfc267c16791	0.6043	46.4405	4.1273	0.6043	4.2219	0.0764	7.9065	55.2377	NA	0.0069	0	NA	0.0208	0	NA
