treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	4.9051	2.4451	2.5083	4.9051	2.4451	0.3583	13.6889	6.8236	NA	0.0077	0.0348	NA	0.0164	0.1174	NA
0051ee453ff489fa79b20379bcc79b6b	4.1041	0.0088	1.8715	4.1041	0.0088	0.2674	15.3508	0.0331	NA	0.0058	0.8609	NA	0.0133	0.9121	NA
00539cb2af8b7b06ee1279130fa2f307	8.0753	0.6739	1.1046	8.0753	0.6739	0.1578	51.1729	4.2708	NA	2e-04	0.0776	NA	0.0015	0.1887	NA
006c80037cfc5a276d7d1b8ef20cdccd	1.643	2.5906	5.7419	1.643	2.5906	0.8203	2.003	3.1582	NA	0.1999	0.1188	NA	0.2384	0.2423	NA
00823592d773ca77be3da202ae020b29	3.4538	0.3393	2.7729	3.4538	0.3393	0.3961	8.719	0.8564	NA	0.0213	0.3855	NA	0.0364	0.537	NA
0092362bbf11972deda26d5b9e919f85	8.2101	3.6111	3.9385	8.2101	3.6111	0.5626	14.592	6.418	NA	0.0065	0.039	NA	0.0146	0.1257	NA
0095b52bd61b59e97345c0564dc8496e	1.4575	10.5759	1.7575	1.4575	10.5759	0.2511	5.805	42.1227	NA	0.0468	3e-04	NA	0.0702	0.0128	NA
00bcc118d77be26d37aa6816c6eec493	6.543	0.0029	0.6011	6.543	0.0029	0.0859	76.1975	0.0338	NA	1e-04	0.8594	NA	8e-04	0.9111	NA
00cee8684ccbb62fce87c20103b8aed2	4.7027	0.8775	2.2312	4.7027	0.8775	0.3187	14.7538	2.753	NA	0.0064	0.141	NA	0.0143	0.2709	NA
0112c347c6def14a99ba74cd77bfc94d	4.8571	0.8913	1.8193	4.8571	0.8913	0.2599	18.688	3.4295	NA	0.0035	0.1065	NA	0.0091	0.228	NA
011b116b1e264e2cde7ec36aa569ad7c	11.2873	4.2134	2.1928	11.2873	4.2134	0.3133	36.0322	13.4505	NA	5e-04	0.008	NA	0.0027	0.0521	NA
0127000197e26a049598b4a6d0225ba2	4.7432	0.0602	0.6262	4.7432	0.0602	0.0895	53.0192	0.6728	NA	2e-04	0.4391	NA	0.0014	0.5848	NA
013c9c13c8d7029019462bef0627adba	3.9819	1.0906	2.0603	3.9819	1.0906	0.2943	13.5286	3.7055	NA	0.0079	0.0956	NA	0.0168	0.2137	NA
015116cb2ae1efade79e1af688f3c15b	2.5088	4.9241	5.0666	2.5088	4.9241	0.7238	3.4661	6.803	NA	0.1049	0.035	NA	0.137	0.1179	NA
