treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.0497	1.2064	0.5709	1.0497	1.2064	0.1142	9.1925	10.5652	NA	0.029	0.0227	NA	0.0432	0.0856	NA
002707428636a815354367f102120956	3.8399	0.0265	0.4184	3.8399	0.0265	0.0837	45.8844	0.3165	NA	0.0011	0.598	NA	0.004	0.7219	NA
002f1a45b5c69d673731dd633504a01e	3.1287	4.5526	0.6772	3.1287	4.5526	0.1354	23.0992	33.6118	NA	0.0049	0.0022	NA	0.0102	0.0257	NA
00361d4ec0f6bc9593b3365b7718c95b	17.4695	1.6143	2.5738	17.4695	1.6143	0.5148	33.9379	3.1361	NA	0.0021	0.1368	NA	0.0058	0.2674	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.9267	0.0145	0.6494	8.9267	0.0145	0.1299	68.7249	0.1113	NA	4e-04	0.7522	NA	0.0026	0.8417	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.4359	0.5394	1.2242	1.4359	0.5394	0.2448	5.8646	2.2031	NA	0.06	0.1979	NA	0.0806	0.3439	NA
005e34772346d65b74ff2f90ea4ec0ee	7.5989	0.535	0.7237	7.5989	0.535	0.1447	52.4998	3.6961	NA	8e-04	0.1126	NA	0.0033	0.2351	NA
008277a5fd42cb04f88c34a26df200ce	2.2625	4e-04	0.2895	2.2625	4e-04	0.0579	39.0761	0.0073	NA	0.0015	0.9353	NA	0.0049	0.9638	NA
00ac039693854d7669a43b754dfc59bf	7.5782	0.0851	1.4368	7.5782	0.0851	0.2874	26.3722	0.2962	NA	0.0037	0.6097	NA	0.0084	0.7317	NA
00b05a391e262ebf75433a5901c94f69	6.998	0.27	0.2632	6.998	0.27	0.0526	132.9627	5.1307	NA	1e-04	0.0729	NA	0.0017	0.1759	NA
00b65cc09893d47765ac0925658ae35e	2.4838	0.6168	1.0764	2.4838	0.6168	0.2153	11.537	2.8652	NA	0.0193	0.1513	NA	0.0308	0.2884	NA
