treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.0046	0.1185	1.1756	0.0046	0.1185	0.1679	0.0273	0.7056	NA	0.8734	0.4287	NA	0.8861	0.5777	NA
0032aede248babc5516f057b3bcd4409	4.972	0.7423	1.6748	4.972	0.7423	0.2393	20.7808	3.1023	NA	0.0026	0.1216	NA	0.0047	0.2432	NA
0034860642bb665e3bc98da83b24f6f7	0.4831	0.1709	0.4823	0.4831	0.1709	0.0689	7.0116	2.4798	NA	0.033	0.1593	NA	0.0445	0.2933	NA
0051ee453ff489fa79b20379bcc79b6b	1.3603	0.0047	2.4113	1.3603	0.0047	0.3445	3.9491	0.0137	NA	0.0872	0.91	NA	0.1066	0.9447	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.004	0.0552	13.2853	0.004	0.0552	1.8979	0.0021	0.0291	NA	0.9646	0.8694	NA	0.9683	0.9155	NA
00823592d773ca77be3da202ae020b29	0.6226	0.0148	1.146	0.6226	0.0148	0.1637	3.8031	0.0907	NA	0.0921	0.7721	NA	0.1123	0.8489	NA
0092362bbf11972deda26d5b9e919f85	15.2546	0.1381	0.811	15.2546	0.1381	0.1159	131.6652	1.192	NA	0	0.3111	NA	1e-04	0.4639	NA
0095b52bd61b59e97345c0564dc8496e	0.7038	0.0075	1.071	0.7038	0.0075	0.153	4.6003	0.0489	NA	0.0691	0.8314	NA	0.0862	0.8888	NA
00b08f570ae6322b03af00df9230f86d	2.0939	0.1601	1.6606	2.0939	0.1601	0.2372	8.8265	0.6748	NA	0.0208	0.4385	NA	0.029	0.5863	NA
00bcc118d77be26d37aa6816c6eec493	14.1701	0.0181	0.6806	14.1701	0.0181	0.0972	145.7352	0.1862	NA	0	0.679	NA	1e-04	0.7822	NA
00c4a692e67b1c93a289ffcae447cfcf	4.208	1.988	0.5202	4.208	1.988	0.0743	56.6235	26.7504	NA	1e-04	0.0013	NA	5e-04	0.011	NA
00cee8684ccbb62fce87c20103b8aed2	5.8682	3.3486	1.4471	5.8682	3.3486	0.2067	28.3859	16.1983	NA	0.0011	0.005	NA	0.0023	0.0276	NA
