treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	2.3355	0.71	2.5608	2.3355	0.71	0.3658	6.3841	1.9407	NA	0.0394	0.2062	NA	0.0559	0.3249	NA
002707428636a815354367f102120956	3.4178	4.5025	2.0554	3.4178	4.5025	0.2936	11.6399	15.3341	NA	0.0113	0.0058	NA	0.0194	0.0289	NA
002f1a45b5c69d673731dd633504a01e	4.0743	15.597	2.3907	4.0743	15.597	0.3415	11.9298	45.6688	NA	0.0106	3e-04	NA	0.0186	0.0051	NA
00361d4ec0f6bc9593b3365b7718c95b	18.5961	2.1822	3.8443	18.5961	2.1822	0.5492	33.8612	3.9735	NA	7e-04	0.0865	NA	0.0024	0.1753	NA
0036d59b9c2c58b22fd5945b4aa3f348	9.7145	0.1645	0.4978	9.7145	0.1645	0.0711	136.5918	2.3133	NA	0	0.1721	NA	2e-04	0.2829	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.3767	0.0158	2.5096	0.3767	0.0158	0.3585	1.0508	0.044	NA	0.3394	0.8398	NA	0.3808	0.8968	NA
005e34772346d65b74ff2f90ea4ec0ee	8.991	0.6572	3.9641	8.991	0.6572	0.5663	15.8769	1.1605	NA	0.0053	0.3171	NA	0.0107	0.4482	NA
008277a5fd42cb04f88c34a26df200ce	2.2307	0.0015	4.7002	2.2307	0.0015	0.6715	3.3221	0.0022	NA	0.1111	0.964	NA	0.1378	0.9738	NA
00b05a391e262ebf75433a5901c94f69	8.9808	2.208	1.3066	8.9808	2.208	0.1867	48.1137	11.8293	NA	2e-04	0.0108	NA	0.0012	0.042	NA
00b65cc09893d47765ac0925658ae35e	3.4826	0.4157	2.9683	3.4826	0.4157	0.424	8.2128	0.9804	NA	0.0241	0.3551	NA	0.0368	0.487	NA
00c799f63b8289b2b606e7f2e056cf59	3.7912	0.2865	1.3074	3.7912	0.2865	0.1868	20.2979	1.5338	NA	0.0028	0.2555	NA	0.0066	0.3791	NA
00f6d2cccf1735abedc75afff481ba2d	7.4778	3.2081	1.7698	7.4778	3.2081	0.2528	29.5757	12.6886	NA	0.001	0.0092	NA	0.0031	0.038	NA
0104f91f1cc33e553be3bfc68a517ce7	14.8093	0.2212	1.5513	14.8093	0.2212	0.2216	66.8244	0.9982	NA	1e-04	0.351	NA	7e-04	0.4833	NA
010f0a7d84a28949c78be5930457dabc	0.956	0.4478	1.7179	0.956	0.4478	0.2454	3.8954	1.8245	NA	0.089	0.2188	NA	0.1132	0.3383	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	0.7564	1e-04	2.9114	0.7564	1e-04	0.4159	1.8186	2e-04	NA	0.2195	0.9902	NA	0.2548	0.9924	NA
0141cc500b9cfd472681696cfe8f2eb1	7.2109	5.0907	2.1922	7.2109	5.0907	0.3132	23.0257	16.2556	NA	0.002	0.005	NA	0.0052	0.0266	NA
014e0244ce0227c40879daa0bae73ee2	7.3064	5.6799	2.6774	7.3064	5.6799	0.3825	19.1025	14.8502	NA	0.0033	0.0063	NA	0.0074	0.0301	NA
016131c962c5b8b9fa691ffd928a7ad7	4.5441	0.0126	1.7764	4.5441	0.0126	0.2538	17.9057	0.0498	NA	0.0039	0.8298	NA	0.0085	0.8888	NA
01651ac01a6d8f5ab55e823ecd4020b2	7.403	1.8536	0.3159	7.403	1.8536	0.0451	164.0233	41.0688	NA	0	4e-04	NA	2e-04	0.006	NA
01802ecadc281120b3394531f9b5bcc6	12.3332	2.7202	1.3377	12.3332	2.7202	0.1911	64.5357	14.2339	NA	1e-04	0.007	NA	7e-04	0.0321	NA
