treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0026fcece5bad932ca77e9b27dd8c599	4.4344	4.5695	0.3815	4.4344	4.5695	0.0545	81.3716	83.8511	NA	0	0	NA	1e-04	7e-04	NA
00306dbb19665982fc78754ac92927bf	0.6649	0.5503	2.3752	0.6649	0.5503	0.3393	1.9597	1.6219	NA	0.2043	0.2435	NA	0.2306	0.3387	NA
0032aede248babc5516f057b3bcd4409	1.4504	0.0099	0.2174	1.4504	0.0099	0.0311	46.6966	0.318	NA	2e-04	0.5904	NA	6e-04	0.674	NA
0034860642bb665e3bc98da83b24f6f7	2.5329	0.0265	0.7392	2.5329	0.0265	0.1056	23.9857	0.2509	NA	0.0018	0.6318	NA	0.003	0.7101	NA
0051ee453ff489fa79b20379bcc79b6b	0.8171	0.6059	1.8609	0.8171	0.6059	0.2658	3.0738	2.2791	NA	0.123	0.1749	NA	0.1437	0.2611	NA
006c80037cfc5a276d7d1b8ef20cdccd	4e-04	0.0329	4.4926	4e-04	0.0329	0.6418	7e-04	0.0512	NA	0.9797	0.8274	NA	0.9818	0.8716	NA
00823592d773ca77be3da202ae020b29	3.0176	0.8307	0.2649	3.0176	0.8307	0.0378	79.7272	21.9485	NA	0	0.0022	NA	1e-04	0.0095	NA
0092362bbf11972deda26d5b9e919f85	14.0803	0.1053	1.6101	14.0803	0.1053	0.23	61.2155	0.458	NA	1e-04	0.5203	NA	3e-04	0.6129	NA
0095b52bd61b59e97345c0564dc8496e	0.384	0.3392	0.9004	0.384	0.3392	0.1286	2.9854	2.6372	NA	0.1277	0.1484	NA	0.1486	0.2298	NA
00a550b3fa43f178639afb2a02540b16	5.181	3.1912	3.6417	5.181	3.1912	0.5202	9.9588	6.1342	NA	0.016	0.0424	NA	0.022	0.0871	NA
00b08f570ae6322b03af00df9230f86d	7.5673	0.6843	1.8861	7.5673	0.6843	0.2694	28.0856	2.5398	NA	0.0011	0.155	NA	0.002	0.2369	NA
00bcc118d77be26d37aa6816c6eec493	23.7418	0.4425	0.5084	23.7418	0.4425	0.0726	326.8667	6.0915	NA	0	0.043	NA	0	0.0876	NA
00c4a692e67b1c93a289ffcae447cfcf	10.8524	1.359	0.6347	10.8524	1.359	0.0907	119.6946	14.9884	NA	0	0.0061	NA	1e-04	0.0203	NA
00cee8684ccbb62fce87c20103b8aed2	6.0638	5.7103	1.1721	6.0638	5.7103	0.1674	36.2134	34.1019	NA	5e-04	6e-04	NA	0.0011	0.0042	NA
0112c347c6def14a99ba74cd77bfc94d	9.7657	0.5294	0.1888	9.7657	0.5294	0.027	362.1295	19.6315	NA	0	0.003	NA	0	0.0117	NA
011b116b1e264e2cde7ec36aa569ad7c	14.7898	0.0617	0.5603	14.7898	0.0617	0.08	184.7831	0.7713	NA	0	0.409	NA	0	0.5117	NA
0127000197e26a049598b4a6d0225ba2	11.3809	1.4631	0.5829	11.3809	1.4631	0.0833	136.6819	17.5719	NA	0	0.0041	NA	0	0.0149	NA
013c9c13c8d7029019462bef0627adba	8.9995	3.4482	0.9348	8.9995	3.4482	0.1335	67.3938	25.8219	NA	1e-04	0.0014	NA	2e-04	0.007	NA
015116cb2ae1efade79e1af688f3c15b	2.3916	3.3535	0.7394	2.3916	3.3535	0.1056	22.6427	31.7495	NA	0.0021	8e-04	NA	0.0034	0.0048	NA
01525c063123cb2134c64e84ad1e2118	8.2484	1.1403	0.1665	8.2484	1.1403	0.0238	346.7015	47.9319	NA	0	2e-04	NA	0	0.0021	NA
0160f5a856b526939ba1062b1cc9df76	7.7212	0.0424	0.5393	7.7212	0.0424	0.077	100.2187	0.5509	NA	0	0.4821	NA	1e-04	0.5822	NA
017a60cbade7b309db182bcabe59d6a4	0.1725	2.4149	2.0913	0.1725	2.4149	0.2988	0.5775	8.083	NA	0.4721	0.0249	NA	0.5043	0.0577	NA
017d459400583fe36857c77a1d541f39	7.7311	0.1643	0.4256	7.7311	0.1643	0.0608	127.1469	2.7018	NA	0	0.1442	NA	0	0.2242	NA
018de0ee05bc68de9383baf688539f9f	3.1341	0.3929	0.5157	3.1341	0.3929	0.0737	42.5421	5.3332	NA	3e-04	0.0542	NA	7e-04	0.1049	NA
019f94720ba42ef1861b87fc58cdd3de	5.5699	0.0965	0.8459	5.5699	0.0965	0.1208	46.0919	0.7986	NA	3e-04	0.4012	NA	6e-04	0.5042	NA
