treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.7325	0.0348	2.4814	1.7325	0.0348	0.3545	4.8872	0.0982	NA	0.0627	0.7631	NA	0.0822	0.8407	NA
002707428636a815354367f102120956	9.1694	8.1131	5.7794	9.1694	8.1131	0.8256	11.106	9.8265	NA	0.0125	0.0165	NA	0.0217	0.0708	NA
002f1a45b5c69d673731dd633504a01e	2.9237	0.657	1.6102	2.9237	0.657	0.23	12.7101	2.8559	NA	0.0092	0.1349	NA	0.018	0.2722	NA
00361d4ec0f6bc9593b3365b7718c95b	25.2564	0.7486	2.5328	25.2564	0.7486	0.3618	69.8024	2.0688	NA	1e-04	0.1935	NA	0.0066	0.3454	NA
0036d59b9c2c58b22fd5945b4aa3f348	7.6421	0.4287	3.5903	7.6421	0.4287	0.5129	14.8997	0.8358	NA	0.0062	0.391	NA	0.0151	0.5464	NA
005c9aeb0fcf676d0c82c53e266f6c7e	4.0426	1.726	2.3447	4.0426	1.726	0.335	12.0692	5.153	NA	0.0103	0.0575	NA	0.0193	0.1516	NA
005e34772346d65b74ff2f90ea4ec0ee	7.1726	0.561	3.3278	7.1726	0.561	0.4754	15.0874	1.1801	NA	0.006	0.3133	NA	0.015	0.4716	NA
008277a5fd42cb04f88c34a26df200ce	2.5744	0.6619	0.3393	2.5744	0.6619	0.0485	53.1105	13.6549	NA	2e-04	0.0077	NA	0.0096	0.0443	NA
00ac039693854d7669a43b754dfc59bf	9.9244	0.019	4.1149	9.9244	0.019	0.5878	16.8828	0.0324	NA	0.0045	0.8623	NA	0.0143	0.9057	NA
00b05a391e262ebf75433a5901c94f69	7.8538	0.2159	1.9838	7.8538	0.2159	0.2834	27.7129	0.7617	NA	0.0012	0.4117	NA	0.0143	0.5628	NA
00c799f63b8289b2b606e7f2e056cf59	8.1041	0.0135	2.2346	8.1041	0.0135	0.3192	25.3863	0.0422	NA	0.0015	0.8431	NA	0.0143	0.8914	NA
00f6d2cccf1735abedc75afff481ba2d	1.4102	0.0059	1.5297	1.4102	0.0059	0.2185	6.4531	0.027	NA	0.0386	0.8742	NA	0.0538	0.9139	NA
0104f91f1cc33e553be3bfc68a517ce7	8.5653	0.1863	3.0223	8.5653	0.1863	0.4318	19.838	0.4315	NA	0.003	0.5323	NA	0.0143	0.6614	NA
010f0a7d84a28949c78be5930457dabc	0.0167	3.8602	0.5639	0.0167	3.8602	0.0806	0.2079	47.9169	NA	0.6623	2e-04	NA	0.6932	0.0059	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	7.3082	0.0276	0.8265	7.3082	0.0276	0.1181	61.8983	0.2336	NA	1e-04	0.6436	NA	0.0077	0.7474	NA
013c73c0e5fa3c156721aa03c5399a7c	2.8795	0.6111	1.4828	2.8795	0.6111	0.2118	13.5935	2.885	NA	0.0078	0.1332	NA	0.0167	0.2698	NA
0141cc500b9cfd472681696cfe8f2eb1	5.7583	0.1444	1.8131	5.7583	0.1444	0.259	22.2314	0.5574	NA	0.0022	0.4796	NA	0.0143	0.6216	NA
014e0244ce0227c40879daa0bae73ee2	5.1339	2e-04	2.7881	5.1339	2e-04	0.3983	12.8896	6e-04	NA	0.0089	0.9815	NA	0.0178	0.9897	NA
01643e1758a1b348e7e88641bbf23f77	9.6075	0.0702	5.1306	9.6075	0.0702	0.7329	13.1081	0.0958	NA	0.0085	0.766	NA	0.0175	0.8427	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.9227	0.3952	1.6134	2.9227	0.3952	0.2305	12.6807	1.7146	NA	0.0092	0.2317	NA	0.0181	0.3898	NA
01748fb97de74d17bdb942aeaa74a1aa	0.0059	14.9067	2.2227	0.0059	14.9067	0.3175	0.0186	46.9467	NA	0.8955	2e-04	NA	0.9088	0.0062	NA
017752e0b75ffd85768e83da08df6f06	0.8016	18.8441	1.3752	0.8016	18.8441	0.1965	4.0801	95.9201	NA	0.0831	0	NA	0.1059	0.0019	NA
01802ecadc281120b3394531f9b5bcc6	6.1525	1.6615	2.1887	6.1525	1.6615	0.3127	19.6768	5.3138	NA	0.003	0.0546	NA	0.0143	0.1457	NA
018166381b3825f4433929cd661c73b1	0.135	0	1.0159	0.135	0	0.1451	0.9299	0	NA	0.367	0.9955	NA	0.4065	0.9972	NA
01ba5a538d3091e6f291367ab4c114de	1.7618	0.0033	1.199	1.7618	0.0033	0.1713	10.2861	0.0192	NA	0.0149	0.8938	NA	0.0245	0.9294	NA
01bea577aa60b2f19561a6239f841214	7.2796	0	2.4056	7.2796	0	0.3437	21.1827	0	NA	0.0025	0.9975	NA	0.0143	0.9982	NA
01d02aad8a625053d2284c0580b85fc2	1.6336	1.1817	0.755	1.6336	1.1817	0.1079	15.1451	10.9555	NA	0.006	0.0129	NA	0.0149	0.0613	NA
01ec87fc65833175cd78632f91b9c013	1.1936	1.4777	2.9486	1.1936	1.4777	0.4212	2.8336	3.5081	NA	0.1362	0.1032	NA	0.1645	0.226	NA
01eeb07eabe250603ae069b7c9a1b78a	11.1619	0.2449	3.8047	11.1619	0.2449	0.5435	20.5361	0.4505	NA	0.0027	0.5236	NA	0.0143	0.6554	NA
01f0a8d66a3f6ce7f33c54275e96b372	4.682	0.3039	1.5644	4.682	0.3039	0.2235	20.9499	1.3597	NA	0.0026	0.2818	NA	0.0143	0.4394	NA
0210cce2ce54f6190c25524b42462d35	10.2517	3e-04	7.6669	10.2517	3e-04	1.0953	9.3599	3e-04	NA	0.0183	0.9866	NA	0.0288	0.9929	NA
021b2869c2627d813d2146e5a70b97da	0.1996	0.0971	0.8444	0.1996	0.0971	0.1206	1.655	0.805	NA	0.2392	0.3994	NA	0.2751	0.5531	NA
021c5fad1f1dcf7f5a8f2180e695338d	0.4312	1.6177	1.0334	0.4312	1.6177	0.1476	2.9212	10.9583	NA	0.1312	0.0129	NA	0.1591	0.0613	NA
