treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.4375	0.3889	0.6142	1.4375	0.3889	0.0877	16.382	4.4325	NA	0.0049	0.0733	NA	0.0081	0.1499	NA
002707428636a815354367f102120956	3.686	0.0024	0.444	3.686	0.0024	0.0634	58.1069	0.0382	NA	1e-04	0.8505	NA	0.0014	0.8982	NA
002f1a45b5c69d673731dd633504a01e	2.1938	2.3488	0.6809	2.1938	2.3488	0.0973	22.5549	24.1489	NA	0.0021	0.0017	NA	0.0042	0.0128	NA
00361d4ec0f6bc9593b3365b7718c95b	30.8926	0.0288	0.8135	30.8926	0.0288	0.1162	265.829	0.2475	NA	0	0.6341	NA	4e-04	0.7284	NA
0036d59b9c2c58b22fd5945b4aa3f348	6.5036	0.5374	2.2246	6.5036	0.5374	0.3178	20.4647	1.6911	NA	0.0027	0.2346	NA	0.0051	0.3524	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.5411	2.1616	0.6627	1.5411	2.1616	0.0947	16.2783	22.8323	NA	0.005	0.002	NA	0.0082	0.0139	NA
005e34772346d65b74ff2f90ea4ec0ee	9.2281	1.1282	1.173	9.2281	1.1282	0.1676	55.0689	6.7324	NA	1e-04	0.0357	NA	0.0014	0.0903	NA
008277a5fd42cb04f88c34a26df200ce	1.4497	2.1693	0.2083	1.4497	2.1693	0.0298	48.7268	72.9143	NA	2e-04	1e-04	NA	0.0015	0.0021	NA
00b05a391e262ebf75433a5901c94f69	7.859	0.0109	0.7536	7.859	0.0109	0.1077	72.9965	0.1012	NA	1e-04	0.7597	NA	0.0013	0.8306	NA
00b65cc09893d47765ac0925658ae35e	3.3368	1.0932	0.3661	3.3368	1.0932	0.0523	63.7978	20.9011	NA	1e-04	0.0026	NA	0.0014	0.0162	NA
00c799f63b8289b2b606e7f2e056cf59	14.0739	0.8045	3.7459	14.0739	0.8045	0.5351	26.3001	1.5034	NA	0.0014	0.2598	NA	0.0031	0.3794	NA
00f6d2cccf1735abedc75afff481ba2d	3.2505	0.3065	0.9928	3.2505	0.3065	0.1418	22.918	2.1613	NA	0.002	0.185	NA	0.004	0.2961	NA
0104f91f1cc33e553be3bfc68a517ce7	10.3605	0.0055	1.5162	10.3605	0.0055	0.2166	47.833	0.0253	NA	2e-04	0.8781	NA	0.0015	0.9183	NA
010f0a7d84a28949c78be5930457dabc	0.1987	0.7488	0.4012	0.1987	0.7488	0.0573	3.4671	13.0634	NA	0.1049	0.0086	NA	0.1266	0.0335	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	8.8638	0.0227	0.5241	8.8638	0.0227	0.0749	118.3799	0.3035	NA	0	0.5989	NA	0.001	0.6993	NA
013c73c0e5fa3c156721aa03c5399a7c	3.626	5.2127	1.1176	3.626	5.2127	0.1597	22.7112	32.6502	NA	0.002	7e-04	NA	0.0041	0.0078	NA
0141cc500b9cfd472681696cfe8f2eb1	8.9117	0.0841	1.6244	8.9117	0.0841	0.2321	38.4028	0.3624	NA	4e-04	0.5662	NA	0.0018	0.6693	NA
014e0244ce0227c40879daa0bae73ee2	5.1212	2.332	2.4676	5.1212	2.332	0.3525	14.5274	6.6151	NA	0.0066	0.0369	NA	0.0104	0.0925	NA
0151c42d80ce82208338bda9346e4c21	4.5648	5.2988	2.0293	4.5648	5.2988	0.2899	15.7459	18.2778	NA	0.0054	0.0037	NA	0.0088	0.0198	NA
016131c962c5b8b9fa691ffd928a7ad7	3.9756	0.1742	0.9078	3.9756	0.1742	0.1297	30.6544	1.3435	NA	9e-04	0.2844	NA	0.0024	0.4053	NA
01643e1758a1b348e7e88641bbf23f77	4.4701	0.2007	4.0491	4.4701	0.2007	0.5784	7.7278	0.347	NA	0.0273	0.5743	NA	0.0362	0.676	NA
01748fb97de74d17bdb942aeaa74a1aa	0.7994	16.6069	2.7249	0.7994	16.6069	0.3893	2.0535	42.6609	NA	0.195	3e-04	NA	0.2224	0.0048	NA
017752e0b75ffd85768e83da08df6f06	1.3355	18.1152	1.6584	1.3355	18.1152	0.2369	5.6368	76.4616	NA	0.0493	1e-04	NA	0.0628	0.0019	NA
018166381b3825f4433929cd661c73b1	0.6359	2.6305	0.9628	0.6359	2.6305	0.1375	4.6238	19.1258	NA	0.0686	0.0033	NA	0.0852	0.0184	NA
0182ca831bc0b9e8f908b44bfae38c2f	5.8832	0.1463	0.7691	5.8832	0.1463	0.1099	53.5491	1.3315	NA	2e-04	0.2864	NA	0.0014	0.4071	NA
01ba5a538d3091e6f291367ab4c114de	0.0795	3.8497	2.6331	0.0795	3.8497	0.3762	0.2115	10.2342	NA	0.6596	0.0151	NA	0.6832	0.0496	NA
01bea577aa60b2f19561a6239f841214	9.2498	0.0093	1.1343	9.2498	0.0093	0.162	57.0824	0.0572	NA	1e-04	0.8178	NA	0.0014	0.8742	NA
01d02aad8a625053d2284c0580b85fc2	1.4268	4.5423	0.3691	1.4268	4.5423	0.0527	27.0591	86.1463	NA	0.0013	0	NA	0.003	0.0015	NA
01ec87fc65833175cd78632f91b9c013	2.2085	5.2422	1.1904	2.2085	5.2422	0.1701	12.9863	30.8252	NA	0.0087	9e-04	NA	0.0132	0.0085	NA
01eeb07eabe250603ae069b7c9a1b78a	14.0667	0.8468	1.2203	14.0667	0.8468	0.1743	80.6885	4.8575	NA	0	0.0634	NA	0.0012	0.1356	NA
01f0a8d66a3f6ce7f33c54275e96b372	4.0154	0.1228	1.7465	4.0154	0.1228	0.2495	16.0935	0.4924	NA	0.0051	0.5055	NA	0.0084	0.6147	NA
0210cce2ce54f6190c25524b42462d35	8.7959	0.1123	1.8493	8.7959	0.1123	0.2642	33.2944	0.4251	NA	7e-04	0.5352	NA	0.0022	0.6406	NA
021b2869c2627d813d2146e5a70b97da	0.7519	0.1115	1.6703	0.7519	0.1115	0.2386	3.151	0.4675	NA	0.1191	0.5161	NA	0.142	0.6243	NA
021c5fad1f1dcf7f5a8f2180e695338d	0.9487	0.628	1.0897	0.9487	0.628	0.1557	6.0941	4.0343	NA	0.0429	0.0845	NA	0.0551	0.1676	NA
022ffb62b99d7950cce0c04b7db390a5	6.8245	0.4207	0.8479	6.8245	0.4207	0.1211	56.3415	3.473	NA	1e-04	0.1047	NA	0.0014	0.1953	NA
0232656cb29c5e35e407aa7f91e22343	3.6526	1.4929	1.6191	3.6526	1.4929	0.2313	15.7916	6.4545	NA	0.0054	0.0386	NA	0.0087	0.0955	NA
023e44ea52bc5f894fd36692e0df6ef5	0.0219	2.7958	0.3472	0.0219	2.7958	0.0496	0.4419	56.3636	NA	0.5275	1e-04	NA	0.5578	0.0031	NA
023fa2f94fb9dae88485aa96f3adc67d	11.5713	0.0582	1.7371	11.5713	0.0582	0.2482	46.6286	0.2344	NA	2e-04	0.6431	NA	0.0016	0.7353	NA
0241e3fe915ef4b4685394ee622017ad	8.5162	0.0272	1.411	8.5162	0.0272	0.2016	42.2479	0.135	NA	3e-04	0.7241	NA	0.0016	0.8035	NA
02632bbf33fcd49fdcb327ffb53492a5	1.4588	13.3473	5.5806	1.4588	13.3473	0.7972	1.8298	16.7422	NA	0.2182	0.0046	NA	0.2471	0.0231	NA
02732f74813ddeb7926f68edd6501d34	0.1168	0.5283	3.5839	0.1168	0.5283	0.512	0.2282	1.0319	NA	0.6474	0.3435	NA	0.6715	0.4674	NA
029ac96df8a3842cd51b0e24cb25d147	19.7973	9.3491	4.2361	19.7973	9.3491	0.6052	32.7141	15.4489	NA	7e-04	0.0057	NA	0.0022	0.0263	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	4.2573	1.3087	1.1189	4.2573	1.3087	0.1598	26.6344	8.1875	NA	0.0013	0.0243	NA	0.003	0.0688	NA
02b33d576f65cc2a7b11d181440278fe	6.2544	0.2201	0.7509	6.2544	0.2201	0.1073	58.3045	2.0519	NA	1e-04	0.1951	NA	0.0014	0.3082	NA
02c5ba36522584f868e4d3548c1e02af	4.9384	0.1277	0.8691	4.9384	0.1277	0.1242	39.7761	1.0283	NA	4e-04	0.3443	NA	0.0018	0.468	NA
02d5baf4915b88cd26c96b95b5015208	0.1662	5.7304	4.6614	0.1662	5.7304	0.6659	0.2496	8.6052	NA	0.6327	0.0219	NA	0.6578	0.0642	NA
02de9d9c220bb2b88a240926da4a39e9	5.1642	1.9731	2.3063	5.1642	1.9731	0.3295	15.6743	5.9887	NA	0.0055	0.0443	NA	0.0088	0.1061	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	17.2831	0.5119	4.952	17.2831	0.5119	0.7074	24.4308	0.7236	NA	0.0017	0.4231	NA	0.0036	0.5395	NA
02f81e70a39d7aabe08a9bb96d7eda18	2.8192	0.6957	0.4558	2.8192	0.6957	0.0651	43.2998	10.6856	NA	3e-04	0.0137	NA	0.0016	0.0463	NA
02f912093302ca91c654dcb1dfdce08e	2.7497	0.7046	1.8251	2.7497	0.7046	0.2607	10.5459	2.7024	NA	0.0141	0.1442	NA	0.02	0.2458	NA
0308e44d8c5c89fef7d2aa63090a9a8c	14.1472	5.4442	8.6925	14.1472	5.4442	1.2418	11.3927	4.3842	NA	0.0118	0.0745	NA	0.0172	0.1519	NA
0316f5eb4d9b051e65b40cebf08edbba	0.2389	1.079	0.676	0.2389	1.079	0.0966	2.4744	11.1737	NA	0.1597	0.0124	NA	0.1855	0.0433	NA
033d19faa0ce86082c0215df5bffbdb5	4.7886	0.1805	0.85	4.7886	0.1805	0.1214	39.4375	1.4864	NA	4e-04	0.2623	NA	0.0018	0.3821	NA
