treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.3438	0.0966	1.61	1.3438	0.0966	0.2683	5.0078	0.3602	NA	0.0665	0.5704	NA	0.0954	0.702	NA
002707428636a815354367f102120956	1.0766	0.0187	2.1822	1.0766	0.0187	0.3637	2.9601	0.0514	NA	0.1361	0.8282	NA	0.1755	0.89	NA
00361d4ec0f6bc9593b3365b7718c95b	9.012	3.4021	0.7902	9.012	3.4021	0.1317	68.4299	25.8328	NA	2e-04	0.0023	NA	0.0015	0.0257	NA
0036d59b9c2c58b22fd5945b4aa3f348	13.8573	0.0535	0.6812	13.8573	0.0535	0.1135	122.0591	0.471	NA	0	0.5182	NA	8e-04	0.6564	NA
0046281d7bcee40b30209fff59cb8a72	0.3928	5.7542	1.5623	0.3928	5.7542	0.2604	1.5088	22.0996	NA	0.2653	0.0033	NA	0.3148	0.0315	NA
005e34772346d65b74ff2f90ea4ec0ee	7.0124	1.2764	0.4281	7.0124	1.2764	0.0713	98.2828	17.8892	NA	1e-04	0.0055	NA	0.001	0.0398	NA
008277a5fd42cb04f88c34a26df200ce	1.5815	0.995	0.887	1.5815	0.995	0.1478	10.6979	6.7304	NA	0.017	0.041	NA	0.0307	0.1233	NA
00a0854286a925a7b381be83b1a83ae6	3.8904	0.045	1.5053	3.8904	0.045	0.2509	15.5066	0.1795	NA	0.0076	0.6866	NA	0.0161	0.7951	NA
00ac039693854d7669a43b754dfc59bf	4.4901	0.848	1.7368	4.4901	0.848	0.2895	15.5117	2.9297	NA	0.0076	0.1378	NA	0.0161	0.2664	NA
00b05a391e262ebf75433a5901c94f69	10.6852	0.3282	1.2734	10.6852	0.3282	0.2122	50.3451	1.5465	NA	4e-04	0.26	NA	0.0023	0.4106	NA
00b65cc09893d47765ac0925658ae35e	1.9516	0.8109	2.6645	1.9516	0.8109	0.4441	4.3945	1.8261	NA	0.0809	0.2253	NA	0.113	0.3724	NA
00c799f63b8289b2b606e7f2e056cf59	10.2754	0.4143	2.1115	10.2754	0.4143	0.3519	29.1978	1.1773	NA	0.0017	0.3196	NA	0.0055	0.47	NA
00f6d2cccf1735abedc75afff481ba2d	3.2793	7.5682	1.2898	3.2793	7.5682	0.215	15.2554	35.2077	NA	0.0079	0.001	NA	0.0166	0.0168	NA
0104f91f1cc33e553be3bfc68a517ce7	5.4246	0.1002	1.208	5.4246	0.1002	0.2013	26.9442	0.4979	NA	0.002	0.5069	NA	0.0063	0.6464	NA
010f0a7d84a28949c78be5930457dabc	0.2993	0.0168	1.1613	0.2993	0.0168	0.1936	1.5464	0.087	NA	0.2601	0.7779	NA	0.309	0.8613	NA
011e5941b5e89b68b7b904c87c05ae99	0.18	4.4454	2.0968	0.18	4.4454	0.3495	0.5151	12.7202	NA	0.4999	0.0118	NA	0.5524	0.0599	NA
