treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.7969	0.5285	2.7965	0.7969	0.5285	0.4661	1.7098	1.1338	NA	0.2389	0.3279	NA	0.281	0.462	NA
0051ee453ff489fa79b20379bcc79b6b	0.882	0.1175	3.1135	0.882	0.1175	0.5189	1.6997	0.2265	NA	0.2401	0.651	NA	0.2819	0.7466	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0076	1.0067	4.7885	0.0076	1.0067	0.7981	0.0095	1.2614	NA	0.9255	0.3043	NA	0.9335	0.4377	NA
0092362bbf11972deda26d5b9e919f85	13.5822	1.6666	0.7301	13.5822	1.6666	0.1217	111.6168	13.6956	NA	0	0.0101	NA	4e-04	0.0446	NA
0095b52bd61b59e97345c0564dc8496e	0.1209	0.8378	0.5096	0.1209	0.8378	0.0849	1.4239	9.8642	NA	0.2778	0.02	NA	0.3212	0.0684	NA
00a550b3fa43f178639afb2a02540b16	0.1399	14.0887	0.7909	0.1399	14.0887	0.1318	1.0612	106.8857	NA	0.3427	0	NA	0.3863	0.0035	NA
00b08f570ae6322b03af00df9230f86d	3.2722	0.9842	1.9326	3.2722	0.9842	0.3221	10.1589	3.0556	NA	0.0189	0.131	NA	0.0304	0.2394	NA
00c4a692e67b1c93a289ffcae447cfcf	6.5814	2.0882	0.438	6.5814	2.0882	0.073	90.1633	28.6078	NA	1e-04	0.0017	NA	6e-04	0.0157	NA
00cee8684ccbb62fce87c20103b8aed2	2.4397	9e-04	1.4467	2.4397	9e-04	0.2411	10.1185	0.0038	NA	0.0191	0.9531	NA	0.0307	0.9687	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	3.1281	0.2868	1.3381	3.1281	0.2868	0.223	14.0263	1.286	NA	0.0096	0.3001	NA	0.0174	0.4343	NA
0112c347c6def14a99ba74cd77bfc94d	7.8646	1.4777	0.5684	7.8646	1.4777	0.0947	83.0217	15.599	NA	1e-04	0.0075	NA	7e-04	0.0369	NA
011b116b1e264e2cde7ec36aa569ad7c	17.0634	0.2273	0.7441	17.0634	0.2273	0.124	137.5842	1.8325	NA	0	0.2246	NA	3e-04	0.3539	NA
0127000197e26a049598b4a6d0225ba2	8.3814	0.0778	0.8393	8.3814	0.0778	0.1399	59.9162	0.556	NA	2e-04	0.484	NA	0.0012	0.6163	NA
013c9c13c8d7029019462bef0627adba	8.2206	0.1012	0.564	8.2206	0.1012	0.094	87.4581	1.0769	NA	1e-04	0.3394	NA	6e-04	0.4738	NA
015116cb2ae1efade79e1af688f3c15b	0.245	0.7864	2.7281	0.245	0.7864	0.4547	0.5388	1.7296	NA	0.4906	0.2365	NA	0.5307	0.3667	NA
01524ceb0052552ad3c425bf777b0b3a	2.8465	2.0405	0.4499	2.8465	2.0405	0.075	37.9647	27.2152	NA	8e-04	0.002	NA	0.0028	0.0171	NA
017a60cbade7b309db182bcabe59d6a4	8.103	0.1141	3.6309	8.103	0.1141	0.6052	13.39	0.1885	NA	0.0106	0.6793	NA	0.019	0.7693	NA
017d459400583fe36857c77a1d541f39	5.147	0.0206	0.8705	5.147	0.0206	0.1451	35.4747	0.142	NA	0.001	0.7193	NA	0.0031	0.8018	NA
018de0ee05bc68de9383baf688539f9f	7.736	7e-04	0.8597	7.736	7e-04	0.1433	53.9927	0.0049	NA	3e-04	0.9463	NA	0.0014	0.9639	NA
019f94720ba42ef1861b87fc58cdd3de	5.4932	7.4848	3.3579	5.4932	7.4848	0.5596	9.8154	13.3741	NA	0.0202	0.0106	NA	0.0322	0.0459	NA
01ac16555e036cea2ece2a239591aae6	5.6933	1.3607	0.6514	5.6933	1.3607	0.1086	52.444	12.5342	NA	4e-04	0.0122	NA	0.0015	0.0502	NA
01b2f3b340d5c58058b29719f8ce8d4e	0.2996	6.2503	0.458	0.2996	6.2503	0.0763	3.9242	81.8788	NA	0.0949	1e-04	NA	0.1222	0.0042	NA
01e013346904f75a91f713c559585ff7	4.0601	0.0605	1.0616	4.0601	0.0605	0.1769	22.9475	0.3418	NA	0.003	0.5801	NA	0.007	0.6929	NA
01e7154d4b5f3188595e288aeab7f7a0	9.55	0.3887	0.7343	9.55	0.3887	0.1224	78.0297	3.1756	NA	1e-04	0.125	NA	8e-04	0.2308	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.8344	0.0319	0.9777	3.8344	0.0319	0.1629	23.5312	0.1955	NA	0.0028	0.6739	NA	0.0066	0.7642	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.5852	0.2459	1.0813	0.5852	0.2459	0.1802	3.2474	1.3642	NA	0.1216	0.2871	NA	0.1528	0.42	NA
02104476719f02b32307edfdb1e6a0c4	7.6263	0.9054	0.4934	7.6263	0.9054	0.0822	92.7476	11.0114	NA	1e-04	0.016	NA	6e-04	0.0593	NA
02266378f920e88e1dac1ed916c48ff6	9.8869	0.4175	0.5724	9.8869	0.4175	0.0954	103.632	4.3756	NA	1e-04	0.0814	NA	5e-04	0.1697	NA
022b87e073ba519506a6d0d9dac1bba1	11.3513	2.3161	0.5425	11.3513	2.3161	0.0904	125.5333	25.6136	NA	0	0.0023	NA	3e-04	0.0185	NA
026f6d9d6a5c591d5465aaeddf6222f1	12.9529	0.0722	0.283	12.9529	0.0722	0.0472	274.5839	1.5304	NA	0	0.2623	NA	1e-04	0.3935	NA
028a375a3a51f2d5d05b85cf4ef10890	3.1543	0.119	0.8768	3.1543	0.119	0.1461	21.5862	0.8142	NA	0.0035	0.4016	NA	0.0079	0.5365	NA
02a63d174c8502c109303db99cf1e437	2.4509	0.041	0.4546	2.4509	0.041	0.0758	32.3499	0.541	NA	0.0013	0.4898	NA	0.0036	0.6201	NA
02adf979cb3500c39977fffbf7d2a048	4.864	0.0176	0.6283	4.864	0.0176	0.1047	46.4496	0.1679	NA	5e-04	0.6962	NA	0.0019	0.7808	NA
02c00510d4deae8d414f84d4af078919	0.6143	5.8136	1.261	0.6143	5.8136	0.2102	2.9228	27.6619	NA	0.1382	0.0019	NA	0.1707	0.0167	NA
02c19d40dee2d87c409a2e2f7b713d7f	0.6468	0.005	1.4031	0.6468	0.005	0.2338	2.766	0.0216	NA	0.1473	0.8881	NA	0.1805	0.9247	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	22.1812	0.7303	0.871	22.1812	0.7303	0.1452	152.7984	5.0304	NA	0	0.0661	NA	3e-04	0.1478	NA
02db2ad8ae83f16a31add624ea4ad90e	2.9616	1.5959	0.7991	2.9616	1.5959	0.1332	22.2361	11.9822	NA	0.0033	0.0134	NA	0.0074	0.0532	NA
02ed78575eba82d038ec26a744d9b6c5	1.201	23.3462	0.6874	1.201	23.3462	0.1146	10.4838	203.7902	NA	0.0177	0	NA	0.0288	0.0023	NA
02f7b0f943947c68160210ebf8af9e7d	4.8354	0.4471	0.7491	4.8354	0.4471	0.1248	38.7325	3.581	NA	8e-04	0.1073	NA	0.0027	0.2077	NA
03301869149c66370d4f5cfd7c5c79f7	9.0124	0.0307	0.5136	9.0124	0.0307	0.0856	105.2897	0.3582	NA	0	0.5714	NA	5e-04	0.6875	NA
03355cd11fa9d7ee1d42bfd508147739	1.7605	0.0065	0.9808	1.7605	0.0065	0.1635	10.7701	0.0398	NA	0.0168	0.8485	NA	0.0275	0.8978	NA
03734cd02763530410103ffac1802bfc	3.2364	3.1603	4.8784	3.2364	3.1603	0.8131	3.9804	3.8869	NA	0.0931	0.0961	NA	0.12	0.1907	NA
0381b98525605c48d762e395044ca5b2	13.8258	0.0046	0.603	13.8258	0.0046	0.1005	137.5594	0.0454	NA	0	0.8383	NA	3e-04	0.8899	NA
039c7e0354d3997945bfb6b56867ef87	6.2024	3.9093	1.5018	6.2024	3.9093	0.2503	24.7795	15.6184	NA	0.0025	0.0075	NA	0.006	0.0368	NA
03dbe23a9e8b7382924fd20ec95338af	2.5804	2.1124	0.6285	2.5804	2.1124	0.1048	24.632	20.1646	NA	0.0025	0.0041	NA	0.0061	0.0262	NA
03e263884fc71d9f491555f67c1f630d	4.9063	1.2839	1.7725	4.9063	1.2839	0.2954	16.6083	4.3461	NA	0.0065	0.0822	NA	0.0128	0.1711	NA
03f86a1233871340db1328f6fc35aff1	8.8899	0.0264	0.9082	8.8899	0.0264	0.1514	58.7333	0.1743	NA	3e-04	0.6909	NA	0.0013	0.7768	NA
03f8d34575dc20b78b31c3c1177379b9	7.0779	0.0548	0.8365	7.0779	0.0548	0.1394	50.7688	0.3928	NA	4e-04	0.5539	NA	0.0016	0.673	NA
040ffbbb2858152fe7b1bfe2be12eebb	6.188	1.1546	1.3768	6.188	1.1546	0.2295	26.9667	5.0319	NA	0.002	0.0661	NA	0.0051	0.1478	NA
041c4b843dce3deada3d6b1daf849177	22.0461	1.9532	0.3953	22.0461	1.9532	0.0659	334.6639	29.6504	NA	0	0.0016	NA	1e-04	0.015	NA
042f95fd86a3be60cda5e0a13e76be0c	0.1105	10.0229	2.6899	0.1105	10.0229	0.4483	0.2465	22.3571	NA	0.6372	0.0032	NA	0.6696	0.0228	NA
04356242a8d119e65547c999cf90c0a1	0.2899	3.3323	1.4793	0.2899	3.3323	0.2466	1.1756	13.5156	NA	0.3199	0.0104	NA	0.3643	0.0453	NA
043b4a5d64c5e405fa8ce60a25bebd8b	3.8802	0.4684	2.9141	3.8802	0.4684	0.4857	7.989	0.9644	NA	0.0301	0.364	NA	0.0456	0.4975	NA
04731e32cb646050ab7f27f284c04106	1.3801	2.8419	10.8383	1.3801	2.8419	1.8064	0.764	1.5733	NA	0.4157	0.2564	NA	0.4605	0.3874	NA
0495aca4ee75b03118200f39e55de807	11.3864	0.0115	0.7281	11.3864	0.0115	0.1213	93.8358	0.0945	NA	1e-04	0.7689	NA	6e-04	0.84	NA
0496149b2d1f183353cbf9189b7049e2	4.3316	0.4083	2.2895	4.3316	0.4083	0.3816	11.3517	1.07	NA	0.0151	0.3408	NA	0.0253	0.475	NA
04b93fa3ee523f9634c9c795a5f49e4b	2.24	1.8441	1.657	2.24	1.8441	0.2762	8.1108	6.6772	NA	0.0293	0.0415	NA	0.0446	0.109	NA
04bd54b9e03f729a1a5670b1416e260b	1.9504	1.0529	0.3141	1.9504	1.0529	0.0524	37.2525	20.1102	NA	9e-04	0.0042	NA	0.0029	0.0263	NA
04c1a513f665c225f7ed173aa4fa12bf	5.8714	0.01	4.723	5.8714	0.01	0.7872	7.4589	0.0127	NA	0.0341	0.9138	NA	0.0506	0.9405	NA
04ca9aedc6db942a0474cdc0a762451a	2.522	0.1754	0.5457	2.522	0.1754	0.0909	27.7301	1.9286	NA	0.0019	0.2143	NA	0.0048	0.3425	NA
04d5efa38f3a410566bdc4ede3702fb5	4.0878	0.294	0.2981	4.0878	0.294	0.0497	82.268	5.9161	NA	1e-04	0.051	NA	7e-04	0.1262	NA
04eea75f54ae1103d2c566b1e826e22d	0.0902	2.2578	0.639	0.0902	2.2578	0.1065	0.8473	21.2012	NA	0.3928	0.0037	NA	0.4381	0.0246	NA
04ef5fcaf6bf35657ee641e7ab693ee9	4.2644	0	2.422	4.2644	0	0.4037	10.5641	0	NA	0.0175	0.9955	NA	0.0285	0.9972	NA
04f27efead94a16b3e810b74f86514f0	1.2257	0.1517	1.6872	1.2257	0.1517	0.2812	4.3588	0.5396	NA	0.0819	0.4903	NA	0.1074	0.6205	NA
05425468abc7b6696e6644b43e20a070	0.671	1.5899	1.2131	0.671	1.5899	0.2022	3.3186	7.8636	NA	0.1183	0.031	NA	0.1491	0.0917	NA
0575b5bcc7abd6f7a59549c280abbd34	10.0504	0.1409	2.7683	10.0504	0.1409	0.4614	21.7831	0.3053	NA	0.0034	0.6005	NA	0.0078	0.7069	NA
058b63372cbe61fbfecc853d367548c1	4.3624	3.6163	0.3814	4.3624	3.6163	0.0636	68.6356	56.8966	NA	2e-04	3e-04	NA	0.001	0.0063	NA
059e24b38a4bff0d4f11ed6166a3437c	2.4731	1.5887	2.8751	2.4731	1.5887	0.4792	5.1611	3.3155	NA	0.0635	0.1185	NA	0.0858	0.2227	NA
05c4489613b115ee4ec2ef8199067913	10.5126	3.1496	0.2949	10.5126	3.1496	0.0492	213.8823	64.0795	NA	0	2e-04	NA	2e-04	0.0054	NA
05c91f47ed9f3d030a1ff1f59465f00c	3.761	0.1058	1.044	3.761	0.1058	0.174	21.6145	0.6082	NA	0.0035	0.4651	NA	0.0079	0.5974	NA
05d75b81fb54d3ff766fc90129feed63	13.6341	1.4818	0.4276	13.6341	1.4818	0.0713	191.3082	20.792	NA	0	0.0039	NA	2e-04	0.0252	NA
05e856ee9d148f9da62ea0b0ccf6db24	1.3298	8.3551	0.327	1.3298	8.3551	0.0545	24.4025	153.322	NA	0.0026	0	NA	0.0062	0.0028	NA
06094dd96a7550292ac7a15406ee3eb7	3.4272	3.2526	1.2533	3.4272	3.2526	0.2089	16.4077	15.5717	NA	0.0067	0.0076	NA	0.0131	0.037	NA
060f5656d8e6b35f013adc46dccda6cb	5.3044	0.0296	2.0327	5.3044	0.0296	0.3388	15.6571	0.0872	NA	0.0075	0.7777	NA	0.0142	0.8448	NA
062dc7bf1a892776a0d4259124cbb2fd	0.5375	0.8587	0.7425	0.5375	0.8587	0.1237	4.3433	6.9391	NA	0.0823	0.0388	NA	0.1079	0.1046	NA
06308be651a239379c2200605a63c9b6	32.8789	0.1054	1.3855	32.8789	0.1054	0.2309	142.3851	0.4563	NA	0	0.5245	NA	3e-04	0.6503	NA
067925bf2c68cfbf03151580d443463a	0.443	0.6196	0.4492	0.443	0.6196	0.0749	5.9177	8.2769	NA	0.051	0.0282	NA	0.0713	0.0854	NA
06850915424790786904937314f04f24	2.6021	1.5279	1.2481	2.6021	1.5279	0.208	12.5095	7.3453	NA	0.0123	0.0351	NA	0.0214	0.099	NA
0691bcbf69519fb5dba78151aa18c728	2.33	1.0355	0.9727	2.33	1.0355	0.1621	14.3721	6.3872	NA	0.0091	0.0448	NA	0.0167	0.1149	NA
06bde0cecfbcada397af9c0bf5f83820	3.2214	0.0135	2.0646	3.2214	0.0135	0.3441	9.3619	0.0391	NA	0.0222	0.8497	NA	0.035	0.8982	NA
