treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	4.1217	2.872	1.843	4.1217	2.872	0.2304	17.891	12.4664	NA	0.0029	0.0077	NA	0.0062	0.0339	NA
00089b46831e8ef8664d2a632b8145c5	0.9048	0.2004	2.3794	0.9048	0.2004	0.2974	3.0421	0.6738	NA	0.1193	0.4355	NA	0.1469	0.5748	NA
002707428636a815354367f102120956	1.2977	0.133	2.4789	1.2977	0.133	0.3099	4.188	0.4293	NA	0.0749	0.5307	NA	0.0969	0.6588	NA
00361d4ec0f6bc9593b3365b7718c95b	1.7564	7.4247	2.4572	1.7564	7.4247	0.3072	5.7184	24.1724	NA	0.0438	0.0012	NA	0.0605	0.0103	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.4204	2e-04	2.795	8.4204	2e-04	0.3494	24.1009	5e-04	NA	0.0012	0.9832	NA	0.0032	0.9901	NA
0046281d7bcee40b30209fff59cb8a72	0.1965	3.4887	2.5139	0.1965	3.4887	0.3142	0.6252	11.1019	NA	0.4519	0.0104	NA	0.491	0.041	NA
005e34772346d65b74ff2f90ea4ec0ee	6.284	0.7781	1.8862	6.284	0.7781	0.2358	26.6528	3.3004	NA	9e-04	0.1068	NA	0.0025	0.2085	NA
008277a5fd42cb04f88c34a26df200ce	1.0289	0.0431	0.5633	1.0289	0.0431	0.0704	14.6124	0.6123	NA	0.0051	0.4565	NA	0.0098	0.5947	NA
00a0854286a925a7b381be83b1a83ae6	9.8741	1.1254	1.8772	9.8741	1.1254	0.2347	42.0802	4.7962	NA	2e-04	0.0599	NA	0.001	0.1365	NA
00ac039693854d7669a43b754dfc59bf	4.7152	0.3344	2.5143	4.7152	0.3344	0.3143	15.0025	1.0641	NA	0.0047	0.3325	NA	0.0092	0.4729	NA
