treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	4.1203	0.0893	1.4871	4.1203	0.0893	0.1859	22.1651	0.4803	NA	0.0015	0.5079	NA	0.0034	0.6271	NA
00089b46831e8ef8664d2a632b8145c5	0.5651	0.5475	4.3503	0.5651	0.5475	0.5438	1.0393	1.0069	NA	0.3378	0.345	NA	0.376	0.4719	NA
002707428636a815354367f102120956	2.2996	0.3062	2.5807	2.2996	0.3062	0.3226	7.1286	0.949	NA	0.0284	0.3585	NA	0.0402	0.4867	NA
00361d4ec0f6bc9593b3365b7718c95b	16.7202	0.3952	2.7124	16.7202	0.3952	0.339	49.3151	1.1655	NA	1e-04	0.3118	NA	5e-04	0.4356	NA
0036d59b9c2c58b22fd5945b4aa3f348	16.4114	0.0042	0.6893	16.4114	0.0042	0.0862	190.4649	0.0486	NA	0	0.831	NA	1e-04	0.8863	NA
0046281d7bcee40b30209fff59cb8a72	0.3462	2.4455	2.3058	0.3462	2.4455	0.2882	1.201	8.4846	NA	0.305	0.0195	NA	0.3426	0.0551	NA
005e34772346d65b74ff2f90ea4ec0ee	10.2748	0.0056	1.3793	10.2748	0.0056	0.1724	59.5949	0.0323	NA	1e-04	0.8619	NA	3e-04	0.9067	NA
008277a5fd42cb04f88c34a26df200ce	2.3182	0.0126	1.0083	2.3182	0.0126	0.126	18.3924	0.0999	NA	0.0027	0.76	NA	0.0053	0.8328	NA
00a0854286a925a7b381be83b1a83ae6	8.8189	0.01	1.3808	8.8189	0.01	0.1726	51.0934	0.058	NA	1e-04	0.8157	NA	4e-04	0.8752	NA
00ac039693854d7669a43b754dfc59bf	6.7129	0.2356	1.8478	6.7129	0.2356	0.231	29.0634	1.02	NA	7e-04	0.3421	NA	0.0017	0.4693	NA
00b05a391e262ebf75433a5901c94f69	14.4035	0.1758	1.2315	14.4035	0.1758	0.1539	93.5706	1.1418	NA	0	0.3164	NA	1e-04	0.4406	NA
00b65cc09893d47765ac0925658ae35e	2.7441	0.6147	3.2038	2.7441	0.6147	0.4005	6.8521	1.535	NA	0.0308	0.2505	NA	0.0432	0.3674	NA
00c799f63b8289b2b606e7f2e056cf59	4.3737	0.2421	4.8247	4.3737	0.2421	0.6031	7.2522	0.4015	NA	0.0274	0.544	NA	0.039	0.6572	NA
