treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.9885	6.4968	3.5399	1.9885	6.4968	0.4425	4.494	14.6826	NA	0.0668	0.005	NA	0.0929	0.033	NA
002707428636a815354367f102120956	0.6126	6.651	3.4166	0.6126	6.651	0.4271	1.4344	15.5734	NA	0.2653	0.0043	NA	0.3075	0.0306	NA
00361d4ec0f6bc9593b3365b7718c95b	10.9708	4.5634	1.5426	10.9708	4.5634	0.1928	56.8938	23.6654	NA	1e-04	0.0012	NA	6e-04	0.0147	NA
0036d59b9c2c58b22fd5945b4aa3f348	13.9235	0.6279	0.829	13.9235	0.6279	0.1036	134.3644	6.0596	NA	0	0.0392	NA	1e-04	0.1191	NA
0046281d7bcee40b30209fff59cb8a72	1.8139	0.2949	4.4359	1.8139	0.2949	0.5545	3.2713	0.5318	NA	0.1081	0.4866	NA	0.1402	0.6399	NA
005e34772346d65b74ff2f90ea4ec0ee	8.3057	1.5788	3.652	8.3057	1.5788	0.4565	18.1943	3.4584	NA	0.0027	0.1	NA	0.0071	0.2233	NA
008277a5fd42cb04f88c34a26df200ce	1.59	1.1553	5.2358	1.59	1.1553	0.6545	2.4295	1.7652	NA	0.1577	0.2206	NA	0.1939	0.3832	NA
00b05a391e262ebf75433a5901c94f69	11.9151	2.5592	2.3336	11.9151	2.5592	0.2917	40.8466	8.7735	NA	2e-04	0.0181	NA	0.0012	0.0725	NA
00b65cc09893d47765ac0925658ae35e	2.9091	0.6124	4.5941	2.9091	0.6124	0.5743	5.0658	1.0664	NA	0.0545	0.332	NA	0.0785	0.5054	NA
00c799f63b8289b2b606e7f2e056cf59	7.4742	0.4028	2.3804	7.4742	0.4028	0.2976	25.1188	1.3537	NA	0.001	0.2782	NA	0.0034	0.4454	NA
00f6d2cccf1735abedc75afff481ba2d	5.6031	2.7264	2.7813	5.6031	2.7264	0.3477	16.1167	7.8421	NA	0.0039	0.0232	NA	0.0091	0.0835	NA
0104f91f1cc33e553be3bfc68a517ce7	11.4521	0.0348	2.0109	11.4521	0.0348	0.2514	45.5607	0.1384	NA	1e-04	0.7196	NA	9e-04	0.8178	NA
010f0a7d84a28949c78be5930457dabc	1.1819	1.7701	1.9981	1.1819	1.7701	0.2498	4.732	7.0873	NA	0.0613	0.0287	NA	0.0865	0.0969	NA
0141cc500b9cfd472681696cfe8f2eb1	9.0766	0.1784	2.4722	9.0766	0.1784	0.309	29.3712	0.5772	NA	6e-04	0.4692	NA	0.0024	0.6266	NA
014e0244ce0227c40879daa0bae73ee2	1.3198	0.0069	2.3045	1.3198	0.0069	0.2881	4.5818	0.0239	NA	0.0647	0.8809	NA	0.0906	0.9345	NA
01532d9e56ecb072ab5a8eaa9b39de5c	3.2547	0.0118	0.7691	3.2547	0.0118	0.0961	33.854	0.1231	NA	4e-04	0.7347	NA	0.0017	0.8282	NA
015d0a9ef9e5e74e6a46eb8ee8ca202e	1.3703	1.6093	5.4267	1.3703	1.6093	0.6783	2.02	2.3723	NA	0.193	0.1621	NA	0.2319	0.3106	NA
