treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	0.6177	7.1136	1.6735	0.6177	7.1136	0.2092	2.9528	34.0063	NA	0.1241	4e-04	NA	0.1475	0.0023	NA
00089b46831e8ef8664d2a632b8145c5	1.7164	3.5017	1.4746	1.7164	3.5017	0.1843	9.3119	18.998	NA	0.0158	0.0024	NA	0.0228	0.0084	NA
002707428636a815354367f102120956	1.7101	0.0249	2.7047	1.7101	0.0249	0.3381	5.0581	0.0736	NA	0.0547	0.7931	NA	0.07	0.8384	NA
00361d4ec0f6bc9593b3365b7718c95b	11.0137	3.9414	0.9269	11.0137	3.9414	0.1159	95.0625	34.0191	NA	0	4e-04	NA	1e-04	0.0023	NA
0036d59b9c2c58b22fd5945b4aa3f348	15.3513	3.4151	0.603	15.3513	3.4151	0.0754	203.6766	45.3104	NA	0	1e-04	NA	0	0.0013	NA
0046281d7bcee40b30209fff59cb8a72	1.8354	7.4376	1.664	1.8354	7.4376	0.208	8.8239	35.7577	NA	0.0179	3e-04	NA	0.0255	0.002	NA
005e34772346d65b74ff2f90ea4ec0ee	8.9609	0.0227	0.5988	8.9609	0.0227	0.0749	119.7095	0.3034	NA	0	0.5968	NA	0	0.6718	NA
008277a5fd42cb04f88c34a26df200ce	2.2375	1.1771	1.2163	2.2375	1.1771	0.152	14.717	7.7423	NA	0.005	0.0238	NA	0.0082	0.0489	NA
00ac039693854d7669a43b754dfc59bf	8.8465	0.3322	1.914	8.8465	0.3322	0.2393	36.9753	1.3885	NA	3e-04	0.2725	NA	8e-04	0.3552	NA
00b05a391e262ebf75433a5901c94f69	13.5792	0.0042	1.1266	13.5792	0.0042	0.1408	96.4296	0.03	NA	0	0.8668	NA	1e-04	0.8976	NA
00b65cc09893d47765ac0925658ae35e	3.682	0.2199	2.0357	3.682	0.2199	0.2545	14.4697	0.8641	NA	0.0052	0.3798	NA	0.0085	0.4667	NA
