treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.8374	2.9186	3.4151	0.8374	2.9186	0.4269	1.9616	6.837	NA	0.1989	0.0309	NA	0.2359	0.0708	NA
0051ee453ff489fa79b20379bcc79b6b	3.9503	2.9961	2.3083	3.9503	2.9961	0.2885	13.6904	10.3835	NA	0.006	0.0122	NA	0.0137	0.0358	NA
00539cb2af8b7b06ee1279130fa2f307	9.676	0.9583	3.4373	9.676	0.9583	0.4297	22.5203	2.2303	NA	0.0015	0.1737	NA	0.0087	0.2594	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0039	1.1853	3.5168	0.0039	1.1853	0.4396	0.0089	2.6964	NA	0.9273	0.1392	NA	0.9379	0.2181	NA
0092362bbf11972deda26d5b9e919f85	10.5088	1.0101	3.2731	10.5088	1.0101	0.4091	25.6855	2.469	NA	0.001	0.1548	NA	0.0086	0.2375	NA
0095b52bd61b59e97345c0564dc8496e	4e-04	3.5468	1.2238	4e-04	3.5468	0.153	0.0027	23.1848	NA	0.9601	0.0013	NA	0.9676	0.0079	NA
00a550b3fa43f178639afb2a02540b16	3.9559	4.2091	2.0762	3.9559	4.2091	0.2595	15.2429	16.2185	NA	0.0045	0.0038	NA	0.0116	0.0156	NA
00b08f570ae6322b03af00df9230f86d	2.189	1.2581	1.5223	2.189	1.2581	0.1903	11.5036	6.6117	NA	0.0095	0.0331	NA	0.0184	0.0748	NA
00c4a692e67b1c93a289ffcae447cfcf	5.8088	1.8782	4.5716	5.8088	1.8782	0.5715	10.165	3.2868	NA	0.0128	0.1074	NA	0.023	0.1796	NA
00c6a28930e3eafc29b6cf8827820e4c	0.274	4.3795	0.6616	0.274	4.3795	0.0827	3.3136	52.955	NA	0.1062	1e-04	NA	0.1352	0.0017	NA
00cee8684ccbb62fce87c20103b8aed2	3.7499	3.3926	4.0959	3.7499	3.3926	0.512	7.3242	6.6263	NA	0.0268	0.0329	NA	0.0411	0.0745	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	3.0245	1.0492	1.8714	3.0245	1.0492	0.2339	12.9297	4.4852	NA	0.007	0.0671	NA	0.015	0.126	NA
011b116b1e264e2cde7ec36aa569ad7c	12.3033	3.2869	3.7349	12.3033	3.2869	0.4669	26.353	7.0404	NA	9e-04	0.0291	NA	0.0086	0.0678	NA
0127000197e26a049598b4a6d0225ba2	3.2928	0.2622	4.7259	3.2928	0.2622	0.5907	5.5741	0.4438	NA	0.0459	0.524	NA	0.0646	0.6151	NA
013c9c13c8d7029019462bef0627adba	9.7869	6.2283	4.1968	9.7869	6.2283	0.5246	18.656	11.8725	NA	0.0025	0.0088	NA	0.0093	0.0281	NA
015116cb2ae1efade79e1af688f3c15b	0.3919	2.0322	2.8114	0.3919	2.0322	0.3514	1.1153	5.7828	NA	0.3218	0.0429	NA	0.3649	0.0904	NA
