treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	5.2371	8.2662	0.9483	5.2371	8.2662	0.1185	44.1816	69.7361	NA	2e-04	0	NA	0.0012	8e-04	NA
0051ee453ff489fa79b20379bcc79b6b	4.0757	1.5983	1.8057	4.0757	1.5983	0.2257	18.0572	7.0814	NA	0.0028	0.0288	NA	0.0057	0.0612	NA
00539cb2af8b7b06ee1279130fa2f307	10.6996	0.0764	1.9683	10.6996	0.0764	0.246	43.4878	0.3106	NA	2e-04	0.5926	NA	0.0012	0.6722	NA
006c80037cfc5a276d7d1b8ef20cdccd	5.4479	1.6875	12.8829	5.4479	1.6875	1.6104	3.383	1.0479	NA	0.1032	0.336	NA	0.1267	0.4279	NA
0092362bbf11972deda26d5b9e919f85	10.1605	5.5737	1.2144	10.1605	5.5737	0.1518	66.9354	36.7185	NA	0	3e-04	NA	9e-04	0.0027	NA
0095b52bd61b59e97345c0564dc8496e	0.5296	1.3114	0.5583	0.5296	1.3114	0.0698	7.5881	18.7915	NA	0.0249	0.0025	NA	0.0352	0.0105	NA
00a550b3fa43f178639afb2a02540b16	0.031	16.6989	0.9866	0.031	16.6989	0.1233	0.2513	135.4062	NA	0.6296	0	NA	0.6614	2e-04	NA
00a811735beb8aad554772043d92e96f	5.0833	1.2279	2.3522	5.0833	1.2279	0.294	17.2888	4.176	NA	0.0032	0.0753	NA	0.0063	0.1302	NA
00b08f570ae6322b03af00df9230f86d	5.7749	2.1067	2.3457	5.7749	2.1067	0.2932	19.6954	7.185	NA	0.0022	0.0279	NA	0.0047	0.0597	NA
00c4a692e67b1c93a289ffcae447cfcf	8.4385	1.1105	1.9807	8.4385	1.1105	0.2476	34.0837	4.4856	NA	4e-04	0.067	NA	0.0016	0.1182	NA
00c6a28930e3eafc29b6cf8827820e4c	0.0443	4.6102	0.9557	0.0443	4.6102	0.1195	0.3706	38.5924	NA	0.5595	3e-04	NA	0.5947	0.0024	NA
00cee8684ccbb62fce87c20103b8aed2	3.2836	10.0681	1.7634	3.2836	10.0681	0.2204	14.8965	45.6751	NA	0.0048	1e-04	NA	0.0089	0.0017	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	5.1061	9.4716	1.7906	5.1061	9.4716	0.2238	22.8136	42.3178	NA	0.0014	2e-04	NA	0.0034	0.002	NA
0112c347c6def14a99ba74cd77bfc94d	7.5701	3.5467	1.1283	7.5701	3.5467	0.141	53.6736	25.147	NA	1e-04	0.001	NA	0.0011	0.0058	NA
011b116b1e264e2cde7ec36aa569ad7c	13.737	0.0399	2.8785	13.737	0.0399	0.3598	38.1779	0.1109	NA	3e-04	0.7477	NA	0.0014	0.8068	NA
0127000197e26a049598b4a6d0225ba2	8.4737	0.0688	0.8686	8.4737	0.0688	0.1086	78.0448	0.6336	NA	0	0.449	NA	8e-04	0.5374	NA
013c9c13c8d7029019462bef0627adba	7.0236	4.8455	2.0496	7.0236	4.8455	0.2562	27.4144	18.9128	NA	8e-04	0.0024	NA	0.0023	0.0104	NA
015116cb2ae1efade79e1af688f3c15b	0.0051	0.1211	2.7181	0.0051	0.1211	0.3398	0.0149	0.3564	NA	0.9058	0.567	NA	0.9191	0.6485	NA
017a60cbade7b309db182bcabe59d6a4	16.3577	3.0669	1.7458	16.3577	3.0669	0.2182	74.9593	14.054	NA	0	0.0056	NA	8e-04	0.0183	NA
017d459400583fe36857c77a1d541f39	4.1077	0.0176	1.2487	4.1077	0.0176	0.1561	26.3159	0.113	NA	9e-04	0.7454	NA	0.0025	0.8052	NA
018de0ee05bc68de9383baf688539f9f	8.6579	0.2542	2.444	8.6579	0.2542	0.3055	28.3403	0.8322	NA	7e-04	0.3883	NA	0.0022	0.4799	NA
019ee757485f09fa0c7881843036a765	0.2898	0.0171	1.1383	0.2898	0.0171	0.1423	2.0365	0.1205	NA	0.1914	0.7375	NA	0.2232	0.7988	NA
019f94720ba42ef1861b87fc58cdd3de	3.2658	0.8837	3.0196	3.2658	0.8837	0.3775	8.6522	2.3413	NA	0.0187	0.1645	NA	0.0275	0.2405	NA
01ac16555e036cea2ece2a239591aae6	8.203	7.9787	1.8941	8.203	7.9787	0.2368	34.6465	33.6994	NA	4e-04	4e-04	NA	0.0016	0.0032	NA
01b2f3b340d5c58058b29719f8ce8d4e	0.1075	0.78	0.2252	0.1075	0.78	0.0281	3.8199	27.7109	NA	0.0864	8e-04	NA	0.1081	0.0048	NA
01e013346904f75a91f713c559585ff7	3.0773	6.5754	1.4886	3.0773	6.5754	0.1861	16.5375	35.3365	NA	0.0036	3e-04	NA	0.007	0.003	NA
01e7154d4b5f3188595e288aeab7f7a0	7.4802	0.5273	1.5258	7.4802	0.5273	0.1907	39.2184	2.7649	NA	2e-04	0.1349	NA	0.0014	0.2043	NA
01e9bb0d97f8ed373a8d529ffb971acc	2.9761	1.3444	1.5721	2.9761	1.3444	0.1965	15.1443	6.8412	NA	0.0046	0.0309	NA	0.0086	0.0646	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.5201	0.2579	1.179	0.5201	0.2579	0.1474	3.5292	1.7502	NA	0.0971	0.2224	NA	0.1202	0.3069	NA
01feb696b69822d637cdf0956d28bad4	3.4645	19.2599	5.8154	3.4645	19.2599	0.7269	4.766	26.4949	NA	0.0606	9e-04	NA	0.0782	0.0052	NA
02104476719f02b32307edfdb1e6a0c4	5.0804	0.1468	1.174	5.0804	0.1468	0.1467	34.6207	1.0005	NA	4e-04	0.3465	NA	0.0016	0.4393	NA
02266378f920e88e1dac1ed916c48ff6	9.2611	0.8238	1.9846	9.2611	0.8238	0.2481	37.3325	3.3209	NA	3e-04	0.1059	NA	0.0015	0.1691	NA
022b87e073ba519506a6d0d9dac1bba1	0.3359	28.039	10.2161	0.3359	28.039	1.277	0.263	21.9566	NA	0.6219	0.0016	NA	0.6547	0.0077	NA
026e9b4b119e8cabb3eedd41465c0b04	4.8104	4.3719	3.7634	4.8104	4.3719	0.4704	10.2258	9.2936	NA	0.0127	0.0159	NA	0.0196	0.0386	NA
026f6d9d6a5c591d5465aaeddf6222f1	11.8204	0.1422	2.4743	11.8204	0.1422	0.3093	38.2185	0.4596	NA	3e-04	0.5169	NA	0.0014	0.6019	NA
027ee5073ec17a7192c3036f2b817f18	10.1719	3.9428	8.0159	10.1719	3.9428	1.002	10.1517	3.935	NA	0.0129	0.0826	NA	0.0199	0.1394	NA
028a375a3a51f2d5d05b85cf4ef10890	2.828	6.5227	0.337	2.828	6.5227	0.0421	67.1333	154.8427	NA	0	0	NA	9e-04	2e-04	NA
02a63d174c8502c109303db99cf1e437	2.0102	2.7914	0.5753	2.0102	2.7914	0.0719	27.952	38.8154	NA	7e-04	3e-04	NA	0.0023	0.0024	NA
02adf979cb3500c39977fffbf7d2a048	4.0153	0.1568	1.1708	4.0153	0.1568	0.1463	27.4371	1.0717	NA	8e-04	0.3308	NA	0.0023	0.4231	NA
02c00510d4deae8d414f84d4af078919	0.8325	1.2949	1.2464	0.8325	1.2949	0.1558	5.3436	8.3115	NA	0.0496	0.0204	NA	0.065	0.0467	NA
02c19d40dee2d87c409a2e2f7b713d7f	1.36	3.5921	3.7056	1.36	3.5921	0.4632	2.9362	7.7551	NA	0.125	0.0237	NA	0.1511	0.0525	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	22.6346	0.4975	6.726	22.6346	0.4975	0.8408	26.9217	0.5918	NA	8e-04	0.4638	NA	0.0024	0.5514	NA
02db2ad8ae83f16a31add624ea4ad90e	2.5153	1.9085	1.1279	2.5153	1.9085	0.141	17.8409	13.5368	NA	0.0029	0.0062	NA	0.0059	0.0197	NA
02ed78575eba82d038ec26a744d9b6c5	0.9584	31.4133	0.7638	0.9584	31.4133	0.0955	10.0389	329.0342	NA	0.0132	0	NA	0.0204	1e-04	NA
02f7b0f943947c68160210ebf8af9e7d	3.9126	2.0167	1.0693	3.9126	2.0167	0.1337	29.2715	15.0873	NA	6e-04	0.0046	NA	0.0021	0.016	NA
03202b02066380ba1d7fadbf07ec658a	0.0693	5.2337	2.1625	0.0693	5.2337	0.2703	0.2563	19.362	NA	0.6264	0.0023	NA	0.6585	0.0099	NA
03355cd11fa9d7ee1d42bfd508147739	0.7727	5.2888	1.4877	0.7727	5.2888	0.186	4.1549	28.4398	NA	0.0759	7e-04	NA	0.0961	0.0045	NA
03734cd02763530410103ffac1802bfc	8.8898	13.7501	7.6969	8.8898	13.7501	0.9621	9.2399	14.2915	NA	0.0161	0.0054	NA	0.0241	0.0177	NA
0381b98525605c48d762e395044ca5b2	11.8074	0.0112	1.9621	11.8074	0.0112	0.2453	48.141	0.0455	NA	1e-04	0.8364	NA	0.0012	0.8781	NA
039c7e0354d3997945bfb6b56867ef87	12.4972	0.2791	3.082	12.4972	0.2791	0.3852	32.4396	0.7243	NA	5e-04	0.4195	NA	0.0018	0.5091	NA
03dbe23a9e8b7382924fd20ec95338af	1.9125	0.2973	1.1084	1.9125	0.2973	0.1386	13.8032	2.1456	NA	0.0059	0.1811	NA	0.0105	0.2596	NA
03e263884fc71d9f491555f67c1f630d	3.2709	2.619	1.8769	3.2709	2.619	0.2346	13.9421	11.1632	NA	0.0058	0.0102	NA	0.0102	0.0282	NA
03f86a1233871340db1328f6fc35aff1	8.9663	0.0076	1.7683	8.9663	0.0076	0.221	40.5656	0.0343	NA	2e-04	0.8576	NA	0.0013	0.8941	NA
03f8d34575dc20b78b31c3c1177379b9	6.5113	0.1398	1.0549	6.5113	0.1398	0.1319	49.3796	1.0601	NA	1e-04	0.3333	NA	0.0012	0.4257	NA
040ffbbb2858152fe7b1bfe2be12eebb	5.1273	0.0586	1.5978	5.1273	0.0586	0.1997	25.6717	0.2934	NA	0.001	0.6028	NA	0.0026	0.6805	NA
041c4b843dce3deada3d6b1daf849177	17.9636	3.1541	1.6533	17.9636	3.1541	0.2067	86.9224	15.262	NA	0	0.0045	NA	7e-04	0.0157	NA
042f95fd86a3be60cda5e0a13e76be0c	1.9711	3.5143	1.4862	1.9711	3.5143	0.1858	10.6101	18.9174	NA	0.0116	0.0024	NA	0.0182	0.0104	NA
04356242a8d119e65547c999cf90c0a1	0.2307	3.4839	0.5653	0.2307	3.4839	0.0707	3.2646	49.307	NA	0.1084	1e-04	NA	0.1324	0.0015	NA
04731e32cb646050ab7f27f284c04106	4.1857	4.1676	12.7602	4.1857	4.1676	1.595	2.6243	2.6129	NA	0.1439	0.1447	NA	0.1723	0.2169	NA
0495aca4ee75b03118200f39e55de807	7.4982	0.888	1.6954	7.4982	0.888	0.2119	35.3811	4.1899	NA	3e-04	0.0749	NA	0.0015	0.1299	NA
0496149b2d1f183353cbf9189b7049e2	5.0663	0.0038	2.8887	5.0663	0.0038	0.3611	14.0305	0.0105	NA	0.0057	0.9208	NA	0.0101	0.9382	NA
04b93fa3ee523f9634c9c795a5f49e4b	4.1184	0.7308	1.2567	4.1184	0.7308	0.1571	26.2163	4.6519	NA	9e-04	0.0631	NA	0.0025	0.113	NA
04bd54b9e03f729a1a5670b1416e260b	2.6241	0.4249	0.7462	2.6241	0.4249	0.0933	28.1324	4.555	NA	7e-04	0.0654	NA	0.0022	0.116	NA
04c1a513f665c225f7ed173aa4fa12bf	6.9062	0.2041	5.6626	6.9062	0.2041	0.7078	9.7569	0.2884	NA	0.0142	0.6059	NA	0.0216	0.6827	NA
04ca9aedc6db942a0474cdc0a762451a	7.0663	4.8425	2.9949	7.0663	4.8425	0.3744	18.8759	12.9356	NA	0.0025	0.007	NA	0.0052	0.0214	NA
04d5efa38f3a410566bdc4ede3702fb5	2.4856	5.3025	1.054	2.4856	5.3025	0.1317	18.8669	40.2482	NA	0.0025	2e-04	NA	0.0052	0.0022	NA
04ef5fcaf6bf35657ee641e7ab693ee9	1.7885	0.933	4.373	1.7885	0.933	0.5466	3.2719	1.7068	NA	0.1081	0.2277	NA	0.1321	0.3131	NA
04f27efead94a16b3e810b74f86514f0	0.2411	0.1661	1.4838	0.2411	0.1661	0.1855	1.2999	0.8955	NA	0.2872	0.3717	NA	0.3239	0.4648	NA
05425468abc7b6696e6644b43e20a070	0.2472	0.0733	1.4879	0.2472	0.0733	0.186	1.3289	0.3942	NA	0.2823	0.5476	NA	0.3193	0.6308	NA
0575b5bcc7abd6f7a59549c280abbd34	12.8831	1.1052	2.9262	12.8831	1.1052	0.3658	35.2217	3.0216	NA	3e-04	0.1204	NA	0.0016	0.1868	NA
058b63372cbe61fbfecc853d367548c1	5.6429	4.5718	1.6732	5.6429	4.5718	0.2091	26.9809	21.8597	NA	8e-04	0.0016	NA	0.0024	0.0077	NA
059e24b38a4bff0d4f11ed6166a3437c	2.9802	3.6679	3.9716	2.9802	3.6679	0.4964	6.0031	7.3883	NA	0.0399	0.0263	NA	0.0536	0.0568	NA
05c4489613b115ee4ec2ef8199067913	7.8757	0.1299	2.2188	7.8757	0.1299	0.2773	28.397	0.4684	NA	7e-04	0.513	NA	0.0022	0.5984	NA
05d75b81fb54d3ff766fc90129feed63	10.7868	0.0054	1.6367	10.7868	0.0054	0.2046	52.7258	0.0262	NA	1e-04	0.8754	NA	0.0011	0.9065	NA
05e856ee9d148f9da62ea0b0ccf6db24	1.7519	13.2774	0.6288	1.7519	13.2774	0.0786	22.289	168.9257	NA	0.0015	0	NA	0.0036	2e-04	NA
06094dd96a7550292ac7a15406ee3eb7	3.1813	2.2506	1.1414	3.1813	2.2506	0.1427	22.2969	15.7741	NA	0.0015	0.0041	NA	0.0036	0.0147	NA
060f5656d8e6b35f013adc46dccda6cb	2.292	0.3095	2.9231	2.292	0.3095	0.3654	6.2728	0.847	NA	0.0367	0.3843	NA	0.0498	0.4764	NA
062dc7bf1a892776a0d4259124cbb2fd	0.4686	1.2546	1.0146	0.4686	1.2546	0.1268	3.6945	9.8925	NA	0.0908	0.0137	NA	0.1131	0.0347	NA
06308be651a239379c2200605a63c9b6	38.395	0.5656	1.4141	38.395	0.5656	0.1768	217.2098	3.1996	NA	0	0.1115	NA	3e-04	0.1762	NA
067925bf2c68cfbf03151580d443463a	0.0138	1.536	1.2042	0.0138	1.536	0.1505	0.0914	10.2041	NA	0.7701	0.0127	NA	0.7943	0.033	NA
