treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	2.8851	0.0648	0.8356	2.8851	0.0648	0.1194	24.1701	0.5427	NA	0.0017	0.4853	NA	0.0043	0.647	NA
0034860642bb665e3bc98da83b24f6f7	0.6037	0.3681	1.479	0.6037	0.3681	0.2113	2.8572	1.7423	NA	0.1348	0.2284	NA	0.1636	0.3898	NA
0051ee453ff489fa79b20379bcc79b6b	2.8495	1e-04	0.6935	2.8495	1e-04	0.0991	28.7609	0.0014	NA	0.001	0.971	NA	0.0031	0.9826	NA
00539cb2af8b7b06ee1279130fa2f307	8.6961	0.0026	0.268	8.6961	0.0026	0.0383	227.1248	0.0679	NA	0	0.802	NA	2e-04	0.8796	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.3325	0.0694	6.2657	0.3325	0.0694	0.8951	0.3714	0.0776	NA	0.5615	0.7887	NA	0.5946	0.8718	NA
00823592d773ca77be3da202ae020b29	1.8141	0.0451	0.2646	1.8141	0.0451	0.0378	47.9845	1.192	NA	2e-04	0.3111	NA	0.0014	0.4875	NA
0092362bbf11972deda26d5b9e919f85	1.9056	0.7694	3.2108	1.9056	0.7694	0.4587	4.1544	1.6775	NA	0.0809	0.2363	NA	0.1033	0.3998	NA
0095b52bd61b59e97345c0564dc8496e	0.9786	4.2648	0.4802	0.9786	4.2648	0.0686	14.2661	62.1754	NA	0.0069	1e-04	NA	0.0124	0.0033	NA
00a811735beb8aad554772043d92e96f	3.246	0.8022	1.934	3.246	0.8022	0.2763	11.7487	2.9034	NA	0.011	0.1322	NA	0.0182	0.2692	NA
00bcc118d77be26d37aa6816c6eec493	12.9877	0.392	0.967	12.9877	0.392	0.1381	94.0203	2.838	NA	0	0.1359	NA	6e-04	0.2744	NA
00c4a692e67b1c93a289ffcae447cfcf	9.8842	0.0123	1.0856	9.8842	0.0123	0.1551	63.7312	0.0791	NA	1e-04	0.7867	NA	9e-04	0.8704	NA
00cee8684ccbb62fce87c20103b8aed2	1.5714	1.9676	0.503	1.5714	1.9676	0.0719	21.8677	27.3812	NA	0.0023	0.0012	NA	0.0053	0.0125	NA
0112c347c6def14a99ba74cd77bfc94d	4.97	0.6366	1.4313	4.97	0.6366	0.2045	24.3073	3.1137	NA	0.0017	0.121	NA	0.0043	0.2537	NA
011b116b1e264e2cde7ec36aa569ad7c	6.249	0.037	0.8059	6.249	0.037	0.1151	54.2769	0.3213	NA	2e-04	0.5886	NA	0.0012	0.7311	NA
0127000197e26a049598b4a6d0225ba2	6.4794	0.3408	0.7967	6.4794	0.3408	0.1138	56.9259	2.9941	NA	1e-04	0.1272	NA	0.0011	0.2627	NA
013c9c13c8d7029019462bef0627adba	1.0883	3.3311	1.6007	1.0883	3.3311	0.2287	4.7593	14.5671	NA	0.0655	0.0066	NA	0.0852	0.0369	NA
015116cb2ae1efade79e1af688f3c15b	0.2197	1.2082	0.5557	0.2197	1.2082	0.0794	2.7668	15.2181	NA	0.1402	0.0059	NA	0.1694	0.035	NA
01525c063123cb2134c64e84ad1e2118	4.0401	0.0375	1.6311	4.0401	0.0375	0.233	17.3387	0.161	NA	0.0042	0.7002	NA	0.0084	0.8152	NA
0160f5a856b526939ba1062b1cc9df76	7.057	3.3299	0.2944	7.057	3.3299	0.0421	167.8231	79.188	NA	0	0	NA	3e-04	0.0023	NA
017a60cbade7b309db182bcabe59d6a4	6.1359	2.4468	0.5614	6.1359	2.4468	0.0802	76.5121	30.5107	NA	1e-04	9e-04	NA	7e-04	0.0109	NA
018de0ee05bc68de9383baf688539f9f	3.3996	3.0866	0.4515	3.3996	3.0866	0.0645	52.7066	47.8533	NA	2e-04	2e-04	NA	0.0012	0.0051	NA
019ee757485f09fa0c7881843036a765	0.6153	0.1173	1.1448	0.6153	0.1173	0.1635	3.7621	0.7172	NA	0.0936	0.4251	NA	0.1176	0.5946	NA
01ac16555e036cea2ece2a239591aae6	3.7484	4e-04	0.2294	3.7484	4e-04	0.0328	114.3999	0.0109	NA	0	0.9199	NA	5e-04	0.9508	NA
01e013346904f75a91f713c559585ff7	1.8057	1.2482	0.185	1.8057	1.2482	0.0264	68.3341	47.2352	NA	1e-04	2e-04	NA	8e-04	0.0052	NA
01e7154d4b5f3188595e288aeab7f7a0	0.5725	2.4911	9.293	0.5725	2.4911	1.3276	0.4312	1.8764	NA	0.5324	0.2131	NA	0.5667	0.3706	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.2266	0.0486	1.1426	3.2266	0.0486	0.1632	19.7676	0.2975	NA	0.003	0.6024	NA	0.0065	0.7412	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.2431	1.4013	0.4899	0.2431	1.4013	0.07	3.4745	20.0248	NA	0.1046	0.0029	NA	0.1297	0.0216	NA
01feb696b69822d637cdf0956d28bad4	3.9054	34.3471	12.6766	3.9054	34.3471	1.8109	2.1566	18.9664	NA	0.1854	0.0033	NA	0.2175	0.0235	NA
02104476719f02b32307edfdb1e6a0c4	5.2134	0.1861	1.3003	5.2134	0.1861	0.1858	28.0651	1.0018	NA	0.0011	0.3502	NA	0.0033	0.5239	NA
02266378f920e88e1dac1ed916c48ff6	5.4049	0.3325	0.424	5.4049	0.3325	0.0606	89.2287	5.4888	NA	0	0.0516	NA	6e-04	0.1447	NA
022b87e073ba519506a6d0d9dac1bba1	4.5965	0.3528	4.6465	4.5965	0.3528	0.6638	6.9246	0.5315	NA	0.0338	0.4896	NA	0.0478	0.6506	NA
02556710e6071f6303dfb662fc79f6b6	3.5706	0.4669	2.9403	3.5706	0.4669	0.42	8.5006	1.1115	NA	0.0225	0.3268	NA	0.0334	0.5029	NA
026f6d9d6a5c591d5465aaeddf6222f1	5.9506	0.4172	0.9979	5.9506	0.4172	0.1426	41.7403	2.9265	NA	3e-04	0.1309	NA	0.0017	0.267	NA
