treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.2241	0.5644	1.8024	0.2241	0.5644	0.2575	0.8704	2.1922	NA	0.3819	0.1823	NA	0.418	0.3131	NA
0034860642bb665e3bc98da83b24f6f7	1.0744	0.3831	1.0947	1.0744	0.3831	0.1564	6.8701	2.4495	NA	0.0344	0.1615	NA	0.0466	0.2873	NA
0051ee453ff489fa79b20379bcc79b6b	0.4296	0.2378	1.7398	0.4296	0.2378	0.2485	1.7285	0.9569	NA	0.23	0.3605	NA	0.2623	0.5102	NA
006c80037cfc5a276d7d1b8ef20cdccd	4e-04	0.0284	5.8866	4e-04	0.0284	0.8409	5e-04	0.0338	NA	0.9825	0.8594	NA	0.9836	0.9047	NA
00823592d773ca77be3da202ae020b29	2.4051	0.9248	0.342	2.4051	0.9248	0.0489	49.2287	18.9295	NA	2e-04	0.0034	NA	0.0011	0.0216	NA
0092362bbf11972deda26d5b9e919f85	7.083	4.6541	3.5102	7.083	4.6541	0.5015	14.1249	9.2811	NA	0.0071	0.0187	NA	0.0119	0.0663	NA
0095b52bd61b59e97345c0564dc8496e	0.396	8.613	0.2654	0.396	8.613	0.0379	10.4454	227.1602	NA	0.0144	0	NA	0.0217	4e-04	NA
00a550b3fa43f178639afb2a02540b16	2.2909	2.103	1.9126	2.2909	2.103	0.2732	8.3847	7.697	NA	0.0231	0.0275	NA	0.0329	0.086	NA
00b08f570ae6322b03af00df9230f86d	2.7261	0.0964	1.929	2.7261	0.0964	0.2756	9.8925	0.35	NA	0.0163	0.5727	NA	0.0242	0.6978	NA
00bcc118d77be26d37aa6816c6eec493	17.778	0.06	0.1568	17.778	0.06	0.0224	793.6239	2.6764	NA	0	0.1459	NA	0	0.2688	NA
00c4a692e67b1c93a289ffcae447cfcf	7.2343	1.768	0.4426	7.2343	1.768	0.0632	114.4178	27.9632	NA	0	0.0011	NA	5e-04	0.0111	NA
00cee8684ccbb62fce87c20103b8aed2	2.4802	2.2567	1.0519	2.4802	2.2567	0.1503	16.5054	15.0176	NA	0.0048	0.0061	NA	0.0087	0.0313	NA
00ebf8e1ef000771b72c70f2036cc4f0	23.0567	0.7598	3.0975	23.0567	0.7598	0.4425	52.1057	1.717	NA	2e-04	0.2314	NA	0.0011	0.3726	NA
0112c347c6def14a99ba74cd77bfc94d	6.8035	0.0604	0.8888	6.8035	0.0604	0.127	53.5827	0.4754	NA	2e-04	0.5127	NA	0.001	0.6508	NA
011b116b1e264e2cde7ec36aa569ad7c	9.0557	0.0103	1.581	9.0557	0.0103	0.2259	40.0951	0.0457	NA	4e-04	0.8368	NA	0.0015	0.8887	NA
