treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	5.5555	2.1218	1.9146	5.5555	2.1218	0.2127	26.1155	9.9741	NA	6e-04	0.0116	NA	0.0014	0.0454	NA
00089b46831e8ef8664d2a632b8145c5	0.0661	0.0807	2.0534	0.0661	0.0807	0.2282	0.2897	0.3538	NA	0.6035	0.5666	NA	0.6328	0.7027	NA
002707428636a815354367f102120956	4.6558	0.0247	0.9663	4.6558	0.0247	0.1074	43.362	0.2302	NA	1e-04	0.6428	NA	4e-04	0.7665	NA
002f1a45b5c69d673731dd633504a01e	6.0739	0.6362	2.0143	6.0739	0.6362	0.2238	27.1381	2.8426	NA	6e-04	0.1261	NA	0.0013	0.2485	NA
00361d4ec0f6bc9593b3365b7718c95b	7.9846	14.3592	7.1104	7.9846	14.3592	0.79	10.1065	18.1752	NA	0.0112	0.0021	NA	0.0164	0.0145	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.693	0.0044	2.3617	8.693	0.0044	0.2624	33.1274	0.0168	NA	3e-04	0.8998	NA	8e-04	0.9378	NA
0046281d7bcee40b30209fff59cb8a72	0.0022	0.0912	1.767	0.0022	0.0912	0.1963	0.0111	0.4646	NA	0.9182	0.5126	NA	0.9281	0.6585	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.9827	1.5174	1.3303	0.9827	1.5174	0.1478	6.6481	10.2656	NA	0.0298	0.0108	NA	0.0395	0.043	NA
005e34772346d65b74ff2f90ea4ec0ee	6.8376	0.839	2.8356	6.8376	0.839	0.3151	21.7021	2.6629	NA	0.0012	0.1372	NA	0.0023	0.2647	NA
008277a5fd42cb04f88c34a26df200ce	2.2426	0.0787	0.6513	2.2426	0.0787	0.0724	30.99	1.0872	NA	3e-04	0.3243	NA	9e-04	0.4809	NA
0096aa36bc665b9d641ed715c86461f4	3.5965	0.7085	0.912	3.5965	0.7085	0.1013	35.4906	6.9917	NA	2e-04	0.0267	NA	6e-04	0.0814	NA
00a0854286a925a7b381be83b1a83ae6	14.7494	1.0419	1.5374	14.7494	1.0419	0.1708	86.3433	6.0995	NA	0	0.0356	NA	1e-04	0.1003	NA
00ac039693854d7669a43b754dfc59bf	5.735	1.3317	1.4341	5.735	1.3317	0.1593	35.9919	8.3574	NA	2e-04	0.0179	NA	6e-04	0.0613	NA
00b05a391e262ebf75433a5901c94f69	5.2569	0.1922	2.0889	5.2569	0.1922	0.2321	22.6495	0.8282	NA	0.001	0.3865	NA	0.0021	0.5443	NA
00b65cc09893d47765ac0925658ae35e	2.8625	1.0268	1.6675	2.8625	1.0268	0.1853	15.4499	5.542	NA	0.0035	0.043	NA	0.0058	0.1142	NA
00c799f63b8289b2b606e7f2e056cf59	3.9416	1.4412	4.7636	3.9416	1.4412	0.5293	7.447	2.7229	NA	0.0233	0.1333	NA	0.0315	0.259	NA
00f6d2cccf1735abedc75afff481ba2d	10.0008	0	2.2636	10.0008	0	0.2515	39.7636	0	NA	1e-04	0.9969	NA	5e-04	0.9984	NA
0104f91f1cc33e553be3bfc68a517ce7	4.4024	1.8531	0.648	4.4024	1.8531	0.072	61.1418	25.7361	NA	0	7e-04	NA	2e-04	0.0071	NA
010f0a7d84a28949c78be5930457dabc	0.0737	0.0407	0.8233	0.0737	0.0407	0.0915	0.8058	0.4447	NA	0.3928	0.5216	NA	0.4273	0.6664	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	4.5385	11.1119	0.6635	4.5385	11.1119	0.0737	61.5648	150.7346	NA	0	0	NA	2e-04	1e-04	NA
014e0244ce0227c40879daa0bae73ee2	0.5569	0.1	2.383	0.5569	0.1	0.2648	2.1033	0.3775	NA	0.1809	0.5541	NA	0.2091	0.6931	NA
016131c962c5b8b9fa691ffd928a7ad7	2.9126	7.1752	0.7688	2.9126	7.1752	0.0854	34.0988	84.0014	NA	2e-04	0	NA	7e-04	4e-04	NA
01643e1758a1b348e7e88641bbf23f77	3.6451	0.2354	1.5104	3.6451	0.2354	0.1678	21.7195	1.4028	NA	0.0012	0.2666	NA	0.0023	0.4181	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.0622	0.1215	0.7545	3.0622	0.1215	0.0838	36.5294	1.4499	NA	2e-04	0.2593	NA	6e-04	0.4096	NA
01748fb97de74d17bdb942aeaa74a1aa	0.565	0.2215	0.2228	0.565	0.2215	0.0248	22.8222	8.9478	NA	0.001	0.0152	NA	0.002	0.0553	NA
017752e0b75ffd85768e83da08df6f06	1.7243	0.2065	1.957	1.7243	0.2065	0.2174	7.9297	0.9496	NA	0.0202	0.3553	NA	0.0277	0.5122	NA
01802ecadc281120b3394531f9b5bcc6	5.5965	1.3157	1.7173	5.5965	1.3157	0.1908	29.3307	6.8955	NA	4e-04	0.0275	NA	0.001	0.083	NA
018166381b3825f4433929cd661c73b1	0.1309	2.57	1.4946	0.1309	2.57	0.1661	0.7882	15.4763	NA	0.3977	0.0034	NA	0.4323	0.02	NA
