treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.4575	9.4797	3.1461	0.4575	9.4797	0.3496	1.3087	27.1183	NA	0.2821	6e-04	NA	0.3173	0.0057	NA
002707428636a815354367f102120956	2.7466	5.5133	2.3394	2.7466	5.5133	0.2599	10.5664	21.2104	NA	0.01	0.0013	NA	0.0173	0.0102	NA
002f1a45b5c69d673731dd633504a01e	4.5683	6.7385	2.3481	4.5683	6.7385	0.2609	17.51	25.8284	NA	0.0024	7e-04	NA	0.0055	0.0064	NA
00361d4ec0f6bc9593b3365b7718c95b	3.8003	27.8903	3.5783	3.8003	27.8903	0.3976	9.5584	70.1491	NA	0.0129	0	NA	0.0213	8e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	7.3749	0.5278	1.8989	7.3749	0.5278	0.211	34.9529	2.5017	NA	2e-04	0.1482	NA	0.0011	0.2458	NA
0046281d7bcee40b30209fff59cb8a72	0.7388	1.6582	4.6296	0.7388	1.6582	0.5144	1.4362	3.2235	NA	0.2614	0.1062	NA	0.2962	0.193	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.5142	1.3867	2.404	0.5142	1.3867	0.2671	1.9251	5.1914	NA	0.1987	0.0487	NA	0.2306	0.1085	NA
005e34772346d65b74ff2f90ea4ec0ee	5.8645	0.1234	4.8208	5.8645	0.1234	0.5356	10.9486	0.2304	NA	0.0091	0.6427	NA	0.016	0.7386	NA
008277a5fd42cb04f88c34a26df200ce	1.8007	1.7226	4.8468	1.8007	1.7226	0.5385	3.3437	3.1986	NA	0.1007	0.1073	NA	0.1248	0.1948	NA
00b05a391e262ebf75433a5901c94f69	4.3291	2.9117	2.4613	4.3291	2.9117	0.2735	15.8301	10.647	NA	0.0032	0.0098	NA	0.007	0.0354	NA
00b65cc09893d47765ac0925658ae35e	3.5601	0.3799	3.0475	3.5601	0.3799	0.3386	10.5139	1.1219	NA	0.0101	0.3171	NA	0.0175	0.4356	NA
00c799f63b8289b2b606e7f2e056cf59	6.6479	0.9689	2.5437	6.6479	0.9689	0.2826	23.5214	3.4281	NA	9e-04	0.0971	NA	0.0028	0.1804	NA
00f6d2cccf1735abedc75afff481ba2d	9.3266	2.253	3.5731	9.3266	2.253	0.397	23.4917	5.6747	NA	9e-04	0.0411	NA	0.0028	0.0963	NA
0104f91f1cc33e553be3bfc68a517ce7	7.6173	0.2157	2.3816	7.6173	0.2157	0.2646	28.7858	0.8152	NA	5e-04	0.3901	NA	0.0017	0.5094	NA
010f0a7d84a28949c78be5930457dabc	0.6846	0.7425	2.2214	0.6846	0.7425	0.2468	2.7736	3.0082	NA	0.1302	0.1169	NA	0.1575	0.2071	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	0.6012	2.9841	2.4143	0.6012	2.9841	0.2683	2.241	11.1239	NA	0.1686	0.0087	NA	0.1985	0.0327	NA
0141cc500b9cfd472681696cfe8f2eb1	7.3586	0.1373	3.3748	7.3586	0.1373	0.375	19.6242	0.3662	NA	0.0016	0.56	NA	0.0042	0.6686	NA
014e0244ce0227c40879daa0bae73ee2	0.8255	11.7709	3.6291	0.8255	11.7709	0.4032	2.0473	29.1914	NA	0.1863	4e-04	NA	0.2174	0.005	NA
016131c962c5b8b9fa691ffd928a7ad7	2.2219	3.446	1.9825	2.2219	3.446	0.2203	10.0872	15.644	NA	0.0113	0.0033	NA	0.0191	0.0172	NA
01651ac01a6d8f5ab55e823ecd4020b2	5.4992	5.4947	1.2158	5.4992	5.4947	0.1351	40.7068	40.6737	NA	1e-04	1e-04	NA	8e-04	0.0026	NA
01802ecadc281120b3394531f9b5bcc6	6.5141	3.7412	3.3707	6.5141	3.7412	0.3745	17.393	9.9891	NA	0.0024	0.0115	NA	0.0056	0.0397	NA
018166381b3825f4433929cd661c73b1	0.8263	1.993	2.0612	0.8263	1.993	0.229	3.608	8.7019	NA	0.09	0.0162	NA	0.1127	0.0503	NA
01b59402bea919155f2b72585914dc28	3.795	0.506	2.0976	3.795	0.506	0.2331	16.2826	2.1712	NA	0.0029	0.1747	NA	0.0065	0.2773	NA
01ba5a538d3091e6f291367ab4c114de	1.8503	1.9467	3.3495	1.8503	1.9467	0.3722	4.9717	5.2307	NA	0.0527	0.048	NA	0.0706	0.1073	NA
01bea577aa60b2f19561a6239f841214	8.6387	1.4325	2.7203	8.6387	1.4325	0.3023	28.5802	4.7393	NA	5e-04	0.0575	NA	0.0017	0.1233	NA
01ec87fc65833175cd78632f91b9c013	0.4976	0.0119	3.2444	0.4976	0.0119	0.3605	1.3805	0.033	NA	0.2702	0.86	NA	0.3049	0.9059	NA
01eeb07eabe250603ae069b7c9a1b78a	14.1819	4.1262	2.213	14.1819	4.1262	0.2459	57.675	16.7804	NA	0	0.0027	NA	4e-04	0.0154	NA
01f55d0674a1fc462804f5dcf6ed0312	4.6921	1.5399	4.3293	4.6921	1.5399	0.481	9.7541	3.2011	NA	0.0123	0.1072	NA	0.0204	0.1947	NA
0210cce2ce54f6190c25524b42462d35	8.9844	0.3117	2.6751	8.9844	0.3117	0.2972	30.227	1.0486	NA	4e-04	0.3326	NA	0.0015	0.4523	NA
021c5fad1f1dcf7f5a8f2180e695338d	4.4739	6.4991	4.6268	4.4739	6.4991	0.5141	8.7026	12.642	NA	0.0162	0.0062	NA	0.0257	0.0261	NA
022ffb62b99d7950cce0c04b7db390a5	4.5825	0.8295	4.8731	4.5825	0.8295	0.5415	8.4632	1.532	NA	0.0173	0.2471	NA	0.0272	0.3605	NA
0244cf9b127275065b7596de45620f3c	1.6308	5.1841	1.6931	1.6308	5.1841	0.1881	8.6685	27.5563	NA	0.0164	5e-04	NA	0.0259	0.0055	NA
029ac96df8a3842cd51b0e24cb25d147	9.4423	41.2788	4.9668	9.4423	41.2788	0.5519	17.1098	74.7991	NA	0.0025	0	NA	0.0058	7e-04	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	6.7557	9.4822	1.4174	6.7557	9.4822	0.1575	42.8955	60.2075	NA	1e-04	0	NA	7e-04	0.0011	NA
02b33d576f65cc2a7b11d181440278fe	4.8063	2.0996	0.7033	4.8063	2.0996	0.0781	61.5014	26.8657	NA	0	6e-04	NA	4e-04	0.0058	NA
02c5ba36522584f868e4d3548c1e02af	5.5785	4.7155	3.726	5.5785	4.7155	0.414	13.4745	11.3899	NA	0.0051	0.0082	NA	0.0101	0.0315	NA
02fc99024f1d6416a67768753b4d0db4	8.0034	4.0548	0.9505	8.0034	4.0548	0.1056	75.7846	38.3946	NA	0	2e-04	NA	3e-04	0.0028	NA
0308e44d8c5c89fef7d2aa63090a9a8c	23.6329	1.2417	17.7518	23.6329	1.2417	1.9724	11.9817	0.6295	NA	0.0071	0.4479	NA	0.013	0.5663	NA
0316f5eb4d9b051e65b40cebf08edbba	1.0326	2.8909	3.9208	1.0326	2.8909	0.4356	2.3702	6.6358	NA	0.1581	0.0299	NA	0.1872	0.0774	NA
033d19faa0ce86082c0215df5bffbdb5	2.7964	0.1111	6.7905	2.7964	0.1111	0.7545	3.7062	0.1472	NA	0.0863	0.7101	NA	0.1087	0.7942	NA
03522a86e8b54bd9508023e65e04dfd1	13.5552	0.4596	3.2167	13.5552	0.4596	0.3574	37.926	1.2859	NA	2e-04	0.2861	NA	9e-04	0.4033	NA
03576e58e1c6ff8ce50c0fadbbf4860b	1.5277	16.9317	4.2126	1.5277	16.9317	0.4681	3.2638	36.174	NA	0.1043	2e-04	NA	0.1288	0.0031	NA
035ad00cb4268363afb29c9db102e959	5.4265	0.6706	1.1512	5.4265	0.6706	0.1279	42.4239	5.2426	NA	1e-04	0.0478	NA	7e-04	0.107	NA
0362c5f6815777388ea02ff51947c85e	6.9823	0.0138	0.5427	6.9823	0.0138	0.0603	115.7839	0.2288	NA	0	0.6438	NA	2e-04	0.7395	NA
0366632c1fdcf16e8c7b8699f543b6a6	5.6356	2.6518	3.7871	5.6356	2.6518	0.4208	13.3931	6.3021	NA	0.0052	0.0333	NA	0.0102	0.0839	NA
036fd95372a59cb54c18db11e833a6e5	0.7759	5.4353	11.488	0.7759	5.4353	1.2764	0.6078	4.2582	NA	0.4556	0.0691	NA	0.4948	0.141	NA
037524aa568740056509743fc5a5ffb5	1.1103	5.2399	1.223	1.1103	5.2399	0.1359	8.1705	38.5594	NA	0.0188	2e-04	NA	0.029	0.0028	NA
037629b625ef6f2c028855723fc4c92a	1.51	4.2123	5.7254	1.51	4.2123	0.6362	2.3736	6.6215	NA	0.1578	0.03	NA	0.187	0.0776	NA
03a7140d58c2f4370a116f4370db71b2	16.6705	14.682	9.2065	16.6705	14.682	1.0229	16.2966	14.3527	NA	0.0029	0.0043	NA	0.0065	0.0203	NA
03c3804b27717d58097d438f97396ac2	0.2836	6.5027	3.956	0.2836	6.5027	0.4396	0.6453	14.7939	NA	0.4425	0.0039	NA	0.4818	0.0192	NA
03e6f65e9c8056054bf520af12a431e4	15.4183	1.7488	1.5476	15.4183	1.7488	0.172	89.6619	10.1696	NA	0	0.011	NA	2e-04	0.0386	NA
03f189aa58435a27b6de7eb961b20307	2.697	4.1284	1.7692	2.697	4.1284	0.1966	13.7196	21.0011	NA	0.0049	0.0013	NA	0.0097	0.0104	NA
03f6204f70f7051b6767b3afeff3de7c	7.2173	3.5355	2.3783	7.2173	3.5355	0.2643	27.3117	13.3789	NA	5e-04	0.0053	NA	0.0019	0.0238	NA
040d33a988e7004112ecdeb4e029b32f	2.3772	0.0268	0.9716	2.3772	0.0268	0.108	22.0192	0.2485	NA	0.0011	0.6301	NA	0.0032	0.7276	NA
041bbd4d12f584ed2910f0d66095d99e	6.0298	1.9695	2.1604	6.0298	1.9695	0.24	25.1196	8.2048	NA	7e-04	0.0186	NA	0.0024	0.0551	NA
041ea541f1c4f5b3ffdc193464a3c139	11.8082	4.9951	2.4157	11.8082	4.9951	0.2684	43.9927	18.6098	NA	1e-04	0.002	NA	7e-04	0.0133	NA
04327e5022331564cf8543999a1eac1e	9.6886	0.0025	7.8983	9.6886	0.0025	0.8776	11.0401	0.0029	NA	0.0089	0.9584	NA	0.0157	0.9745	NA
043aab733df943204ad5f00be077291c	6.5071	4.7817	2.138	6.5071	4.7817	0.2376	27.3917	20.1288	NA	5e-04	0.0015	NA	0.0019	0.0113	NA
044b108900bd9e292eb1f198df318155	2.6442	1.1274	2.783	2.6442	1.1274	0.3092	8.5512	3.6459	NA	0.0169	0.0885	NA	0.0266	0.1695	NA
045502f5b069e258c872edb6c73f5908	4.6995	4.9703	1.9997	4.6995	4.9703	0.2222	21.1508	22.3699	NA	0.0013	0.0011	NA	0.0035	0.0091	NA
0468f59da37cad8e1d8dc328ddff8811	4.138	0.2052	0.7474	4.138	0.2052	0.083	49.8288	2.4715	NA	1e-04	0.1504	NA	5e-04	0.2479	NA
04b3f982d45ed5636c7656368ca1db01	3.0087	0.2196	0.4788	3.0087	0.2196	0.0532	56.5608	4.1277	NA	0	0.0727	NA	4e-04	0.1463	NA
04c4e57c46ca8bf11cdf9eb198513e84	5.6129	5.7661	5.1001	5.6129	5.7661	0.5667	9.905	10.1753	NA	0.0118	0.011	NA	0.0198	0.0386	NA
04f1ced8ad0e946accff2a2b496ddfe3	2.2003	21.6927	2.6353	2.2003	21.6927	0.2928	7.5145	74.0848	NA	0.0228	0	NA	0.0342	7e-04	NA
05076569f381c0d2a23fe7ecc0a3c2af	12.8047	0.4024	3.4228	12.8047	0.4024	0.3803	33.6686	1.058	NA	3e-04	0.3305	NA	0.0012	0.4501	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	1.8332	6.4915	3.1667	1.8332	6.4915	0.3519	5.2101	18.4495	NA	0.0484	0.002	NA	0.0654	0.0133	NA
053688555df31be6aa7b8a21f3d0b7c2	7.2948	1.9461	2.8962	7.2948	1.9461	0.3218	22.6686	6.0475	NA	0.001	0.0362	NA	0.003	0.0894	NA
055582bf87abfc587b152016a37adea2	29.9855	0.2611	3.9967	29.9855	0.2611	0.4441	67.5222	0.588	NA	0	0.4628	NA	3e-04	0.5793	NA
0586aaf9e2db94ce68674fcfc109de01	2.3949	2.1725	2.7892	2.3949	2.1725	0.3099	7.7277	7.01	NA	0.0214	0.0266	NA	0.0324	0.071	NA
05871147ff12b16b162fac81396e211a	6.1467	0.0295	3.8301	6.1467	0.0295	0.4256	14.4436	0.0693	NA	0.0042	0.7983	NA	0.0086	0.8613	NA
059027611a64e9469213c5ef4157a69d	1.0918	0.3923	1.4058	1.0918	0.3923	0.1562	6.9901	2.5117	NA	0.0267	0.1475	NA	0.0391	0.2448	NA
059f46cc760a6f4330ae67c7a1edffe4	2.2817	2.9236	1.5411	2.2817	2.9236	0.1712	13.325	17.0733	NA	0.0053	0.0026	NA	0.0103	0.0151	NA
05b0dee66b0a70f529ddb70ec3be9155	15.4361	0.3605	3.6618	15.4361	0.3605	0.4069	37.9386	0.886	NA	2e-04	0.3712	NA	9e-04	0.493	NA
05b5b9f513a86c3fc939918fcfb060f8	6.6256	2.9248	2.3531	6.6256	2.9248	0.2615	25.3415	11.1868	NA	7e-04	0.0086	NA	0.0023	0.0324	NA
05db447f5d09ea1e6ea1697bc67c868d	6.0835	2.2473	2.0376	6.0835	2.2473	0.2264	26.8705	9.9264	NA	6e-04	0.0117	NA	0.002	0.0402	NA
05dfade82ae64d4b1a7791a874417099	2.839	0.0452	3.4242	2.839	0.0452	0.3805	7.462	0.1187	NA	0.0232	0.7384	NA	0.0346	0.8163	NA
