treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	1.9811	1.3117	2.5744	1.9811	1.3117	0.286	6.9259	4.5856	NA	0.0273	0.0609	NA	0.0356	0.1098	NA
00089b46831e8ef8664d2a632b8145c5	0.268	5.6753	0.7436	0.268	5.6753	0.0826	3.2436	68.6938	NA	0.1052	0	NA	0.124	3e-04	NA
002707428636a815354367f102120956	3.5843	0.3168	1.3673	3.5843	0.3168	0.1519	23.5932	2.0856	NA	9e-04	0.1826	NA	0.0016	0.27	NA
002f1a45b5c69d673731dd633504a01e	5.0257	1.4058	0.453	5.0257	1.4058	0.0503	99.843	27.9292	NA	0	5e-04	NA	0	0.0027	NA
00361d4ec0f6bc9593b3365b7718c95b	5.5062	0.962	4.0119	5.5062	0.962	0.4458	12.3522	2.158	NA	0.0066	0.1759	NA	0.0097	0.2617	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.952	3.2707	2.3896	8.952	3.2707	0.2655	33.7167	12.3185	NA	3e-04	0.0066	NA	6e-04	0.019	NA
0046281d7bcee40b30209fff59cb8a72	0.4354	0.9849	1.6642	0.4354	0.9849	0.1849	2.3546	5.3266	NA	0.1593	0.0464	NA	0.1827	0.0886	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.7153	2.5845	1.1849	0.7153	2.5845	0.1317	5.4333	19.6303	NA	0.0447	0.0016	NA	0.0562	0.0065	NA
005e34772346d65b74ff2f90ea4ec0ee	5.8663	0.6631	1.7682	5.8663	0.6631	0.1965	29.8596	3.3752	NA	4e-04	0.0994	NA	8e-04	0.1624	NA
008277a5fd42cb04f88c34a26df200ce	2.4479	1.6858	0.8746	2.4479	1.6858	0.0972	25.1886	17.3466	NA	7e-04	0.0024	NA	0.0013	0.0088	NA
0096aa36bc665b9d641ed715c86461f4	3.3505	2.8783	0.6364	3.3505	2.8783	0.0707	47.3868	40.7078	NA	1e-04	1e-04	NA	2e-04	0.001	NA
00ac039693854d7669a43b754dfc59bf	7.5517	1.662	1.706	7.5517	1.662	0.1896	39.84	8.7679	NA	1e-04	0.0159	NA	4e-04	0.0377	NA
00b05a391e262ebf75433a5901c94f69	4.5917	0.0031	1.4671	4.5917	0.0031	0.163	28.1687	0.0188	NA	5e-04	0.894	NA	0.001	0.9205	NA
00b65cc09893d47765ac0925658ae35e	3.8786	0.5069	0.4874	3.8786	0.5069	0.0542	71.624	9.3609	NA	0	0.0136	NA	1e-04	0.0336	NA
00c799f63b8289b2b606e7f2e056cf59	12.6931	0.231	2.1406	12.6931	0.231	0.2378	53.3669	0.9712	NA	0	0.3501	NA	2e-04	0.453	NA
00f6d2cccf1735abedc75afff481ba2d	3.085	2.2793	5.5266	3.085	2.2793	0.6141	5.0239	3.7118	NA	0.0517	0.0861	NA	0.0645	0.1454	NA
0104f91f1cc33e553be3bfc68a517ce7	7.429	0.0745	1.1851	7.429	0.0745	0.1317	56.419	0.5658	NA	0	0.4711	NA	1e-04	0.5705	NA
010f0a7d84a28949c78be5930457dabc	0.2169	0.9111	1.1725	0.2169	0.9111	0.1303	1.6651	6.9932	NA	0.2291	0.0267	NA	0.2556	0.0565	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	3.9393	0.5678	0.7951	3.9393	0.5678	0.0883	44.5897	6.4273	NA	1e-04	0.032	NA	3e-04	0.065	NA
0141cc500b9cfd472681696cfe8f2eb1	10.459	3.5768	1.9589	10.459	3.5768	0.2177	48.0521	16.4329	NA	1e-04	0.0029	NA	2e-04	0.0099	NA
014e0244ce0227c40879daa0bae73ee2	0.3369	0.4262	1.9158	0.3369	0.4262	0.2129	1.5826	2.002	NA	0.24	0.1907	NA	0.2667	0.2799	NA
016131c962c5b8b9fa691ffd928a7ad7	0.9956	16.5385	0.5737	0.9956	16.5385	0.0637	15.6172	259.4369	NA	0.0033	0	NA	0.0052	0	NA
01643e1758a1b348e7e88641bbf23f77	3.5756	1.8421	2.0283	3.5756	1.8421	0.2254	15.8655	8.1737	NA	0.0032	0.0188	NA	0.005	0.0428	NA
01651ac01a6d8f5ab55e823ecd4020b2	1.44	1.4765	0.6301	1.44	1.4765	0.07	20.5675	21.0897	NA	0.0014	0.0013	NA	0.0024	0.0054	NA
01748fb97de74d17bdb942aeaa74a1aa	0.0506	0.005	0.6127	0.0506	0.005	0.0681	0.7433	0.0738	NA	0.411	0.792	NA	0.4415	0.8462	NA
017752e0b75ffd85768e83da08df6f06	4.1405	8.1	1.4853	4.1405	8.1	0.165	25.0893	49.0815	NA	7e-04	1e-04	NA	0.0014	6e-04	NA
01802ecadc281120b3394531f9b5bcc6	4.4364	0.0621	1.2091	4.4364	0.0621	0.1343	33.0212	0.4625	NA	3e-04	0.5136	NA	6e-04	0.6102	NA
018166381b3825f4433929cd661c73b1	0.2123	0.0956	1.2727	0.2123	0.0956	0.1414	1.5014	0.6762	NA	0.2515	0.4321	NA	0.2786	0.5345	NA
01b59402bea919155f2b72585914dc28	4.6261	4.1256	1.2346	4.6261	4.1256	0.1372	33.7221	30.074	NA	3e-04	4e-04	NA	6e-04	0.0023	NA
01ba5a538d3091e6f291367ab4c114de	1.7043	9.1387	0.7836	1.7043	9.1387	0.0871	19.5733	104.9556	NA	0.0017	0	NA	0.0028	1e-04	NA
