treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.1896	0.009	2.3374	0.1896	0.009	0.2597	0.7302	0.0345	NA	0.415	0.8568	NA	0.4545	0.901	NA
0034860642bb665e3bc98da83b24f6f7	1.6659	1.3448	1.9039	1.6659	1.3448	0.2115	7.8752	6.3573	NA	0.0205	0.0327	NA	0.0305	0.0777	NA
0051ee453ff489fa79b20379bcc79b6b	2.3696	4.2213	1.4404	2.3696	4.2213	0.16	14.806	26.376	NA	0.0039	6e-04	NA	0.0093	0.0051	NA
00539cb2af8b7b06ee1279130fa2f307	9.093	0.7009	2.7306	9.093	0.7009	0.3034	29.9699	2.3102	NA	4e-04	0.1628	NA	0.0042	0.259	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0182	0.0382	4.5644	0.0182	0.0382	0.5072	0.0358	0.0754	NA	0.8541	0.7898	NA	0.8695	0.8522	NA
00823592d773ca77be3da202ae020b29	2.403	12.8102	1.1176	2.403	12.8102	0.1242	19.3506	103.1559	NA	0.0017	0	NA	0.0065	3e-04	NA
008810a5ca2332a04d285ca396b6a5f1	4.616	3.492	3.1722	4.616	3.492	0.3525	13.0964	9.9075	NA	0.0056	0.0118	NA	0.0115	0.0369	NA
0092362bbf11972deda26d5b9e919f85	5.5909	8.6659	4.7945	5.5909	8.6659	0.5327	10.4949	16.2672	NA	0.0102	0.003	NA	0.0175	0.014	NA
0095b52bd61b59e97345c0564dc8496e	0.1292	17.9002	1.0834	0.1292	17.9002	0.1204	1.0732	148.7047	NA	0.3272	0	NA	0.3647	1e-04	NA
00a550b3fa43f178639afb2a02540b16	7.9167	0.5508	1.7839	7.9167	0.5508	0.1982	39.941	2.7787	NA	1e-04	0.1299	NA	0.0031	0.2176	NA
00b08f570ae6322b03af00df9230f86d	1.9153	0.1813	1.233	1.9153	0.1813	0.137	13.9806	1.3234	NA	0.0046	0.2796	NA	0.0103	0.389	NA
00c4a692e67b1c93a289ffcae447cfcf	6.4423	1.4422	4.6817	6.4423	1.4422	0.5202	12.3846	2.7724	NA	0.0065	0.1303	NA	0.0128	0.218	NA
00c6a28930e3eafc29b6cf8827820e4c	0.6423	6.8967	0.6246	0.6423	6.8967	0.0694	9.2549	99.375	NA	0.014	0	NA	0.0225	3e-04	NA
00cee8684ccbb62fce87c20103b8aed2	3.0883	0.0894	3.7049	3.0883	0.0894	0.4117	7.5021	0.2171	NA	0.0229	0.6523	NA	0.0333	0.7401	NA
011b116b1e264e2cde7ec36aa569ad7c	5.7944	1.2436	2.2775	5.7944	1.2436	0.2531	22.8978	4.9142	NA	0.001	0.0538	NA	0.0056	0.113	NA
0127000197e26a049598b4a6d0225ba2	4.6892	0.1278	4.8026	4.6892	0.1278	0.5336	8.7875	0.2396	NA	0.0158	0.6362	NA	0.0248	0.7257	NA
013c9c13c8d7029019462bef0627adba	3.4212	0.0798	6.8381	3.4212	0.0798	0.7598	4.5029	0.105	NA	0.0628	0.7533	NA	0.0816	0.8257	NA
015116cb2ae1efade79e1af688f3c15b	0.6859	0.2223	0.7492	0.6859	0.2223	0.0832	8.2399	2.6699	NA	0.0185	0.1367	NA	0.0279	0.2268	NA
01524ceb0052552ad3c425bf777b0b3a	1.8635	6.2327	1.5577	1.8635	6.2327	0.1731	10.7662	36.0097	NA	0.0095	2e-04	NA	0.0166	0.0025	NA
01525c063123cb2134c64e84ad1e2118	4.5399	0.0121	1.9465	4.5399	0.0121	0.2163	20.991	0.0557	NA	0.0013	0.8186	NA	0.006	0.8762	NA
0160f5a856b526939ba1062b1cc9df76	8.7602	3.5538	4.5428	8.7602	3.5538	0.5048	17.3554	7.0406	NA	0.0024	0.0263	NA	0.0074	0.0663	NA
017a60cbade7b309db182bcabe59d6a4	0.4045	0.0167	3.8266	0.4045	0.0167	0.4252	0.9513	0.0394	NA	0.3549	0.8471	NA	0.3935	0.8945	NA
018de0ee05bc68de9383baf688539f9f	5.1641	0.2941	2.0108	5.1641	0.2941	0.2234	23.114	1.3165	NA	0.001	0.2808	NA	0.0056	0.3899	NA
019ee757485f09fa0c7881843036a765	0.1089	0.1733	2.6176	0.1089	0.1733	0.2908	0.3744	0.5958	NA	0.5557	0.46	NA	0.593	0.5688	NA
019f94720ba42ef1861b87fc58cdd3de	6.0134	2.9249	4.831	6.0134	2.9249	0.5368	11.2027	5.4489	NA	0.0086	0.0444	NA	0.0153	0.0975	NA
01ac16555e036cea2ece2a239591aae6	4.7556	3.352	2.4826	4.7556	3.352	0.2758	17.2401	12.1518	NA	0.0025	0.0069	NA	0.0074	0.0253	NA
01e013346904f75a91f713c559585ff7	0.5588	0.0012	1.5032	0.5588	0.0012	0.167	3.3456	0.0072	NA	0.1006	0.9343	NA	0.1244	0.9568	NA
01e7154d4b5f3188595e288aeab7f7a0	3.8053	1.988	2.5301	3.8053	1.988	0.2811	13.5362	7.0716	NA	0.0051	0.0261	NA	0.0108	0.0658	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.3986	0.0902	1.7161	3.3986	0.0902	0.1907	17.8242	0.4728	NA	0.0022	0.509	NA	0.0071	0.6131	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.2922	0.3694	0.6244	0.2922	0.3694	0.0694	4.2119	5.3253	NA	0.0704	0.0464	NA	0.0902	0.1012	NA
01feb696b69822d637cdf0956d28bad4	27.9267	2.7598	15.3935	27.9267	2.7598	1.7104	16.3277	1.6136	NA	0.0029	0.2358	NA	0.008	0.3412	NA
