treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	5.0798	5.4586	1.5059	5.0798	5.4586	0.1673	30.3591	32.6229	NA	4e-04	3e-04	NA	0.0012	0.0022	NA
00089b46831e8ef8664d2a632b8145c5	0.1412	2.0725	0.6178	0.1412	2.0725	0.0686	2.0571	30.1892	NA	0.1853	4e-04	NA	0.2136	0.0027	NA
002707428636a815354367f102120956	2.9661	9e-04	0.7767	2.9661	9e-04	0.0863	34.3691	0.0109	NA	2e-04	0.919	NA	0.001	0.9407	NA
002f1a45b5c69d673731dd633504a01e	2.712	0.0113	0.614	2.712	0.0113	0.0682	39.7541	0.165	NA	1e-04	0.6941	NA	8e-04	0.7677	NA
00361d4ec0f6bc9593b3365b7718c95b	9.5276	14.5858	7.1167	9.5276	14.5858	0.7907	12.0489	18.4457	NA	0.007	0.002	NA	0.0107	0.0083	NA
0036d59b9c2c58b22fd5945b4aa3f348	4.8331	0.2987	2.9565	4.8331	0.2987	0.3285	14.7129	0.9094	NA	0.004	0.3652	NA	0.0066	0.4709	NA
0046281d7bcee40b30209fff59cb8a72	0.3155	0.3594	1.5156	0.3155	0.3594	0.1684	1.8737	2.1344	NA	0.2042	0.178	NA	0.2335	0.265	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.9535	7.1874	1.2822	0.9535	7.1874	0.1425	6.6927	50.4503	NA	0.0294	1e-04	NA	0.0391	7e-04	NA
005e34772346d65b74ff2f90ea4ec0ee	6.0394	3.0364	2.0919	6.0394	3.0364	0.2324	25.9841	13.0639	NA	6e-04	0.0056	NA	0.0017	0.0178	NA
008277a5fd42cb04f88c34a26df200ce	1.1613	0.0849	0.2134	1.1613	0.0849	0.0237	48.9846	3.5824	NA	1e-04	0.0909	NA	6e-04	0.1559	NA
00a0854286a925a7b381be83b1a83ae6	12.8812	0.9441	2.308	12.8812	0.9441	0.2564	50.2311	3.6814	NA	1e-04	0.0872	NA	5e-04	0.1502	NA
00b05a391e262ebf75433a5901c94f69	3.6257	0.0051	1.4901	3.6257	0.0051	0.1656	21.8987	0.031	NA	0.0012	0.8641	NA	0.0025	0.8981	NA
