treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.0116	0.9258	1.9285	0.0116	0.9258	0.2755	0.042	3.3602	NA	0.8435	0.1094	NA	0.8594	0.2249	NA
002707428636a815354367f102120956	4.5332	0.116	0.5177	4.5332	0.116	0.074	61.2967	1.569	NA	1e-04	0.2506	NA	6e-04	0.4071	NA
002f1a45b5c69d673731dd633504a01e	6.7569	2.0257	1.9808	6.7569	2.0257	0.283	23.8787	7.1588	NA	0.0018	0.0317	NA	0.0037	0.0987	NA
00361d4ec0f6bc9593b3365b7718c95b	16.5717	1.5597	2.1787	16.5717	1.5597	0.3112	53.2447	5.0113	NA	2e-04	0.0602	NA	8e-04	0.1524	NA
0036d59b9c2c58b22fd5945b4aa3f348	13.8697	0.0295	0.6182	13.8697	0.0295	0.0883	157.0514	0.3344	NA	0	0.5812	NA	3e-04	0.7096	NA
0046281d7bcee40b30209fff59cb8a72	0.0216	1.0624	0.8786	0.0216	1.0624	0.1255	0.1722	8.4646	NA	0.6906	0.0227	NA	0.7151	0.08	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.9707	0.9577	1.1172	1.9707	0.9577	0.1596	12.3479	6.001	NA	0.0098	0.0441	NA	0.0154	0.124	NA
005e34772346d65b74ff2f90ea4ec0ee	7.6087	1.2635	1.4879	7.6087	1.2635	0.2126	35.7957	5.9445	NA	6e-04	0.0449	NA	0.0016	0.1256	NA
008277a5fd42cb04f88c34a26df200ce	3.5366	0.8814	0.5292	3.5366	0.8814	0.0756	46.7788	11.6581	NA	2e-04	0.0112	NA	0.001	0.0507	NA
00a0854286a925a7b381be83b1a83ae6	8.3475	0.0027	2.2129	8.3475	0.0027	0.3161	26.4049	0.0087	NA	0.0013	0.9283	NA	0.003	0.9564	NA
00ac039693854d7669a43b754dfc59bf	4.8813	0.2269	0.6543	4.8813	0.2269	0.0935	52.2219	2.4275	NA	2e-04	0.1632	NA	8e-04	0.301	NA
00b05a391e262ebf75433a5901c94f69	8.1627	0.0473	0.5672	8.1627	0.0473	0.081	100.7449	0.5833	NA	0	0.47	NA	4e-04	0.6178	NA
00b65cc09893d47765ac0925658ae35e	1.9911	2.7995	2.4096	1.9911	2.7995	0.3442	5.7841	8.1327	NA	0.0471	0.0246	NA	0.0623	0.0838	NA
00c799f63b8289b2b606e7f2e056cf59	3.9154	0.1178	5.228	3.9154	0.1178	0.7469	5.2425	0.1577	NA	0.0558	0.7031	NA	0.0724	0.8028	NA
00f6d2cccf1735abedc75afff481ba2d	7.2055	0.0051	1.0651	7.2055	0.0051	0.1522	47.3539	0.0332	NA	2e-04	0.8605	NA	9e-04	0.9128	NA
0104f91f1cc33e553be3bfc68a517ce7	4.1694	0.5245	0.61	4.1694	0.5245	0.0871	47.8478	6.0194	NA	2e-04	0.0439	NA	9e-04	0.1234	NA
010f0a7d84a28949c78be5930457dabc	0.0872	0.0124	0.4975	0.0872	0.0124	0.0711	1.227	0.1745	NA	0.3046	0.6886	NA	0.3401	0.7942	NA
014e0244ce0227c40879daa0bae73ee2	1.5006	1.4888	0.9431	1.5006	1.4888	0.1347	11.1373	11.0498	NA	0.0125	0.0127	NA	0.0191	0.055	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.5702	0.294	1.1514	0.5702	0.294	0.1645	3.4663	1.7875	NA	0.1049	0.223	NA	0.1284	0.3758	NA
