treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.212	11.3098	5.0038	0.212	11.3098	0.556	0.3812	20.3423	NA	0.5522	0.0015	NA	0.5845	0.0085	NA
002707428636a815354367f102120956	4.1262	4.7997	2.1396	4.1262	4.7997	0.2377	17.3564	20.1896	NA	0.0024	0.0015	NA	0.0049	0.0086	NA
002f1a45b5c69d673731dd633504a01e	7.6801	11.5158	3.7165	7.6801	11.5158	0.4129	18.5983	27.8868	NA	0.002	5e-04	NA	0.0042	0.0045	NA
00361d4ec0f6bc9593b3365b7718c95b	17.9781	2.2254	3.1693	17.9781	2.2254	0.3521	51.0526	6.3194	NA	1e-04	0.0331	NA	3e-04	0.0728	NA
0036d59b9c2c58b22fd5945b4aa3f348	14.4816	0.6287	0.6425	14.4816	0.6287	0.0714	202.8556	8.8064	NA	0	0.0158	NA	0	0.041	NA
0046281d7bcee40b30209fff59cb8a72	1.0513	0.9716	4.2283	1.0513	0.9716	0.4698	2.2377	2.068	NA	0.1689	0.1843	NA	0.1982	0.2715	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.0662	0.0029	3.248	0.0662	0.0029	0.3609	0.1833	0.0082	NA	0.6786	0.93	NA	0.7055	0.9533	NA
005e34772346d65b74ff2f90ea4ec0ee	9.0272	1.606	4.7019	9.0272	1.606	0.5224	17.2793	3.0741	NA	0.0025	0.1134	NA	0.005	0.1864	NA
008277a5fd42cb04f88c34a26df200ce	3.4298	1.065	5.0147	3.4298	1.065	0.5572	6.1556	1.9113	NA	0.0349	0.2002	NA	0.048	0.2892	NA
00b05a391e262ebf75433a5901c94f69	10.137	1.6077	1.6191	10.137	1.6077	0.1799	56.3473	8.9365	NA	0	0.0152	NA	3e-04	0.0403	NA
00b65cc09893d47765ac0925658ae35e	2.9067	2.6558	4.3848	2.9067	2.6558	0.4872	5.9661	5.4511	NA	0.0372	0.0444	NA	0.0508	0.0907	NA
00c799f63b8289b2b606e7f2e056cf59	2.7243	0.0467	3.98	2.7243	0.0467	0.4422	6.1606	0.1057	NA	0.0349	0.7525	NA	0.0479	0.8189	NA
00f6d2cccf1735abedc75afff481ba2d	10.3733	2.2469	1.8547	10.3733	2.2469	0.2061	50.3384	10.9033	NA	1e-04	0.0092	NA	3e-04	0.0282	NA
0104f91f1cc33e553be3bfc68a517ce7	9.5065	0.8043	2.0635	9.5065	0.8043	0.2293	41.4627	3.5079	NA	1e-04	0.0939	NA	5e-04	0.16	NA
010f0a7d84a28949c78be5930457dabc	0.8924	1.1308	1.6939	0.8924	1.1308	0.1882	4.7417	6.008	NA	0.0574	0.0367	NA	0.0744	0.0786	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	1.4839	2.5792	3.3795	1.4839	2.5792	0.3755	3.9518	6.8689	NA	0.0781	0.0278	NA	0.0984	0.0639	NA
014e0244ce0227c40879daa0bae73ee2	3.5173	9.7015	1.7947	3.5173	9.7015	0.1994	17.6384	48.6507	NA	0.0023	1e-04	NA	0.0048	0.0014	NA
01532d9e56ecb072ab5a8eaa9b39de5c	1.5307	2.8749	1.1009	1.5307	2.8749	0.1223	12.5135	23.5019	NA	0.0063	9e-04	NA	0.0109	0.0065	NA
016131c962c5b8b9fa691ffd928a7ad7	4.6469	0.6762	1.6847	4.6469	0.6762	0.1872	24.8244	3.6125	NA	8e-04	0.0898	NA	0.002	0.1543	NA
01651ac01a6d8f5ab55e823ecd4020b2	6.1338	7.2507	1.0104	6.1338	7.2507	0.1123	54.6385	64.587	NA	0	0	NA	3e-04	7e-04	NA
