treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	1.625	6.7701	1.9814	1.625	6.7701	0.2202	7.3812	30.751	NA	0.0237	4e-04	NA	0.0307	0.0023	NA
00089b46831e8ef8664d2a632b8145c5	0.091	7.1097	2.5327	0.091	7.1097	0.2814	0.3234	25.2648	NA	0.5835	7e-04	NA	0.6086	0.0037	NA
002707428636a815354367f102120956	5.1404	0.5186	0.991	5.1404	0.5186	0.1101	46.6854	4.7095	NA	1e-04	0.0581	NA	2e-04	0.1069	NA
002f1a45b5c69d673731dd633504a01e	8.2699	3.9335	1.6891	8.2699	3.9335	0.1877	44.0652	20.9592	NA	1e-04	0.0013	NA	2e-04	0.0059	NA
00361d4ec0f6bc9593b3365b7718c95b	21.5033	7.8879	1.7837	21.5033	7.8879	0.1982	108.4965	39.7992	NA	0	1e-04	NA	0	0.0011	NA
0036d59b9c2c58b22fd5945b4aa3f348	16.661	3.5151	0.5308	16.661	3.5151	0.059	282.4746	59.5961	NA	0	0	NA	0	4e-04	NA
0046281d7bcee40b30209fff59cb8a72	0.6817	1.6756	1.3291	0.6817	1.6756	0.1477	4.6159	11.346	NA	0.0602	0.0083	NA	0.0729	0.0235	NA
0057ebd19d8401acbafc5490e9643051	0.0182	18.0038	2.9554	0.0182	18.0038	0.3284	0.0554	54.8257	NA	0.8191	0	NA	0.8336	5e-04	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.7047	0.1412	0.5914	1.7047	0.1412	0.0657	25.9431	2.1493	NA	7e-04	0.1767	NA	0.0012	0.2635	NA
005e34772346d65b74ff2f90ea4ec0ee	9.0294	0.0103	1.6488	9.0294	0.0103	0.1832	49.2864	0.0564	NA	1e-04	0.8176	NA	2e-04	0.8651	NA
008251daadae08232a2da98fe4c26e3d	1.758	0.5024	0.8366	1.758	0.5024	0.093	18.913	5.4051	NA	0.0019	0.0451	NA	0.003	0.0869	NA
008277a5fd42cb04f88c34a26df200ce	4.3041	1.0361	0.8154	4.3041	1.0361	0.0906	47.5051	11.4354	NA	1e-04	0.0081	NA	2e-04	0.0231	NA
0096aa36bc665b9d641ed715c86461f4	5.7525	0.7307	0.7017	5.7525	0.7307	0.078	73.7828	9.3723	NA	0	0.0135	NA	0	0.034	NA
00ac039693854d7669a43b754dfc59bf	9.2604	0.0183	0.8074	9.2604	0.0183	0.0897	103.2305	0.2037	NA	0	0.6624	NA	0	0.7419	NA
00b05a391e262ebf75433a5901c94f69	10.5368	0.2438	0.4877	10.5368	0.2438	0.0542	194.4326	4.4986	NA	0	0.0629	NA	0	0.1144	NA
00b65cc09893d47765ac0925658ae35e	3.1951	0.0908	1.8547	3.1951	0.0908	0.2061	15.5043	0.4406	NA	0.0034	0.5235	NA	0.0052	0.6223	NA
00c799f63b8289b2b606e7f2e056cf59	6.9429	0.5182	5.4036	6.9429	0.5182	0.6004	11.564	0.8632	NA	0.0079	0.3771	NA	0.011	0.4834	NA
00f6d2cccf1735abedc75afff481ba2d	3.6989	2.2732	4.2411	3.6989	2.2732	0.4712	7.8495	4.8239	NA	0.0207	0.0557	NA	0.027	0.1033	NA
0104f91f1cc33e553be3bfc68a517ce7	9.296	1.1844	0.8892	9.296	1.1844	0.0988	94.0889	11.9883	NA	0	0.0071	NA	0	0.0211	NA
010f0a7d84a28949c78be5930457dabc	0.34	1.3368	0.7299	0.34	1.3368	0.0811	4.1919	16.4838	NA	0.0709	0.0028	NA	0.085	0.0105	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	5.893	6.656	0.6892	5.893	6.656	0.0766	76.9539	86.9165	NA	0	0	NA	0	1e-04	NA
013c73c0e5fa3c156721aa03c5399a7c	0.9754	3.7812	0.6762	0.9754	3.7812	0.0751	12.9817	50.3248	NA	0.0057	1e-04	NA	0.0083	6e-04	NA
014e0244ce0227c40879daa0bae73ee2	2.394	0.1133	0.716	2.394	0.1133	0.0796	30.0907	1.4246	NA	4e-04	0.2632	NA	7e-04	0.3606	NA
01532d9e56ecb072ab5a8eaa9b39de5c	2.334	0.5246	1.2102	2.334	0.5246	0.1345	17.3568	3.9009	NA	0.0024	0.0797	NA	0.0038	0.1379	NA
016131c962c5b8b9fa691ffd928a7ad7	2.765	1.9268	0.9315	2.765	1.9268	0.1035	26.7147	18.6164	NA	6e-04	0.0019	NA	0.0011	0.0078	NA
01643e1758a1b348e7e88641bbf23f77	6.4826	0.7604	1.2666	6.4826	0.7604	0.1407	46.064	5.4035	NA	1e-04	0.0451	NA	2e-04	0.0869	NA
01651ac01a6d8f5ab55e823ecd4020b2	1.7732	2.4453	0.7261	1.7732	2.4453	0.0807	21.9797	30.3111	NA	0.0011	4e-04	NA	0.0019	0.0023	NA
01748fb97de74d17bdb942aeaa74a1aa	0.1752	0.2932	0.6555	0.1752	0.2932	0.0728	2.405	4.0261	NA	0.1554	0.0758	NA	0.1771	0.1327	NA
017752e0b75ffd85768e83da08df6f06	2.4872	5.7199	1.3995	2.4872	5.7199	0.1555	15.9948	36.784	NA	0.0031	2e-04	NA	0.0048	0.0014	NA
01802ecadc281120b3394531f9b5bcc6	10.7075	0.806	0.3856	10.7075	0.806	0.0428	249.9079	18.8115	NA	0	0.0019	NA	0	0.0076	NA
018166381b3825f4433929cd661c73b1	0.1233	3.6571	1.915	0.1233	3.6571	0.2128	0.5794	17.1876	NA	0.466	0.0025	NA	0.4938	0.0095	NA
0182ca831bc0b9e8f908b44bfae38c2f	9.5374	4.3788	1.8348	9.5374	4.3788	0.2039	46.7815	21.4783	NA	1e-04	0.0012	NA	2e-04	0.0056	NA
01b59402bea919155f2b72585914dc28	4.1776	4.165	1.3108	4.1776	4.165	0.1456	28.6843	28.5979	NA	5e-04	5e-04	NA	9e-04	0.0027	NA
01ba5a538d3091e6f291367ab4c114de	1.0072	9.3277	0.5084	1.0072	9.3277	0.0565	17.8312	165.1295	NA	0.0022	0	NA	0.0035	0	NA
01bea577aa60b2f19561a6239f841214	12.0324	0.0463	0.762	12.0324	0.0463	0.0847	142.1185	0.5468	NA	0	0.4785	NA	0	0.5798	NA
01d02aad8a625053d2284c0580b85fc2	0.9017	5.2067	0.9875	0.9017	5.2067	0.1097	8.2181	47.4515	NA	0.0186	1e-04	NA	0.0244	7e-04	NA
01ec87fc65833175cd78632f91b9c013	1.784	0.0898	4.809	1.784	0.0898	0.5343	3.3388	0.168	NA	0.1009	0.6915	NA	0.1183	0.7656	NA
01eeb07eabe250603ae069b7c9a1b78a	27.6422	0.0153	2.4486	27.6422	0.0153	0.2721	101.6021	0.0562	NA	0	0.818	NA	0	0.8653	NA
01f0a8d66a3f6ce7f33c54275e96b372	0.1337	0.7654	2.2936	0.1337	0.7654	0.2548	0.5248	3.0035	NA	0.4872	0.1171	NA	0.5146	0.1877	NA
01f55d0674a1fc462804f5dcf6ed0312	8e-04	0.8007	4.258	8e-04	0.8007	0.4731	0.0017	1.6924	NA	0.9683	0.2256	NA	0.9726	0.3184	NA
021b2869c2627d813d2146e5a70b97da	0.0101	8.2203	3.0864	0.0101	8.2203	0.3429	0.0294	23.9703	NA	0.8676	9e-04	NA	0.8786	0.0042	NA
021c5fad1f1dcf7f5a8f2180e695338d	1.7241	0.5751	0.8697	1.7241	0.5751	0.0966	17.8412	5.9513	NA	0.0022	0.0374	NA	0.0035	0.0748	NA
022ffb62b99d7950cce0c04b7db390a5	6.7204	0.3269	0.8828	6.7204	0.3269	0.0981	68.5135	3.3327	NA	0	0.1012	NA	1e-04	0.1675	NA
023e44ea52bc5f894fd36692e0df6ef5	0.4993	6.9233	0.328	0.4993	6.9233	0.0364	13.7025	189.989	NA	0.0049	0	NA	0.0072	0	NA
