treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.0034	1.7411	1.6773	0.0034	1.7411	0.1864	0.0184	9.3422	NA	0.8952	0.0136	NA	0.9079	0.046	NA
0032aede248babc5516f057b3bcd4409	4.868	0.0047	2.4575	4.868	0.0047	0.2731	17.8277	0.0171	NA	0.0022	0.8988	NA	0.0053	0.9325	NA
0034860642bb665e3bc98da83b24f6f7	0.9584	0.8646	1.4077	0.9584	0.8646	0.1564	6.1275	5.5276	NA	0.0353	0.0432	NA	0.0469	0.1	NA
0051ee453ff489fa79b20379bcc79b6b	4.023	2.5162	1.3893	4.023	2.5162	0.1544	26.0615	16.3005	NA	6e-04	0.0029	NA	0.0036	0.0151	NA
00539cb2af8b7b06ee1279130fa2f307	7.006	1.5525	2.7138	7.006	1.5525	0.3015	23.2349	5.1487	NA	9e-04	0.0494	NA	0.0038	0.1108	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0301	0.0653	11.9547	0.0301	0.0653	1.3283	0.0227	0.0491	NA	0.8836	0.8295	NA	0.8976	0.8814	NA
00823592d773ca77be3da202ae020b29	0.7306	5.6062	1.8115	0.7306	5.6062	0.2013	3.6297	27.8529	NA	0.0891	5e-04	NA	0.1096	0.0048	NA
008810a5ca2332a04d285ca396b6a5f1	5.6359	7.5501	2.8518	5.6359	7.5501	0.3169	17.7864	23.8275	NA	0.0022	9e-04	NA	0.0054	0.0067	NA
0092362bbf11972deda26d5b9e919f85	12.2528	0.0135	3.6049	12.2528	0.0135	0.4005	30.5901	0.0338	NA	4e-04	0.8582	NA	0.0031	0.9007	NA
0095b52bd61b59e97345c0564dc8496e	0.3034	0.7276	2.0225	0.3034	0.7276	0.2247	1.3499	3.2378	NA	0.2752	0.1055	NA	0.3103	0.1933	NA
00b08f570ae6322b03af00df9230f86d	1.4344	0.136	0.8133	1.4344	0.136	0.0904	15.8737	1.5046	NA	0.0032	0.2511	NA	0.0066	0.3659	NA
00c4a692e67b1c93a289ffcae447cfcf	3.8239	1.6658	4.3515	3.8239	1.6658	0.4835	7.9087	3.4454	NA	0.0203	0.0964	NA	0.0287	0.1798	NA
00c6a28930e3eafc29b6cf8827820e4c	0.7948	0.3377	0.8524	0.7948	0.3377	0.0947	8.3924	3.5654	NA	0.0177	0.0916	NA	0.0255	0.174	NA
00cee8684ccbb62fce87c20103b8aed2	6.4062	0.0045	4.1701	6.4062	0.0045	0.4633	13.8262	0.0098	NA	0.0048	0.9233	NA	0.0088	0.9477	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	1.5471	0.0086	0.664	1.5471	0.0086	0.0738	20.9711	0.1162	NA	0.0013	0.741	NA	0.0043	0.8147	NA
011b116b1e264e2cde7ec36aa569ad7c	12.1206	3.2116	3.3409	12.1206	3.2116	0.3712	32.6511	8.6517	NA	3e-04	0.0165	NA	0.003	0.0523	NA
0127000197e26a049598b4a6d0225ba2	2.2174	0.9505	8.4532	2.2174	0.9505	0.9392	2.3608	1.012	NA	0.1588	0.3407	NA	0.1876	0.4574	NA
013c9c13c8d7029019462bef0627adba	8.6036	4.1586	4.2821	8.6036	4.1586	0.4758	18.083	8.7405	NA	0.0021	0.0161	NA	0.0052	0.0513	NA
015116cb2ae1efade79e1af688f3c15b	0.5416	0.9686	1.0076	0.5416	0.9686	0.112	4.8381	8.6522	NA	0.0554	0.0164	NA	0.0709	0.0523	NA
01524ceb0052552ad3c425bf777b0b3a	5.0479	7.2137	1.3389	5.0479	7.2137	0.1488	33.932	48.4906	NA	3e-04	1e-04	NA	0.003	0.0013	NA
01525c063123cb2134c64e84ad1e2118	3.4002	0.3049	0.9597	3.4002	0.3049	0.1066	31.8855	2.859	NA	3e-04	0.1251	NA	0.0031	0.2185	NA
0160f5a856b526939ba1062b1cc9df76	9.6598	0.8639	4.5747	9.6598	0.8639	0.5083	19.0042	1.6997	NA	0.0018	0.2247	NA	0.0048	0.3372	NA
017a60cbade7b309db182bcabe59d6a4	1.9318	1.1724	10.8584	1.9318	1.1724	1.2065	1.6012	0.9718	NA	0.2375	0.35	NA	0.271	0.4666	NA
017d459400583fe36857c77a1d541f39	6.483	0.2719	2.3675	6.483	0.2719	0.2631	24.6444	1.0337	NA	8e-04	0.3358	NA	0.0037	0.4531	NA
018de0ee05bc68de9383baf688539f9f	8.0219	0.0375	2.5292	8.0219	0.0375	0.281	28.5452	0.1333	NA	5e-04	0.7235	NA	0.0033	0.8013	NA
01ac16555e036cea2ece2a239591aae6	6.2243	3.8831	3.2784	6.2243	3.8831	0.3643	17.0874	10.6602	NA	0.0025	0.0098	NA	0.0057	0.0359	NA
01e013346904f75a91f713c559585ff7	1.3256	0.328	2.231	1.3256	0.328	0.2479	5.3474	1.323	NA	0.0461	0.2797	NA	0.0599	0.3957	NA
01e7154d4b5f3188595e288aeab7f7a0	7.986	1.1471	3.3571	7.986	1.1471	0.373	21.4095	3.0753	NA	0.0012	0.1134	NA	0.0042	0.2035	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.1743	0.4702	1.3106	4.1743	0.4702	0.1456	28.6662	3.2287	NA	5e-04	0.1059	NA	0.0032	0.1937	NA
