treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.7982	9.5592	0.7344	0.7982	9.5592	0.1049	7.6084	91.1193	NA	0.0282	0	NA	0.0389	7e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	13.9772	0.043	0.8399	13.9772	0.043	0.12	116.4898	0.358	NA	0	0.5685	NA	1e-04	0.6403	NA
0046281d7bcee40b30209fff59cb8a72	0.205	2.7382	0.2722	0.205	2.7382	0.0389	5.271	70.4206	NA	0.0553	1e-04	NA	0.0714	0.0011	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.5373	0.9991	1.2156	1.5373	0.9991	0.1737	8.8525	5.7532	NA	0.0207	0.0476	NA	0.0297	0.0855	NA
008277a5fd42cb04f88c34a26df200ce	2.0601	0.0029	0.6106	2.0601	0.0029	0.0872	23.6184	0.0328	NA	0.0018	0.8614	NA	0.0037	0.8927	NA
00ac039693854d7669a43b754dfc59bf	5.2851	2.2166	0.8612	5.2851	2.2166	0.123	42.9611	18.0178	NA	3e-04	0.0038	NA	0.001	0.0127	NA
00b05a391e262ebf75433a5901c94f69	5.3794	1.1248	0.6006	5.3794	1.1248	0.0858	62.6925	13.1089	NA	1e-04	0.0085	NA	4e-04	0.0226	NA
0104f91f1cc33e553be3bfc68a517ce7	4.7096	1.6658	0.453	4.7096	1.6658	0.0647	72.7809	25.7431	NA	1e-04	0.0014	NA	3e-04	0.0064	NA
010f0a7d84a28949c78be5930457dabc	0.3634	0.0034	0.4058	0.3634	0.0034	0.058	6.2695	0.0595	NA	0.0408	0.8143	NA	0.0544	0.8511	NA
0141cc500b9cfd472681696cfe8f2eb1	6.0056	1.3543	1.2148	6.0056	1.3543	0.1735	34.6055	7.8037	NA	6e-04	0.0268	NA	0.0016	0.0535	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.3275	2.3946	1.5071	0.3275	2.3946	0.2153	1.5212	11.1218	NA	0.2572	0.0125	NA	0.2888	0.0297	NA
01651ac01a6d8f5ab55e823ecd4020b2	1.9408	4.2898	0.9181	1.9408	4.2898	0.1312	14.7971	32.7061	NA	0.0063	7e-04	NA	0.0106	0.0041	NA
01748fb97de74d17bdb942aeaa74a1aa	4.7277	9.148	1.0833	4.7277	9.148	0.1548	30.5492	59.1124	NA	9e-04	1e-04	NA	0.0021	0.0014	NA
018166381b3825f4433929cd661c73b1	0.0288	0.083	1.1047	0.0288	0.083	0.1578	0.1823	0.5262	NA	0.6822	0.4918	NA	0.7073	0.5734	NA
01b59402bea919155f2b72585914dc28	0.9404	0.1395	0.7421	0.9404	0.1395	0.106	8.8703	1.316	NA	0.0206	0.289	NA	0.0296	0.373	NA
01ba5a538d3091e6f291367ab4c114de	0.0034	0.0016	2.648	0.0034	0.0016	0.3783	0.009	0.0043	NA	0.9272	0.9493	NA	0.9337	0.9632	NA
01bea577aa60b2f19561a6239f841214	8.0615	4.5098	0.5441	8.0615	4.5098	0.0777	103.7224	58.0247	NA	0	1e-04	NA	2e-04	0.0015	NA
01eeb07eabe250603ae069b7c9a1b78a	15.0866	1.2318	0.8961	15.0866	1.2318	0.128	117.8559	9.6228	NA	0	0.0173	NA	1e-04	0.0383	NA
0210cce2ce54f6190c25524b42462d35	6.5741	1.0094	0.6232	6.5741	1.0094	0.089	73.8472	11.3381	NA	1e-04	0.012	NA	3e-04	0.0287	NA
021b2869c2627d813d2146e5a70b97da	0.02	0.2159	0.6933	0.02	0.2159	0.099	0.2017	2.1801	NA	0.667	0.1833	NA	0.6936	0.2598	NA
023fa2f94fb9dae88485aa96f3adc67d	4.8108	1.2376	0.2232	4.8108	1.2376	0.0319	150.8956	38.8171	NA	0	4e-04	NA	1e-04	0.003	NA
0241e3fe915ef4b4685394ee622017ad	10.5862	0.344	1.6222	10.5862	0.344	0.2317	45.6797	1.4844	NA	3e-04	0.2625	NA	9e-04	0.3464	NA
029ac96df8a3842cd51b0e24cb25d147	31.3098	3.3765	10.0019	31.3098	3.3765	1.4288	21.9126	2.3631	NA	0.0023	0.1681	NA	0.0044	0.2416	NA
02c5ba36522584f868e4d3548c1e02af	4.4661	0.1193	1.3136	4.4661	0.1193	0.1877	23.7991	0.6356	NA	0.0018	0.4515	NA	0.0037	0.5341	NA
