treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.8514	5.5606	3.0408	0.8514	5.5606	0.4344	1.9598	12.8004	NA	0.2043	0.009	NA	0.2308	0.0211	NA
006c80037cfc5a276d7d1b8ef20cdccd	2.6744	0	5.569	2.6744	0	0.7956	3.3616	0	NA	0.1094	0.9978	NA	0.1309	0.9982	NA
0092362bbf11972deda26d5b9e919f85	11.1293	3.2398	1.402	11.1293	3.2398	0.2003	55.5668	16.1756	NA	1e-04	0.005	NA	5e-04	0.0136	NA
0095b52bd61b59e97345c0564dc8496e	0.0618	3.8933	0.7829	0.0618	3.8933	0.1118	0.5525	34.8105	NA	0.4815	6e-04	NA	0.5125	0.0028	NA
00cee8684ccbb62fce87c20103b8aed2	2.8081	0.0241	1.1555	2.8081	0.0241	0.1651	17.0119	0.1459	NA	0.0044	0.7138	NA	0.0072	0.7614	NA
011b116b1e264e2cde7ec36aa569ad7c	11.6169	5.7521	0.8742	11.6169	5.7521	0.1249	93.0218	46.0597	NA	0	3e-04	NA	2e-04	0.0016	NA
013c9c13c8d7029019462bef0627adba	7.4001	0.6044	1.0698	7.4001	0.6044	0.1528	48.423	3.955	NA	2e-04	0.0871	NA	7e-04	0.1337	NA
01524ceb0052552ad3c425bf777b0b3a	2.0203	0.0011	0.8292	2.0203	0.0011	0.1185	17.0542	0.0092	NA	0.0044	0.9263	NA	0.0072	0.9415	NA
0160f5a856b526939ba1062b1cc9df76	5.9421	0.7662	0.4205	5.9421	0.7662	0.0601	98.9278	12.7556	NA	0	0.0091	NA	1e-04	0.0212	NA
017a60cbade7b309db182bcabe59d6a4	2.1276	36.1336	0.8855	2.1276	36.1336	0.1265	16.8197	285.6552	NA	0.0046	0	NA	0.0074	1e-04	NA
017d459400583fe36857c77a1d541f39	7.9107	1.9737	1.0174	7.9107	1.9737	0.1453	54.4284	13.5801	NA	2e-04	0.0078	NA	5e-04	0.0189	NA
018de0ee05bc68de9383baf688539f9f	5.0863	2.0143	0.5008	5.0863	2.0143	0.0715	71.1015	28.158	NA	1e-04	0.0011	NA	3e-04	0.0042	NA
019f94720ba42ef1861b87fc58cdd3de	4.048	10.2712	1.4363	4.048	10.2712	0.2052	19.7284	50.0579	NA	0.003	2e-04	NA	0.0052	0.0013	NA
01ac16555e036cea2ece2a239591aae6	5.1634	0.3343	0.2604	5.1634	0.3343	0.0372	138.7969	8.9873	NA	0	0.02	NA	1e-04	0.0395	NA
01e013346904f75a91f713c559585ff7	0.6512	5.7533	2.2517	0.6512	5.7533	0.3217	2.0246	17.8859	NA	0.1978	0.0039	NA	0.2244	0.0111	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.2167	1.562	0.7703	3.2167	1.562	0.11	29.2323	14.1951	NA	0.001	0.007	NA	0.0022	0.0175	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.128	1.8778	0.2598	0.128	1.8778	0.0371	3.4485	50.5989	NA	0.1057	2e-04	NA	0.1266	0.0013	NA
