treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.6331	13.3681	1.7167	1.6331	13.3681	0.2146	7.6103	62.2952	NA	0.0247	0	NA	0.0369	0.0011	NA
0036d59b9c2c58b22fd5945b4aa3f348	16.1965	0.2192	0.9064	16.1965	0.2192	0.1133	142.9489	1.9349	NA	0	0.2017	NA	0	0.3022	NA
0046281d7bcee40b30209fff59cb8a72	0.6635	0.7613	1.5438	0.6635	0.7613	0.193	3.4381	3.9449	NA	0.1008	0.0823	NA	0.1276	0.1526	NA
008277a5fd42cb04f88c34a26df200ce	1.0037	1.0169	0.7374	1.0037	1.0169	0.0922	10.8892	11.0317	NA	0.0109	0.0105	NA	0.018	0.0343	NA
00ac039693854d7669a43b754dfc59bf	6.5985	0.3566	2.015	6.5985	0.3566	0.2519	26.1975	1.4157	NA	9e-04	0.2682	NA	0.0023	0.3755	NA
00b05a391e262ebf75433a5901c94f69	9.8858	2.9687	2.1649	9.8858	2.9687	0.2706	36.5322	10.9707	NA	3e-04	0.0107	NA	0.001	0.0346	NA
0104f91f1cc33e553be3bfc68a517ce7	7.2014	1.0866	0.961	7.2014	1.0866	0.1201	59.9506	9.0461	NA	1e-04	0.0169	NA	3e-04	0.0478	NA
010f0a7d84a28949c78be5930457dabc	0.8201	0.0561	0.7941	0.8201	0.0561	0.0993	8.2612	0.5649	NA	0.0207	0.4738	NA	0.0315	0.5761	NA
013c73c0e5fa3c156721aa03c5399a7c	2.853	0.1935	0.4917	2.853	0.1935	0.0615	46.4145	3.1472	NA	1e-04	0.114	NA	5e-04	0.1966	NA
0141cc500b9cfd472681696cfe8f2eb1	7.2388	0.1992	1.3275	7.2388	0.1992	0.1659	43.6245	1.2007	NA	2e-04	0.3051	NA	6e-04	0.416	NA
0151c42d80ce82208338bda9346e4c21	5.2808	1.7358	1.185	5.2808	1.7358	0.1481	35.6504	11.7184	NA	3e-04	0.009	NA	0.001	0.0307	NA
01532d9e56ecb072ab5a8eaa9b39de5c	1.2118	0.4253	1.4523	1.2118	0.4253	0.1815	6.6752	2.3429	NA	0.0324	0.1644	NA	0.0467	0.2601	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.5668	9.511	3.4642	2.5668	9.511	0.433	5.9277	21.9643	NA	0.0409	0.0016	NA	0.0572	0.0094	NA
01748fb97de74d17bdb942aeaa74a1aa	3.1774	17.6312	3.2185	3.1774	17.6312	0.4023	7.8979	43.825	NA	0.0228	2e-04	NA	0.0343	0.0023	NA
018166381b3825f4433929cd661c73b1	0.4803	0.2267	0.4202	0.4803	0.2267	0.0525	9.1461	4.3163	NA	0.0165	0.0714	NA	0.0259	0.1367	NA
01b59402bea919155f2b72585914dc28	0.3804	1.5579	0.552	0.3804	1.5579	0.069	5.5133	22.5778	NA	0.0468	0.0014	NA	0.0642	0.0089	NA
01ba5a538d3091e6f291367ab4c114de	0.0866	1.2963	6.3454	0.0866	1.2963	0.7932	0.1091	1.6343	NA	0.7496	0.237	NA	0.7767	0.3412	NA
01bea577aa60b2f19561a6239f841214	9.4657	0.5384	1.35	9.4657	0.5384	0.1688	56.0924	3.1907	NA	1e-04	0.1119	NA	3e-04	0.1935	NA
0210cce2ce54f6190c25524b42462d35	5.9659	2.051	0.5905	5.9659	2.051	0.0738	80.8202	27.7853	NA	0	8e-04	NA	1e-04	0.0057	NA
021b2869c2627d813d2146e5a70b97da	0.0151	0.6487	2.4239	0.0151	0.6487	0.303	0.0497	2.141	NA	0.8292	0.1816	NA	0.8494	0.2787	NA
023fa2f94fb9dae88485aa96f3adc67d	10.0614	13.3873	4.0023	10.0614	13.3873	0.5003	20.1115	26.7594	NA	0.002	9e-04	NA	0.0044	0.0062	NA
0241e3fe915ef4b4685394ee622017ad	5.2255	2.8472	4.9337	5.2255	2.8472	0.6167	8.4732	4.6167	NA	0.0196	0.0639	NA	0.0301	0.1256	NA
029ac96df8a3842cd51b0e24cb25d147	36.6039	4.4656	6.0392	36.6039	4.4656	0.7549	48.4888	5.9155	NA	1e-04	0.0411	NA	5e-04	0.0907	NA
02a0cf41fc307b0bf084a940a0245da0	20.2786	3.8763	0.8803	20.2786	3.8763	0.11	184.2863	35.2267	NA	0	3e-04	NA	0	0.0035	NA
02c5ba36522584f868e4d3548c1e02af	7.9055	3.1665	2.5654	7.9055	3.1665	0.3207	24.653	9.8747	NA	0.0011	0.0138	NA	0.0026	0.0409	NA
02d5baf4915b88cd26c96b95b5015208	5.9641	0.3514	1.5541	5.9641	0.3514	0.1943	30.7014	1.809	NA	5e-04	0.2155	NA	0.0015	0.3185	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	15.0221	4.4659	2.066	15.0221	4.4659	0.2582	58.1697	17.2931	NA	1e-04	0.0032	NA	3e-04	0.0149	NA
02f81e70a39d7aabe08a9bb96d7eda18	3.3251	0.8513	0.4985	3.3251	0.8513	0.0623	53.3652	13.662	NA	1e-04	0.0061	NA	4e-04	0.0234	NA
02fc99024f1d6416a67768753b4d0db4	4.7048	0.3421	1.0952	4.7048	0.3421	0.1369	34.366	2.4989	NA	4e-04	0.1526	NA	0.0011	0.2456	NA
033d19faa0ce86082c0215df5bffbdb5	3.6225	0.0362	0.4022	3.6225	0.0362	0.0503	72.0458	0.7196	NA	0	0.4209	NA	2e-04	0.5285	NA
03522a86e8b54bd9508023e65e04dfd1	11.039	4.2455	4.8052	11.039	4.2455	0.6006	18.3785	7.0681	NA	0.0027	0.0289	NA	0.0054	0.0709	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.154	0.0169	1.0366	0.154	0.0169	0.1296	1.1887	0.1306	NA	0.3073	0.7272	NA	0.3482	0.7951	NA
035ad00cb4268363afb29c9db102e959	3.9669	0.1235	0.6177	3.9669	0.1235	0.0772	51.3736	1.5998	NA	1e-04	0.2415	NA	4e-04	0.3469	NA
0362c5f6815777388ea02ff51947c85e	6.5982	1.638	2.1476	6.5982	1.638	0.2685	24.5787	6.1016	NA	0.0011	0.0387	NA	0.0026	0.0867	NA
036fd95372a59cb54c18db11e833a6e5	0.0857	1.5445	2.4194	0.0857	1.5445	0.3024	0.2832	5.1073	NA	0.6091	0.0537	NA	0.6462	0.1116	NA
037629b625ef6f2c028855723fc4c92a	1.0346	1.6706	0.5471	1.0346	1.6706	0.0684	15.1289	24.4303	NA	0.0046	0.0011	NA	0.0086	0.0075	NA
0386c2c39453985371b1e0a028dae5bd	1.2179	0.0226	1.7051	1.2179	0.0226	0.2131	5.7142	0.1061	NA	0.0438	0.7529	NA	0.0606	0.8177	NA
03aa788c08141e567920d07949ef1597	2.5349	0.0682	1.2854	2.5349	0.0682	0.1607	15.7766	0.4245	NA	0.0041	0.533	NA	0.0079	0.6295	NA
03c3804b27717d58097d438f97396ac2	0.0942	3.1981	2.404	0.0942	3.1981	0.3005	0.3134	10.6425	NA	0.5909	0.0115	NA	0.6288	0.0365	NA
03f1014e7b49b7d27f67c5e9d6cf9f5a	4.3956	2.7937	1.578	4.3956	2.7937	0.1972	22.2849	14.1636	NA	0.0015	0.0055	NA	0.0034	0.0219	NA
03f6204f70f7051b6767b3afeff3de7c	6.3195	5.5325	1.096	6.3195	5.5325	0.137	46.1274	40.3832	NA	1e-04	2e-04	NA	5e-04	0.0028	NA
040d33a988e7004112ecdeb4e029b32f	1.9489	2.4622	0.5518	1.9489	2.4622	0.069	28.2535	35.6956	NA	7e-04	3e-04	NA	0.0019	0.0035	NA
041bbd4d12f584ed2910f0d66095d99e	3.2144	0.1732	0.9069	3.2144	0.1732	0.1134	28.3539	1.5279	NA	7e-04	0.2515	NA	0.0019	0.3576	NA
041ea541f1c4f5b3ffdc193464a3c139	10.4522	0.8784	1.0412	10.4522	0.8784	0.1302	80.3057	6.7489	NA	0	0.0317	NA	1e-04	0.0753	NA
043aab733df943204ad5f00be077291c	4.3774	2e-04	1.8589	4.3774	2e-04	0.2324	18.8393	0.0011	NA	0.0025	0.9749	NA	0.0051	0.9834	NA
0445b4e8e7b7b2d747e4176d95f1c3c0	4.4168	0.1254	1.6801	4.4168	0.1254	0.21	21.0316	0.597	NA	0.0018	0.4619	NA	0.0039	0.5643	NA
044b108900bd9e292eb1f198df318155	5.5422	0.1834	1.0164	5.5422	0.1834	0.1271	43.6204	1.4435	NA	2e-04	0.2639	NA	6e-04	0.3709	NA
045502f5b069e258c872edb6c73f5908	6.7076	3.0051	0.8235	6.7076	3.0051	0.1029	65.1634	29.1941	NA	0	6e-04	NA	2e-04	0.0051	NA
0468f59da37cad8e1d8dc328ddff8811	1.6643	1.9682	2.0845	1.6643	1.9682	0.2606	6.3873	7.5537	NA	0.0354	0.0251	NA	0.0505	0.0646	NA
