treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.4312	18.0486	1.2807	0.4312	18.0486	0.1423	3.0299	126.8309	NA	0.1157	0	NA	0.1372	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	8.7707	0.1278	2.6132	8.7707	0.1278	0.2904	30.2067	0.4401	NA	4e-04	0.5237	NA	9e-04	0.5909	NA
0046281d7bcee40b30209fff59cb8a72	0.1062	0.9994	1.24	0.1062	0.9994	0.1378	0.7707	7.2536	NA	0.4028	0.0247	NA	0.4344	0.0454	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.7084	0.9601	1.2696	0.7084	0.9601	0.1411	5.0214	6.8059	NA	0.0518	0.0283	NA	0.0652	0.0511	NA
008277a5fd42cb04f88c34a26df200ce	1.1904	1.6136	0.3083	1.1904	1.6136	0.0343	34.7449	47.1	NA	2e-04	1e-04	NA	6e-04	5e-04	NA
00ac039693854d7669a43b754dfc59bf	6.1333	5e-04	1.6464	6.1333	5e-04	0.1829	33.5274	0.0026	NA	3e-04	0.9601	NA	7e-04	0.9695	NA
00b05a391e262ebf75433a5901c94f69	3.2471	3.4866	1.3489	3.2471	3.4866	0.1499	21.6639	23.262	NA	0.0012	9e-04	NA	0.0023	0.0034	NA
0104f91f1cc33e553be3bfc68a517ce7	4.9074	0.7947	0.5262	4.9074	0.7947	0.0585	83.9319	13.5918	NA	0	0.005	NA	1e-04	0.0123	NA
010f0a7d84a28949c78be5930457dabc	0.305	0.0679	0.7766	0.305	0.0679	0.0863	3.5346	0.7867	NA	0.0928	0.3982	NA	0.1117	0.4693	NA
0141cc500b9cfd472681696cfe8f2eb1	5.8119	0.1844	1.9433	5.8119	0.1844	0.2159	26.9166	0.854	NA	6e-04	0.3795	NA	0.0012	0.4503	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.4617	3.2376	1.1645	2.4617	3.2376	0.1294	19.025	25.0214	NA	0.0018	7e-04	NA	0.0032	0.0028	NA
01748fb97de74d17bdb942aeaa74a1aa	1.5577	13.8477	1.0126	1.5577	13.8477	0.1125	13.8455	123.082	NA	0.0048	0	NA	0.0074	0	NA
018166381b3825f4433929cd661c73b1	0.1327	3.4634	0.9319	0.1327	3.4634	0.1035	1.2815	33.4472	NA	0.2869	3e-04	NA	0.3179	0.0013	NA
01b59402bea919155f2b72585914dc28	1.1426	0.0602	0.9377	1.1426	0.0602	0.1042	10.9657	0.5779	NA	0.0091	0.4666	NA	0.0133	0.5389	NA
01ba5a538d3091e6f291367ab4c114de	0.4591	0.0017	2.7819	0.4591	0.0017	0.3091	1.4852	0.0054	NA	0.2539	0.9432	NA	0.2842	0.9559	NA
01bea577aa60b2f19561a6239f841214	6.9117	2.4967	1.3126	6.9117	2.4967	0.1458	47.3893	17.1183	NA	1e-04	0.0025	NA	2e-04	0.0071	NA
01eeb07eabe250603ae069b7c9a1b78a	14.9861	2.1409	1.6713	14.9861	2.1409	0.1857	80.7012	11.5286	NA	0	0.0079	NA	1e-04	0.018	NA
0210cce2ce54f6190c25524b42462d35	6.8734	0.2418	0.6052	6.8734	0.2418	0.0672	102.2212	3.5964	NA	0	0.0904	NA	0	0.1358	NA
021b2869c2627d813d2146e5a70b97da	0.0068	2.7402	0.8898	0.0068	2.7402	0.0989	0.0686	27.716	NA	0.7993	5e-04	NA	0.8161	0.0021	NA
