treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	2.1992	9.1282	2.0879	2.1992	9.1282	0.232	9.4797	39.3473	NA	0.0132	1e-04	NA	0.018	8e-04	NA
00539cb2af8b7b06ee1279130fa2f307	6.4871	2.3777	0.3798	6.4871	2.3777	0.0422	153.7408	56.3511	NA	0	0	NA	0	3e-04	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.2296	0.0705	15.0622	0.2296	0.0705	1.6736	0.1372	0.0421	NA	0.7197	0.842	NA	0.7419	0.8719	NA
0092362bbf11972deda26d5b9e919f85	10.3888	2.5501	0.8218	10.3888	2.5501	0.0913	113.7741	27.9278	NA	0	5e-04	NA	0	0.0019	NA
0095b52bd61b59e97345c0564dc8496e	0.4653	5.3025	1.7009	0.4653	5.3025	0.189	2.4621	28.0566	NA	0.1511	5e-04	NA	0.1721	0.0019	NA
00cee8684ccbb62fce87c20103b8aed2	3.4318	4.9258	2.166	3.4318	4.9258	0.2407	14.2594	20.4667	NA	0.0044	0.0014	NA	0.0066	0.0042	NA
011b116b1e264e2cde7ec36aa569ad7c	13.6898	4.4863	1.1321	13.6898	4.4863	0.1258	108.8318	35.665	NA	0	2e-04	NA	0	0.001	NA
013c9c13c8d7029019462bef0627adba	5.9622	0.0034	0.4778	5.9622	0.0034	0.0531	112.2946	0.0648	NA	0	0.8047	NA	0	0.8419	NA
01524ceb0052552ad3c425bf777b0b3a	3.2769	0.7256	1.3464	3.2769	0.7256	0.1496	21.9044	4.8505	NA	0.0012	0.0551	NA	0.002	0.0883	NA
0160f5a856b526939ba1062b1cc9df76	7.7516	2.4286	0.399	7.7516	2.4286	0.0443	174.8691	54.7876	NA	0	0	NA	0	3e-04	NA
017a60cbade7b309db182bcabe59d6a4	8.1032	27.5005	5.4201	8.1032	27.5005	0.6022	13.4553	45.6642	NA	0.0052	1e-04	NA	0.0077	5e-04	NA
017d459400583fe36857c77a1d541f39	10.1822	1.7902	1.7779	10.1822	1.7902	0.1975	51.5431	9.0623	NA	1e-04	0.0147	NA	2e-04	0.0282	NA
018de0ee05bc68de9383baf688539f9f	8.135	0.4882	1.1628	8.135	0.4882	0.1292	62.9626	3.7786	NA	0	0.0838	NA	1e-04	0.1266	NA
01ac16555e036cea2ece2a239591aae6	6.7911	0.138	1.0975	6.7911	0.138	0.1219	55.6878	1.1315	NA	0	0.3152	NA	1e-04	0.385	NA
01e013346904f75a91f713c559585ff7	0.9385	1.5628	2.1259	0.9385	1.5628	0.2362	3.973	6.6164	NA	0.0774	0.0301	NA	0.0923	0.0523	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.8288	1.7612	1.1826	3.8288	1.7612	0.1314	29.139	13.4033	NA	4e-04	0.0052	NA	9e-04	0.012	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.1945	10.2243	0.5269	0.1945	10.2243	0.0585	3.3213	174.6341	NA	0.1017	0	NA	0.1193	0	NA
02104476719f02b32307edfdb1e6a0c4	6.1714	0.3031	1.4031	6.1714	0.3031	0.1559	39.5868	1.944	NA	1e-04	0.1967	NA	4e-04	0.2598	NA
02266378f920e88e1dac1ed916c48ff6	5.9067	0.1453	0.8505	5.9067	0.1453	0.0945	62.5043	1.5371	NA	0	0.2464	NA	1e-04	0.3132	NA
022b87e073ba519506a6d0d9dac1bba1	12.8852	1.1097	0.32	12.8852	1.1097	0.0356	362.3521	31.2056	NA	0	3e-04	NA	0	0.0014	NA
02556710e6071f6303dfb662fc79f6b6	7.337	1.1482	3.5758	7.337	1.1482	0.3973	18.4664	2.8899	NA	0.002	0.1234	NA	0.0033	0.1763	NA
028a375a3a51f2d5d05b85cf4ef10890	4.0604	5.8653	1.0278	4.0604	5.8653	0.1142	35.5552	51.3608	NA	2e-04	1e-04	NA	5e-04	4e-04	NA
02a63d174c8502c109303db99cf1e437	4.1546	0.2355	0.7106	4.1546	0.2355	0.079	52.6167	2.9826	NA	0	0.1182	NA	2e-04	0.1698	NA
