treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	5.9934	14.6631	2.8327	5.9934	14.6631	0.3147	19.0422	46.5874	NA	0.0018	1e-04	NA	0.004	0.0016	NA
00539cb2af8b7b06ee1279130fa2f307	7.9394	0.9524	1.2472	7.9394	0.9524	0.1386	57.2916	6.8729	NA	0	0.0277	NA	2e-04	0.0814	NA
006c80037cfc5a276d7d1b8ef20cdccd	1.1751	2.8578	7.5011	1.1751	2.8578	0.8335	1.4099	3.4288	NA	0.2655	0.0971	NA	0.2982	0.1958	NA
0092362bbf11972deda26d5b9e919f85	11.8528	1.7399	0.9176	11.8528	1.7399	0.102	116.2517	17.0649	NA	0	0.0026	NA	0	0.0152	NA
0095b52bd61b59e97345c0564dc8496e	0.4759	5.7704	2.3333	0.4759	5.7704	0.2593	1.8355	22.2571	NA	0.2085	0.0011	NA	0.2397	0.0085	NA
00cee8684ccbb62fce87c20103b8aed2	3.6638	0.5815	3.0105	3.6638	0.5815	0.3345	10.9533	1.7386	NA	0.0091	0.2199	NA	0.0152	0.3504	NA
011b116b1e264e2cde7ec36aa569ad7c	11.6323	0.5114	2.2252	11.6323	0.5114	0.2472	47.0475	2.0682	NA	1e-04	0.1842	NA	4e-04	0.3091	NA
013c9c13c8d7029019462bef0627adba	4.9616	1.9396	2.2051	4.9616	1.9396	0.245	20.2509	7.9167	NA	0.0015	0.0203	NA	0.0034	0.0654	NA
01524ceb0052552ad3c425bf777b0b3a	3.368	1.1962	1.6897	3.368	1.1962	0.1877	17.9395	6.3715	NA	0.0022	0.0325	NA	0.0047	0.0895	NA
0160f5a856b526939ba1062b1cc9df76	7.7779	0.6358	1.2522	7.7779	0.6358	0.1391	55.9013	4.5695	NA	0	0.0613	NA	2e-04	0.1418	NA
017a60cbade7b309db182bcabe59d6a4	15.9489	19.44	6.4033	15.9489	19.44	0.7115	22.4165	27.3233	NA	0.0011	5e-04	NA	0.0026	0.0053	NA
017d459400583fe36857c77a1d541f39	6.6089	15.9877	4.09	6.6089	15.9877	0.4544	14.5429	35.1808	NA	0.0041	2e-04	NA	0.0079	0.0031	NA
018de0ee05bc68de9383baf688539f9f	8.2334	1.3098	0.8881	8.2334	1.3098	0.0987	83.436	13.2728	NA	0	0.0054	NA	1e-04	0.0256	NA
019ee757485f09fa0c7881843036a765	0.1801	8.9998	3.424	0.1801	8.9998	0.3804	0.4734	23.6561	NA	0.5088	9e-04	NA	0.544	0.0073	NA
019f94720ba42ef1861b87fc58cdd3de	2.3629	4.371	6.4349	2.3629	4.371	0.715	3.3048	6.1135	NA	0.1024	0.0354	NA	0.1264	0.0956	NA
01ac16555e036cea2ece2a239591aae6	5.8581	0.006	0.8097	5.8581	0.006	0.09	65.1135	0.0672	NA	0	0.8013	NA	2e-04	0.8618	NA
01e013346904f75a91f713c559585ff7	1.04	6.2686	7.5942	1.04	6.2686	0.8438	1.2325	7.429	NA	0.2957	0.0234	NA	0.3292	0.0727	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.0566	0.0979	1.8311	4.0566	0.0979	0.2035	19.938	0.481	NA	0.0016	0.5055	NA	0.0036	0.6409	NA
02104476719f02b32307edfdb1e6a0c4	8.465	0.104	1.9482	8.465	0.104	0.2165	39.1045	0.4805	NA	1e-04	0.5057	NA	6e-04	0.6409	NA
02266378f920e88e1dac1ed916c48ff6	6.895	0.3289	3.1467	6.895	0.3289	0.3496	19.7205	0.9408	NA	0.0016	0.3574	NA	0.0037	0.4971	NA
022b87e073ba519506a6d0d9dac1bba1	12.6871	1.1028	0.9702	12.6871	1.1028	0.1078	117.6849	10.2299	NA	0	0.0109	NA	0	0.042	NA
02556710e6071f6303dfb662fc79f6b6	9.7584	2.8745	2.7386	9.7584	2.8745	0.3043	32.0691	9.4466	NA	3e-04	0.0133	NA	0.001	0.0491	NA
