treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	5.2403	3.2653	0.9068	5.2403	3.2653	0.1008	52.0121	32.4099	NA	1e-04	3e-04	NA	1e-04	8e-04	NA
00539cb2af8b7b06ee1279130fa2f307	10.0413	1.9417	0.6294	10.0413	1.9417	0.0699	143.5899	27.7656	NA	0	5e-04	NA	0	0.0013	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.1616	0.0422	6.3339	0.1616	0.0422	0.7038	0.2296	0.06	NA	0.6432	0.812	NA	0.6654	0.838	NA
0092362bbf11972deda26d5b9e919f85	9.506	5.6418	1.3293	9.506	5.6418	0.1477	64.3585	38.1968	NA	0	2e-04	NA	1e-04	5e-04	NA
0095b52bd61b59e97345c0564dc8496e	0.2323	2.4177	1.4436	0.2323	2.4177	0.1604	1.4484	15.0733	NA	0.2595	0.0037	NA	0.2865	0.007	NA
00cee8684ccbb62fce87c20103b8aed2	3.5686	8.0949	1.9499	3.5686	8.0949	0.2167	16.4712	37.3624	NA	0.0028	2e-04	NA	0.0042	5e-04	NA
011b116b1e264e2cde7ec36aa569ad7c	11.4872	5.7776	0.6585	11.4872	5.7776	0.0732	156.9898	78.959	NA	0	0	NA	0	1e-04	NA
013c9c13c8d7029019462bef0627adba	6.2156	1.4566	0.7826	6.2156	1.4566	0.087	71.4804	16.7511	NA	0	0.0027	NA	0	0.0053	NA
0160f5a856b526939ba1062b1cc9df76	6.9145	1.4616	0.4066	6.9145	1.4616	0.0452	153.0681	32.3557	NA	0	3e-04	NA	0	8e-04	NA
017a60cbade7b309db182bcabe59d6a4	0.0832	24.8324	4.166	0.0832	24.8324	0.4629	0.1796	53.6463	NA	0.6816	0	NA	0.7018	2e-04	NA
017d459400583fe36857c77a1d541f39	9.165	1.249	0.8025	9.165	1.249	0.0892	102.7902	14.0078	NA	0	0.0046	NA	0	0.0084	NA
018de0ee05bc68de9383baf688539f9f	3.8397	0.785	0.9154	3.8397	0.785	0.1017	37.7501	7.7176	NA	2e-04	0.0215	NA	3e-04	0.0329	NA
019ee757485f09fa0c7881843036a765	0.189	3.2027	1.151	0.189	3.2027	0.1279	1.4782	25.0431	NA	0.255	7e-04	NA	0.282	0.0017	NA
019f94720ba42ef1861b87fc58cdd3de	3.1169	10.4705	1.1293	3.1169	10.4705	0.1255	24.8405	83.4459	NA	8e-04	0	NA	0.0013	1e-04	NA
01ac16555e036cea2ece2a239591aae6	8.582	4.6711	0.5868	8.582	4.6711	0.0652	131.6178	71.6383	NA	0	0	NA	0	1e-04	NA
01e013346904f75a91f713c559585ff7	0.3175	1.5222	1.0911	0.3175	1.5222	0.1212	2.6191	12.5556	NA	0.14	0.0063	NA	0.1605	0.011	NA
01e9bb0d97f8ed373a8d529ffb971acc	2.2751	2.1538	0.6285	2.2751	2.1538	0.0698	32.5805	30.8433	NA	3e-04	4e-04	NA	5e-04	9e-04	NA
01ea06c562e6b8f6bbc5be68d99c0373	7e-04	5.8887	0.2469	7e-04	5.8887	0.0274	0.0256	214.6321	NA	0.8764	0	NA	0.8854	0	NA
02104476719f02b32307edfdb1e6a0c4	8.1829	2.6357	0.7422	8.1829	2.6357	0.0825	99.2291	31.9615	NA	0	3e-04	NA	0	8e-04	NA
02266378f920e88e1dac1ed916c48ff6	2.9923	2.7712	1.1455	2.9923	2.7712	0.1273	23.5103	21.7732	NA	9e-04	0.0012	NA	0.0015	0.0026	NA
022b87e073ba519506a6d0d9dac1bba1	12.6218	1.0348	0.6323	12.6218	1.0348	0.0703	179.6649	14.7292	NA	0	0.004	NA	0	0.0074	NA
02556710e6071f6303dfb662fc79f6b6	12.6497	4.7159	1.9774	12.6497	4.7159	0.2197	57.5752	21.4643	NA	0	0.0012	NA	1e-04	0.0027	NA
028a375a3a51f2d5d05b85cf4ef10890	3.2845	0.9762	0.7017	3.2845	0.9762	0.078	42.1289	12.5219	NA	1e-04	0.0063	NA	2e-04	0.0111	NA
02a63d174c8502c109303db99cf1e437	4.1162	8.2001	0.5783	4.1162	8.2001	0.0643	64.0593	127.6171	NA	0	0	NA	1e-04	0	NA
02adf979cb3500c39977fffbf7d2a048	2.716	4.3219	1.4237	2.716	4.3219	0.1582	17.1691	27.3213	NA	0.0025	5e-04	NA	0.0038	0.0013	NA
02c19d40dee2d87c409a2e2f7b713d7f	1.9498	2.6808	2.8091	1.9498	2.6808	0.3121	6.247	8.589	NA	0.0339	0.0167	NA	0.0427	0.0264	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	29.5039	3.7822	0.468	29.5039	3.7822	0.052	567.4416	72.7423	NA	0	0	NA	0	1e-04	NA
02db2ad8ae83f16a31add624ea4ad90e	2.7517	0.2535	0.6595	2.7517	0.2535	0.0733	37.5517	3.4595	NA	2e-04	0.0958	NA	3e-04	0.1257	NA
02ed78575eba82d038ec26a744d9b6c5	0.1753	27.5307	1.3381	0.1753	27.5307	0.1487	1.1789	185.1735	NA	0.3058	0	NA	0.3336	0	NA
02f7b0f943947c68160210ebf8af9e7d	3.0248	15.3618	1.2255	3.0248	15.3618	0.1362	22.2134	112.8127	NA	0.0011	0	NA	0.0018	0	NA
03355cd11fa9d7ee1d42bfd508147739	0.0364	1.1208	0.8792	0.0364	1.1208	0.0977	0.3724	11.473	NA	0.5568	0.008	NA	0.583	0.0137	NA
03734cd02763530410103ffac1802bfc	39.0675	0.3721	0.5925	39.0675	0.3721	0.0658	593.399	5.6515	NA	0	0.0414	NA	0	0.0591	NA
0381b98525605c48d762e395044ca5b2	7.5911	3.6963	0.6836	7.5911	3.6963	0.076	99.9462	48.6658	NA	0	1e-04	NA	0	2e-04	NA
039544c0752df4a57b038dd86e16eba6	5.4257	2.3388	0.7267	5.4257	2.3388	0.0807	67.1983	28.967	NA	0	4e-04	NA	1e-04	0.0011	NA
03ce41b70baf38697859cf6c9998b33f	7.7919	8.9124	2.868	7.7919	8.9124	0.3187	24.4518	27.9679	NA	8e-04	5e-04	NA	0.0013	0.0012	NA
03dbe23a9e8b7382924fd20ec95338af	0.9252	0.6272	2.1163	0.9252	0.6272	0.2351	3.9347	2.6671	NA	0.0786	0.1369	NA	0.0938	0.1731	NA
03e263884fc71d9f491555f67c1f630d	6.7291	1.1061	0.5489	6.7291	1.1061	0.061	110.3298	18.1347	NA	0	0.0021	NA	0	0.0043	NA
03f86a1233871340db1328f6fc35aff1	6.1774	1.7935	1.0224	6.1774	1.7935	0.1136	54.3763	15.7875	NA	0	0.0032	NA	1e-04	0.0062	NA
03f8d34575dc20b78b31c3c1177379b9	9.3374	1.4951	1.208	9.3374	1.4951	0.1342	69.569	11.1394	NA	0	0.0087	NA	0	0.0147	NA
040ffbbb2858152fe7b1bfe2be12eebb	3.6321	3.3759	0.3646	3.6321	3.3759	0.0405	89.6636	83.3408	NA	0	0	NA	0	1e-04	NA
041c4b843dce3deada3d6b1daf849177	22.3308	1.3776	1.5324	22.3308	1.3776	0.1703	131.1506	8.0905	NA	0	0.0193	NA	0	0.0299	NA
042f95fd86a3be60cda5e0a13e76be0c	0.4154	0.012	1.3714	0.4154	0.012	0.1524	2.7264	0.0784	NA	0.1331	0.7858	NA	0.1531	0.8155	NA
04356242a8d119e65547c999cf90c0a1	0.8653	2.7601	0.9472	0.8653	2.7601	0.1052	8.222	26.2272	NA	0.0186	6e-04	NA	0.0242	0.0015	NA
0495aca4ee75b03118200f39e55de807	8.4055	3.0065	0.1734	8.4055	3.0065	0.0193	436.2203	156.0279	NA	0	0	NA	0	0	NA
0496149b2d1f183353cbf9189b7049e2	8.3589	0.6771	0.8162	8.3589	0.6771	0.0907	92.1672	7.4655	NA	0	0.0231	NA	0	0.0351	NA
04bd54b9e03f729a1a5670b1416e260b	0.0225	0.4744	1.6082	0.0225	0.4744	0.1787	0.1258	2.6547	NA	0.7309	0.1377	NA	0.7484	0.174	NA
04f27efead94a16b3e810b74f86514f0	0.1728	1.542	0.5564	0.1728	1.542	0.0618	2.7955	24.9428	NA	0.1289	7e-04	NA	0.1487	0.0017	NA
05114c017775551aa7d1fa1a490e42d9	14.4533	1.2534	2.9943	14.4533	1.2534	0.3327	43.4424	3.7673	NA	1e-04	0.0842	NA	2e-04	0.1117	NA
05425468abc7b6696e6644b43e20a070	0.0312	0.0243	2.3384	0.0312	0.0243	0.2598	0.1202	0.0933	NA	0.7368	0.7669	NA	0.7531	0.8001	NA
058b63372cbe61fbfecc853d367548c1	6.2383	0.2647	0.5564	6.2383	0.2647	0.0618	100.9012	4.2814	NA	0	0.0685	NA	0	0.0926	NA
059e24b38a4bff0d4f11ed6166a3437c	11.7309	6.7577	5.5131	11.7309	6.7577	0.6126	19.1503	11.0317	NA	0.0018	0.0089	NA	0.0028	0.015	NA
05c4489613b115ee4ec2ef8199067913	9.7614	7.688	0.8232	9.7614	7.688	0.0915	106.717	84.0496	NA	0	0	NA	0	0	NA
05e856ee9d148f9da62ea0b0ccf6db24	0.3675	17.2668	0.8411	0.3675	17.2668	0.0935	3.9326	184.7635	NA	0.0787	0	NA	0.0938	0	NA
06094dd96a7550292ac7a15406ee3eb7	12.4785	1.6956	3.0218	12.4785	1.6956	0.3358	37.1653	5.0501	NA	2e-04	0.0512	NA	4e-04	0.0714	NA
062dc7bf1a892776a0d4259124cbb2fd	0.41	0.9462	0.9501	0.41	0.9462	0.1056	3.8833	8.9626	NA	0.0803	0.0151	NA	0.0956	0.0241	NA
0639cd2e7dadf3ff0a4ebc918d2008b9	14.0033	0.801	0.8208	14.0033	0.801	0.0912	153.5489	8.7826	NA	0	0.0159	NA	0	0.0252	NA
067925bf2c68cfbf03151580d443463a	0.0054	4.8136	2.7974	0.0054	4.8136	0.3108	0.0173	15.4869	NA	0.8982	0.0034	NA	0.9052	0.0065	NA
06850915424790786904937314f04f24	3.1534	0.8547	1.3574	3.1534	0.8547	0.1508	20.9081	5.6667	NA	0.0013	0.0412	NA	0.0021	0.0588	NA
0691bcbf69519fb5dba78151aa18c728	5.9219	0.2551	0.284	5.9219	0.2551	0.0316	187.649	8.0834	NA	0	0.0193	NA	0	0.0299	NA
06bde0cecfbcada397af9c0bf5f83820	6.5929	1.4081	0.6843	6.5929	1.4081	0.076	86.7164	18.5206	NA	0	0.002	NA	0	0.004	NA
06da80a2c361f6c3363b72be33e8e8d4	0.0546	1.3516	0.8174	0.0546	1.3516	0.0908	0.6015	14.8819	NA	0.4579	0.0039	NA	0.4854	0.0072	NA
06f154fee6b1d89c4fb222e23f2b939c	10.9123	10.6285	1.2192	10.9123	10.6285	0.1355	80.5532	78.4585	NA	0	0	NA	0	1e-04	NA
0723628f526fba7f82f84bebd97bad25	25.5539	2.6886	0.7239	25.5539	2.6886	0.0804	317.7006	33.4262	NA	0	3e-04	NA	0	7e-04	NA
073587e420e91ec5e53de8257bfaba94	2.1757	2.0829	1.9711	2.1757	2.0829	0.219	9.9342	9.5104	NA	0.0117	0.0131	NA	0.0158	0.0212	NA
0770ab0e479e6e586e8685465d538066	3.6117	0.0135	0.8041	3.6117	0.0135	0.0893	40.4268	0.1508	NA	1e-04	0.7068	NA	3e-04	0.7449	NA
077896f52217cf2755311d9ba92258b3	3.8903	2.899	0.5064	3.8903	2.899	0.0563	69.1342	51.5179	NA	0	1e-04	NA	1e-04	2e-04	NA
077bf3cbcf7f29f2b58fa95b52ec5fc7	0.336	12.8476	2.0767	0.336	12.8476	0.2307	1.456	55.6799	NA	0.2583	0	NA	0.2853	2e-04	NA
07ce16e204c2f9e6a2bc0ebd87ce73b4	1.6829	7.0348	1.2119	1.6829	7.0348	0.1347	12.4979	52.2427	NA	0.0064	0	NA	0.009	2e-04	NA
0808113a681a013933c03815ed511b06	17.1658	4.4679	1.2457	17.1658	4.4679	0.1384	124.0229	32.2809	NA	0	3e-04	NA	0	8e-04	NA
081419daef27076e9e23740f0f3d0cfa	3.5483	4.0917	0.5535	3.5483	4.0917	0.0615	57.6952	66.5308	NA	0	0	NA	1e-04	1e-04	NA
08278cb30c0ecfa025df1080741366fe	0.087	3.6973	0.4444	0.087	3.6973	0.0494	1.7625	74.8753	NA	0.217	0	NA	0.243	1e-04	NA
082b8027abcaeb2baea3b91658963091	0.0491	15.0134	0.2362	0.0491	15.0134	0.0262	1.8711	572.0502	NA	0.2045	0	NA	0.2295	0	NA
0834e59536ad310cbadacdf155bdda3b	5.2958	0.0152	0.2635	5.2958	0.0152	0.0293	180.859	0.5191	NA	0	0.4895	NA	0	0.5413	NA
08d7a738a4756ac72191feaf26591930	9.3767	15.1267	0.8184	9.3767	15.1267	0.0909	103.1099	166.3403	NA	0	0	NA	0	0	NA
08ffb091e6fb80698e54de15a34c082d	1.9086	0.9605	1.4952	1.9086	0.9605	0.1661	11.4882	5.7814	NA	0.008	0.0396	NA	0.0111	0.0568	NA
0974d5a60d20f55cae8db1bb4d3ae6a9	0.0138	5.1383	1.4851	0.0138	5.1383	0.165	0.0835	31.1397	NA	0.7792	3e-04	NA	0.7924	9e-04	NA
0977ec1ec766483e434b5ced6346bd40	1.226	14.134	10.667	1.226	14.134	1.1852	1.0344	11.9252	NA	0.3357	0.0072	NA	0.363	0.0124	NA
