treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.7151	2.8961	3.6777	0.7151	2.8961	0.4086	1.7499	7.0873	NA	0.2185	0.026	NA	0.2493	0.0425	NA
00539cb2af8b7b06ee1279130fa2f307	6.7485	7.7728	2.4562	6.7485	7.7728	0.2729	24.7274	28.4808	NA	8e-04	5e-04	NA	0.0034	0.0017	NA
006c80037cfc5a276d7d1b8ef20cdccd	2.5877	1e-04	4.3513	2.5877	1e-04	0.4835	5.3523	2e-04	NA	0.046	0.9889	NA	0.0599	0.9904	NA
0092362bbf11972deda26d5b9e919f85	8.8827	2.1921	3.4408	8.8827	2.1921	0.3823	23.2344	5.7338	NA	9e-04	0.0403	NA	0.0037	0.0622	NA
0095b52bd61b59e97345c0564dc8496e	1e-04	9.9585	1.3957	1e-04	9.9585	0.1551	9e-04	64.2184	NA	0.9766	0	NA	0.9804	2e-04	NA
00cee8684ccbb62fce87c20103b8aed2	3.4204	4.6311	3.8043	3.4204	4.6311	0.4227	8.0919	10.9561	NA	0.0193	0.0091	NA	0.0276	0.0178	NA
011b116b1e264e2cde7ec36aa569ad7c	7.6811	15.2895	2.2452	7.6811	15.2895	0.2495	30.7896	61.2877	NA	4e-04	0	NA	0.0029	2e-04	NA
013c9c13c8d7029019462bef0627adba	7.4491	4.4013	4.5304	7.4491	4.4013	0.5034	14.7984	8.7437	NA	0.0039	0.016	NA	0.0078	0.0286	NA
01524ceb0052552ad3c425bf777b0b3a	2.0031	12.5152	1.4522	2.0031	12.5152	0.1614	12.4144	77.5634	NA	0.0065	0	NA	0.0112	1e-04	NA
0160f5a856b526939ba1062b1cc9df76	6.9805	6.1896	4.5266	6.9805	6.1896	0.503	13.8788	12.3064	NA	0.0047	0.0066	NA	0.0088	0.0137	NA
017a60cbade7b309db182bcabe59d6a4	0.2942	17.3165	3.9711	0.2942	17.3165	0.4412	0.6667	39.2455	NA	0.4353	1e-04	NA	0.4715	7e-04	NA
017d459400583fe36857c77a1d541f39	5.8172	3.4576	1.8119	5.8172	3.4576	0.2013	28.8947	17.1743	NA	4e-04	0.0025	NA	0.0029	0.0063	NA
018de0ee05bc68de9383baf688539f9f	5.6755	0.7961	2.2703	5.6755	0.7961	0.2523	22.4992	3.156	NA	0.0011	0.1094	NA	0.0038	0.1482	NA
019ee757485f09fa0c7881843036a765	0.125	6.237	2.6514	0.125	6.237	0.2946	0.4243	21.1708	NA	0.5311	0.0013	NA	0.5671	0.0037	NA
019f94720ba42ef1861b87fc58cdd3de	4.4568	7.8398	4.9708	4.4568	7.8398	0.5523	8.0694	14.1944	NA	0.0194	0.0044	NA	0.0277	0.01	NA
01ac16555e036cea2ece2a239591aae6	5.2419	5.4851	2.4314	5.2419	5.4851	0.2702	19.4035	20.3039	NA	0.0017	0.0015	NA	0.0046	0.0041	NA
01e013346904f75a91f713c559585ff7	0.012	0.459	2.0356	0.012	0.459	0.2262	0.0531	2.0292	NA	0.823	0.188	NA	0.841	0.2392	NA
01e9bb0d97f8ed373a8d529ffb971acc	2.8527	4.0512	1.3591	2.8527	4.0512	0.151	18.8899	26.8264	NA	0.0019	6e-04	NA	0.0049	0.002	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.2033	1.5941	0.3469	0.2033	1.5941	0.0385	5.2757	41.3601	NA	0.0472	1e-04	NA	0.0614	6e-04	NA
02104476719f02b32307edfdb1e6a0c4	5.4643	2.0129	1.6671	5.4643	2.0129	0.1852	29.4995	10.8671	NA	4e-04	0.0093	NA	0.0029	0.0181	NA
02266378f920e88e1dac1ed916c48ff6	4.7096	2.7877	2.1144	4.7096	2.7877	0.2349	20.0467	11.8658	NA	0.0015	0.0073	NA	0.0044	0.015	NA
022b87e073ba519506a6d0d9dac1bba1	9.1687	2.5358	2.505	9.1687	2.5358	0.2783	32.9416	9.1107	NA	3e-04	0.0145	NA	0.0027	0.0265	NA
02556710e6071f6303dfb662fc79f6b6	7.6689	7.0769	4.4986	7.6689	7.0769	0.4998	15.3425	14.1582	NA	0.0035	0.0045	NA	0.0073	0.01	NA
028a375a3a51f2d5d05b85cf4ef10890	3.3616	10.8136	1.6072	3.3616	10.8136	0.1786	18.824	60.5538	NA	0.0019	0	NA	0.0049	2e-04	NA
02a63d174c8502c109303db99cf1e437	4.1523	2.2742	1.7728	4.1523	2.2742	0.197	21.0797	11.5455	NA	0.0013	0.0079	NA	0.0041	0.0159	NA
02adf979cb3500c39977fffbf7d2a048	2.2437	0.4821	2.5715	2.2437	0.4821	0.2857	7.8525	1.6873	NA	0.0206	0.2263	NA	0.0293	0.2784	NA
02c19d40dee2d87c409a2e2f7b713d7f	1.7774	4.0931	4.5933	1.7774	4.0931	0.5104	3.4826	8.02	NA	0.0949	0.0197	NA	0.1163	0.0337	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	20.4282	1.8232	7.6324	20.4282	1.8232	0.848	24.0884	2.1498	NA	8e-04	0.1766	NA	0.0035	0.2262	NA
02db2ad8ae83f16a31add624ea4ad90e	2.738	0.0498	0.4724	2.738	0.0498	0.0525	52.1642	0.9479	NA	0	0.3557	NA	0.0017	0.4126	NA
02ed78575eba82d038ec26a744d9b6c5	0.237	13.2257	0.7331	0.237	13.2257	0.0815	2.9095	162.3603	NA	0.1222	0	NA	0.1464	0	NA
02f7b0f943947c68160210ebf8af9e7d	0.86	9.7197	1.2311	0.86	9.7197	0.1368	6.2869	71.0546	NA	0.0335	0	NA	0.0452	2e-04	NA
03355cd11fa9d7ee1d42bfd508147739	0.1474	0.172	0.8531	0.1474	0.172	0.0948	1.5546	1.8145	NA	0.2439	0.2109	NA	0.2755	0.2635	NA
03734cd02763530410103ffac1802bfc	34.8967	0.3629	4.2709	34.8967	0.3629	0.4745	73.538	0.7648	NA	0	0.4046	NA	9e-04	0.4583	NA
0381b98525605c48d762e395044ca5b2	6.3284	5.4833	2.2282	6.3284	5.4833	0.2476	25.5617	22.148	NA	7e-04	0.0011	NA	0.0032	0.0033	NA
039544c0752df4a57b038dd86e16eba6	2.0962	5.0658	1.148	2.0962	5.0658	0.1276	16.4345	39.716	NA	0.0029	1e-04	NA	0.0063	7e-04	NA
03ce41b70baf38697859cf6c9998b33f	5.6376	12.7201	5.2287	5.6376	12.7201	0.581	9.7039	21.8948	NA	0.0124	0.0012	NA	0.019	0.0034	NA
03dbe23a9e8b7382924fd20ec95338af	2.279	13.6648	1.5887	2.279	13.6648	0.1765	12.9111	77.4134	NA	0.0058	0	NA	0.0103	1e-04	NA
03e263884fc71d9f491555f67c1f630d	5.0937	8.9732	1.5811	5.0937	8.9732	0.1757	28.9936	51.0764	NA	4e-04	1e-04	NA	0.0029	4e-04	NA
03f86a1233871340db1328f6fc35aff1	2.8766	1.9562	1.2984	2.8766	1.9562	0.1443	19.9397	13.5597	NA	0.0016	0.0051	NA	0.0044	0.011	NA
03f8d34575dc20b78b31c3c1177379b9	4.1416	2.1654	1.2235	4.1416	2.1654	0.1359	30.4664	15.9287	NA	4e-04	0.0032	NA	0.0029	0.0075	NA
040ffbbb2858152fe7b1bfe2be12eebb	2.436	5.3583	0.4304	2.436	5.3583	0.0478	50.9334	112.0353	NA	1e-04	0	NA	0.0017	1e-04	NA
041c4b843dce3deada3d6b1daf849177	8.6911	5.6236	4.7552	8.6911	5.6236	0.5284	16.4492	10.6436	NA	0.0029	0.0098	NA	0.0063	0.019	NA
042f95fd86a3be60cda5e0a13e76be0c	3.4308	21.7879	2.2255	3.4308	21.7879	0.2473	13.8743	88.1121	NA	0.0047	0	NA	0.0088	1e-04	NA
04356242a8d119e65547c999cf90c0a1	0.4882	23.952	0.6183	0.4882	23.952	0.0687	7.1064	348.6698	NA	0.0258	0	NA	0.0358	0	NA
