treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.1525	7.8892	0.8112	1.1525	7.8892	0.0901	12.7865	87.5303	NA	0.006	0	NA	0.0088	1e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	10.8992	0.8173	3.0699	10.8992	0.8173	0.3411	31.9526	2.3961	NA	3e-04	0.156	NA	8e-04	0.2009	NA
0046281d7bcee40b30209fff59cb8a72	1.0132	2.5575	0.3061	1.0132	2.5575	0.034	29.7933	75.2004	NA	4e-04	0	NA	0.001	1e-04	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.6555	13.4013	0.641	1.6555	13.4013	0.0712	23.2459	188.1705	NA	9e-04	0	NA	0.0019	0	NA
008277a5fd42cb04f88c34a26df200ce	1.3952	2.4389	0.3813	1.3952	2.4389	0.0424	32.9339	57.5698	NA	3e-04	0	NA	8e-04	2e-04	NA
00b05a391e262ebf75433a5901c94f69	6.3327	3.7593	0.9989	6.3327	3.7593	0.111	57.0542	33.8693	NA	0	3e-04	NA	3e-04	9e-04	NA
0104f91f1cc33e553be3bfc68a517ce7	6.8941	3.2363	0.5751	6.8941	3.2363	0.0639	107.892	50.6476	NA	0	1e-04	NA	1e-04	3e-04	NA
010f0a7d84a28949c78be5930457dabc	0.5474	0.3521	0.1496	0.5474	0.3521	0.0166	32.9342	21.1835	NA	3e-04	0.0013	NA	8e-04	0.0032	NA
013c73c0e5fa3c156721aa03c5399a7c	2.0157	9.3278	0.2646	2.0157	9.3278	0.0294	68.5505	317.2271	NA	0	0	NA	2e-04	0	NA
0141cc500b9cfd472681696cfe8f2eb1	7.6531	8.4426	2.454	7.6531	8.4426	0.2727	28.0682	30.9637	NA	5e-04	3e-04	NA	0.0011	0.0011	NA
0151c42d80ce82208338bda9346e4c21	7.6338	6.0034	1.3269	7.6338	6.0034	0.1474	51.7784	40.7198	NA	1e-04	1e-04	NA	3e-04	5e-04	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.6247	3.9566	1.3663	0.6247	3.9566	0.1518	4.1151	26.0627	NA	0.0731	6e-04	NA	0.0886	0.0018	NA
01748fb97de74d17bdb942aeaa74a1aa	3.4219	15.3279	0.9747	3.4219	15.3279	0.1083	31.5976	141.5357	NA	3e-04	0	NA	8e-04	0	NA
018166381b3825f4433929cd661c73b1	1.6723	8.3559	0.3516	1.6723	8.3559	0.0391	42.802	213.8707	NA	1e-04	0	NA	4e-04	0	NA
01b59402bea919155f2b72585914dc28	0.8897	4.9507	0.6466	0.8897	4.9507	0.0718	12.3835	68.9032	NA	0.0065	0	NA	0.0095	1e-04	NA
01ba5a538d3091e6f291367ab4c114de	0	8.8145	3.2059	0	8.8145	0.3562	1e-04	24.7455	NA	0.991	8e-04	NA	0.9922	0.0021	NA
01bea577aa60b2f19561a6239f841214	8.0727	2.0413	1.1794	8.0727	2.0413	0.131	61.6042	15.5775	NA	0	0.0034	NA	2e-04	0.0072	NA
01eeb07eabe250603ae069b7c9a1b78a	16.9401	0.2255	1.215	16.9401	0.2255	0.135	125.4857	1.6705	NA	0	0.2284	NA	1e-04	0.2815	NA
