treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	4.9678	2.549	0.6668	4.9678	2.549	0.0953	52.1521	26.7598	NA	2e-04	0.0013	NA	6e-04	0.0055	NA
0032aede248babc5516f057b3bcd4409	1.365	1.8601	0.6881	1.365	1.8601	0.0983	13.8865	18.9233	NA	0.0074	0.0034	NA	0.0118	0.0109	NA
0051ee453ff489fa79b20379bcc79b6b	4.3927	0.0999	0.2897	4.3927	0.0999	0.0414	106.1282	2.4127	NA	0	0.1643	NA	2e-04	0.2279	NA
00539cb2af8b7b06ee1279130fa2f307	11.5412	1.9829	0.7243	11.5412	1.9829	0.1035	111.5356	19.1632	NA	0	0.0032	NA	2e-04	0.0107	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.4281	0.0132	6.8165	0.4281	0.0132	0.9738	0.4396	0.0135	NA	0.5285	0.9107	NA	0.557	0.9332	NA
0092362bbf11972deda26d5b9e919f85	7.7187	7.7336	4.2193	7.7187	7.7336	0.6028	12.8056	12.8305	NA	0.009	0.009	NA	0.014	0.0225	NA
0095b52bd61b59e97345c0564dc8496e	2.6725	1.7255	1.1532	2.6725	1.7255	0.1647	16.2223	10.4743	NA	0.005	0.0143	NA	0.0085	0.032	NA
00c4a692e67b1c93a289ffcae447cfcf	7.4689	0.0968	1.9474	7.4689	0.0968	0.2782	26.8472	0.348	NA	0.0013	0.5738	NA	0.0027	0.6393	NA
00cee8684ccbb62fce87c20103b8aed2	8.7251	0.0738	1.7546	8.7251	0.0738	0.2507	34.8096	0.2946	NA	6e-04	0.6041	NA	0.0015	0.6667	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	0.3076	0.3254	5.5162	0.3076	0.3254	0.788	0.3903	0.413	NA	0.5519	0.5409	NA	0.5792	0.6109	NA
0112c347c6def14a99ba74cd77bfc94d	6.3966	0.0492	1.0627	6.3966	0.0492	0.1518	42.1354	0.3242	NA	3e-04	0.5869	NA	0.001	0.65	NA
011b116b1e264e2cde7ec36aa569ad7c	9.8436	6.0904	0.4376	9.8436	6.0904	0.0625	157.4477	97.4158	NA	0	0	NA	1e-04	6e-04	NA
0127000197e26a049598b4a6d0225ba2	1.9101	0.2006	0.7648	1.9101	0.2006	0.1093	17.4831	1.8364	NA	0.0041	0.2175	NA	0.0072	0.2881	NA
013c9c13c8d7029019462bef0627adba	5.5996	1.2915	1.2744	5.5996	1.2915	0.1821	30.7571	7.0938	NA	9e-04	0.0323	NA	0.0019	0.0606	NA
015116cb2ae1efade79e1af688f3c15b	1.0591	1.4791	1.1385	1.0591	1.4791	0.1626	6.5118	9.0945	NA	0.038	0.0195	NA	0.0505	0.0404	NA
0160f5a856b526939ba1062b1cc9df76	6.2909	2.0533	0.507	6.2909	2.0533	0.0724	86.8613	28.3508	NA	0	0.0011	NA	2e-04	0.005	NA
017a60cbade7b309db182bcabe59d6a4	5.5777	14.4476	0.6821	5.5777	14.4476	0.0974	57.2375	148.2588	NA	1e-04	0	NA	5e-04	3e-04	NA
017d459400583fe36857c77a1d541f39	9.9795	2.6779	1.6548	9.9795	2.6779	0.2364	42.2152	11.328	NA	3e-04	0.012	NA	0.001	0.028	NA
018de0ee05bc68de9383baf688539f9f	3.811	8.6253	0.3749	3.811	8.6253	0.0536	71.1643	161.0643	NA	1e-04	0	NA	3e-04	2e-04	NA
01ac16555e036cea2ece2a239591aae6	4.3809	0.6655	0.2898	4.3809	0.6655	0.0414	105.823	16.0755	NA	0	0.0051	NA	2e-04	0.0148	NA
01e7154d4b5f3188595e288aeab7f7a0	1.9297	15.2222	10.594	1.9297	15.2222	1.5134	1.2751	10.0581	NA	0.296	0.0157	NA	0.3279	0.0345	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.1888	0.5537	0.4993	3.1888	0.5537	0.0713	44.7016	7.7624	NA	3e-04	0.0271	NA	8e-04	0.0525	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.9544	1.784	0.4871	0.9544	1.784	0.0696	13.7158	25.637	NA	0.0076	0.0015	NA	0.0121	0.006	NA
01feb696b69822d637cdf0956d28bad4	0.063	3.4104	4.3573	0.063	3.4104	0.6225	0.1013	5.4788	NA	0.7596	0.0518	NA	0.7783	0.089	NA
02104476719f02b32307edfdb1e6a0c4	5.0396	2.0109	0.2986	5.0396	2.0109	0.0427	118.162	47.1476	NA	0	2e-04	NA	2e-04	0.002	NA
02266378f920e88e1dac1ed916c48ff6	7.8053	3e-04	0.2272	7.8053	3e-04	0.0325	240.439	0.0103	NA	0	0.922	NA	1e-04	0.9412	NA
