treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	6.5954	0.4516	0.6294	6.5954	0.4516	0.0899	73.3489	5.0227	NA	1e-04	0.06	NA	2e-04	0.0952	NA
002f1a45b5c69d673731dd633504a01e	4.1254	10.7611	0.422	4.1254	10.7611	0.0603	68.4259	178.4882	NA	1e-04	0	NA	3e-04	1e-04	NA
00361d4ec0f6bc9593b3365b7718c95b	13.2256	4.2945	5.0479	13.2256	4.2945	0.7211	18.3402	5.9553	NA	0.0036	0.0447	NA	0.0059	0.0749	NA
0036d59b9c2c58b22fd5945b4aa3f348	7.9404	0.7099	0.5088	7.9404	0.7099	0.0727	109.242	9.7663	NA	0	0.0167	NA	1e-04	0.0334	NA
005c9aeb0fcf676d0c82c53e266f6c7e	3.1343	0.0614	0.8309	3.1343	0.0614	0.1187	26.4054	0.5174	NA	0.0013	0.4952	NA	0.0025	0.5656	NA
005e34772346d65b74ff2f90ea4ec0ee	9.1522	0.4652	0.5488	9.1522	0.4652	0.0784	116.7415	5.9333	NA	0	0.045	NA	1e-04	0.0753	NA
008277a5fd42cb04f88c34a26df200ce	1.4741	0.0484	0.1563	1.4741	0.0484	0.0223	66.0238	2.1669	NA	1e-04	0.1845	NA	3e-04	0.2468	NA
00b05a391e262ebf75433a5901c94f69	13.0029	0.0954	0.2118	13.0029	0.0954	0.0303	429.8128	3.1549	NA	0	0.119	NA	0	0.1698	NA
00b65cc09893d47765ac0925658ae35e	1.3642	2.6834	1.0588	1.3642	2.6834	0.1513	9.0195	17.7413	NA	0.0199	0.004	NA	0.0271	0.0103	NA
00c799f63b8289b2b606e7f2e056cf59	2.9146	0.0939	0.5339	2.9146	0.0939	0.0763	38.2118	1.231	NA	5e-04	0.3039	NA	0.001	0.3744	NA
00f6d2cccf1735abedc75afff481ba2d	10.6567	5.8042	1.1443	10.6567	5.8042	0.1635	65.1911	35.5064	NA	1e-04	6e-04	NA	3e-04	0.0023	NA
0104f91f1cc33e553be3bfc68a517ce7	11.2928	0.4435	0.9966	11.2928	0.4435	0.1424	79.3168	3.1146	NA	0	0.1209	NA	2e-04	0.1723	NA
010f0a7d84a28949c78be5930457dabc	0.8935	0.2601	0.7293	0.8935	0.2601	0.1042	8.5754	2.4961	NA	0.0221	0.1581	NA	0.0298	0.2162	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	3.5541	2.8523	0.4509	3.5541	2.8523	0.0644	55.1763	44.2808	NA	1e-04	3e-04	NA	4e-04	0.0014	NA
013c73c0e5fa3c156721aa03c5399a7c	6.0092	3.8869	0.3939	6.0092	3.8869	0.0563	106.7823	69.0695	NA	0	1e-04	NA	1e-04	5e-04	NA
