treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	6.5908	1.0867	1.5489	6.5908	1.0867	0.1936	34.0402	5.6125	NA	4e-04	0.0453	NA	0.0011	0.0898	NA
00361d4ec0f6bc9593b3365b7718c95b	7.4464	8.0226	0.9604	7.4464	8.0226	0.12	62.0299	66.8298	NA	0	0	NA	3e-04	7e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	11.5508	1.5057	1.1646	11.5508	1.5057	0.1456	79.3429	10.343	NA	0	0.0123	NA	1e-04	0.0328	NA
0046281d7bcee40b30209fff59cb8a72	0.9648	0.3678	1.6224	0.9648	0.3678	0.2028	4.7575	1.8136	NA	0.0608	0.215	NA	0.0785	0.3084	NA
005e34772346d65b74ff2f90ea4ec0ee	8.5339	1.2603	0.2431	8.5339	1.2603	0.0304	280.8486	41.4757	NA	0	2e-04	NA	0	0.0019	NA
008277a5fd42cb04f88c34a26df200ce	1.0258	0.7315	0.5955	1.0258	0.7315	0.0744	13.781	9.827	NA	0.0059	0.0139	NA	0.0105	0.0361	NA
00b05a391e262ebf75433a5901c94f69	17.3099	0.1681	0.7034	17.3099	0.1681	0.0879	196.8739	1.9118	NA	0	0.2041	NA	0	0.2967	NA
00b65cc09893d47765ac0925658ae35e	1.6397	2.9105	2.5002	1.6397	2.9105	0.3125	5.2468	9.313	NA	0.0512	0.0158	NA	0.0672	0.0397	NA
00c799f63b8289b2b606e7f2e056cf59	6.3939	0.8108	1.9035	6.3939	0.8108	0.2379	26.8721	3.4076	NA	8e-04	0.1021	NA	0.0021	0.1705	NA
00f6d2cccf1735abedc75afff481ba2d	7.888	0.8923	2.8411	7.888	0.8923	0.3551	22.2108	2.5126	NA	0.0015	0.1516	NA	0.0034	0.234	NA
0104f91f1cc33e553be3bfc68a517ce7	8.3879	7e-04	0.8629	8.3879	7e-04	0.1079	77.7693	0.0063	NA	0	0.9389	NA	2e-04	0.9567	NA
010f0a7d84a28949c78be5930457dabc	1.1513	1.3421	1.022	1.1513	1.3421	0.1277	9.012	10.5055	NA	0.017	0.0119	NA	0.0256	0.032	NA
011e5941b5e89b68b7b904c87c05ae99	1.2943	12.1584	3.4761	1.2943	12.1584	0.4345	2.9788	27.9821	NA	0.1226	7e-04	NA	0.1478	0.0044	NA
013c73c0e5fa3c156721aa03c5399a7c	3.3421	1.4539	0.4764	3.3421	1.4539	0.0596	56.1195	24.4139	NA	1e-04	0.0011	NA	3e-04	0.0058	NA
015d0a9ef9e5e74e6a46eb8ee8ca202e	0.3929	2.4688	0.3564	0.3929	2.4688	0.0445	8.8201	55.417	NA	0.0179	1e-04	NA	0.0268	0.001	NA
016131c962c5b8b9fa691ffd928a7ad7	3.0029	5.4059	2.1279	3.0029	5.4059	0.266	11.2897	20.3241	NA	0.0099	0.002	NA	0.0161	0.0086	NA
01651ac01a6d8f5ab55e823ecd4020b2	4.0888	9.6426	2.6636	4.0888	9.6426	0.3329	12.2807	28.9615	NA	0.008	7e-04	NA	0.0134	0.0041	NA
01748fb97de74d17bdb942aeaa74a1aa	0.3604	1.9343	2.7746	0.3604	1.9343	0.3468	1.0391	5.5772	NA	0.3379	0.0458	NA	0.3711	0.0906	NA
018166381b3825f4433929cd661c73b1	0.0225	0.1527	0.5001	0.0225	0.1527	0.0625	0.3603	2.4431	NA	0.565	0.1567	NA	0.5946	0.2405	NA
01b59402bea919155f2b72585914dc28	2.3356	4.0844	0.9253	2.3356	4.0844	0.1157	20.193	35.3122	NA	0.002	3e-04	NA	0.0043	0.0027	NA
01ba5a538d3091e6f291367ab4c114de	3.1446	3.3957	9.1569	3.1446	3.3957	1.1446	2.7473	2.9667	NA	0.136	0.1233	NA	0.1629	0.1976	NA
01d02aad8a625053d2284c0580b85fc2	3.4559	0.4756	0.5969	3.4559	0.4756	0.0746	46.3152	6.3732	NA	1e-04	0.0356	NA	5e-04	0.0745	NA
01ec87fc65833175cd78632f91b9c013	4.2269	0.147	4.2196	4.2269	0.147	0.5275	8.0138	0.2788	NA	0.0221	0.6118	NA	0.0323	0.6888	NA
01f0a8d66a3f6ce7f33c54275e96b372	2.1748	0.3362	1.4207	2.1748	0.3362	0.1776	12.2464	1.8931	NA	0.0081	0.2061	NA	0.0135	0.2987	NA
01f55d0674a1fc462804f5dcf6ed0312	1.3201	21.76	3.3366	1.3201	21.76	0.4171	3.1652	52.1725	NA	0.1131	1e-04	NA	0.1377	0.0011	NA
021b2869c2627d813d2146e5a70b97da	0.812	0.6845	2.8058	0.812	0.6845	0.3507	2.3152	1.9518	NA	0.1666	0.1999	NA	0.1953	0.2927	NA
022ffb62b99d7950cce0c04b7db390a5	11.1377	2.0241	1.4414	11.1377	2.0241	0.1802	61.815	11.2337	NA	0	0.0101	NA	3e-04	0.0284	NA
0241e3fe915ef4b4685394ee622017ad	0.3365	1.7819	1.7115	0.3365	1.7819	0.2139	1.5728	8.3293	NA	0.2452	0.0203	NA	0.2775	0.0481	NA
02732f74813ddeb7926f68edd6501d34	4.7744	1.1729	0.8538	4.7744	1.1729	0.1067	44.7376	10.9904	NA	2e-04	0.0106	NA	6e-04	0.0295	NA
029ac96df8a3842cd51b0e24cb25d147	17.9261	4.1017	1.4122	17.9261	4.1017	0.1765	101.5475	23.235	NA	0	0.0013	NA	1e-04	0.0065	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	8.9084	0.0504	0.8472	8.9084	0.0504	0.1059	84.1169	0.4757	NA	0	0.5099	NA	1e-04	0.6042	NA
02b33d576f65cc2a7b11d181440278fe	7.196	1.8158	1.1956	7.196	1.8158	0.1494	48.1505	12.1499	NA	1e-04	0.0083	NA	5e-04	0.0244	NA
02c5ba36522584f868e4d3548c1e02af	7.6186	8.9809	1.853	7.6186	8.9809	0.2316	32.8926	38.7742	NA	4e-04	3e-04	NA	0.0013	0.0022	NA
02d5baf4915b88cd26c96b95b5015208	6.519	0.6185	1.3799	6.519	0.6185	0.1725	37.7948	3.5861	NA	3e-04	0.0949	NA	9e-04	0.1602	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	13.0864	4.0266	2.1092	13.0864	4.0266	0.2637	49.6348	15.2723	NA	1e-04	0.0045	NA	4e-04	0.0156	NA
02f912093302ca91c654dcb1dfdce08e	3.432	0.0054	5.7285	3.432	0.0054	0.7161	4.7929	0.0075	NA	0.06	0.9331	NA	0.0776	0.9527	NA
0308e44d8c5c89fef7d2aa63090a9a8c	4.7548	2.0491	3.151	4.7548	2.0491	0.3939	12.0719	5.2023	NA	0.0084	0.052	NA	0.0139	0.0995	NA
033d19faa0ce86082c0215df5bffbdb5	5.6721	0.4794	0.2701	5.6721	0.4794	0.0338	167.9786	14.1978	NA	0	0.0055	NA	0	0.0179	NA
