treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	2.6429	1.9196	3.2893	2.6429	1.9196	0.3655	7.2314	5.2524	NA	0.0248	0.0476	NA	0.0329	0.0764	NA
002f1a45b5c69d673731dd633504a01e	4.6177	3.4152	0.3812	4.6177	3.4152	0.0424	109.0339	80.6399	NA	0	0	NA	0	1e-04	NA
00361d4ec0f6bc9593b3365b7718c95b	1.776	35.3604	1.4356	1.776	35.3604	0.1595	11.1343	221.6831	NA	0.0087	0	NA	0.0126	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	5.9672	1.4763	1.5435	5.9672	1.4763	0.1715	34.7937	8.608	NA	2e-04	0.0167	NA	6e-04	0.0317	NA
0046281d7bcee40b30209fff59cb8a72	0.39	6.3781	1.5892	0.39	6.3781	0.1766	2.2085	36.1205	NA	0.1714	2e-04	NA	0.1971	0.001	NA
005c9aeb0fcf676d0c82c53e266f6c7e	2.1297	0.5777	1.8674	2.1297	0.5777	0.2075	10.2647	2.7845	NA	0.0108	0.1295	NA	0.0154	0.1807	NA
005e34772346d65b74ff2f90ea4ec0ee	5.9834	0.0431	1.4478	5.9834	0.0431	0.1609	37.1957	0.2677	NA	2e-04	0.6174	NA	5e-04	0.6801	NA
008277a5fd42cb04f88c34a26df200ce	1.1813	1.2307	0.1659	1.1813	1.2307	0.0184	64.0935	66.7741	NA	0	0	NA	1e-04	2e-04	NA
0096aa36bc665b9d641ed715c86461f4	3.913	0.5497	0.6602	3.913	0.5497	0.0734	53.3465	7.4936	NA	0	0.0229	NA	2e-04	0.0412	NA
00b05a391e262ebf75433a5901c94f69	6.9524	0.1524	2.7653	6.9524	0.1524	0.3073	22.6275	0.4962	NA	0.001	0.499	NA	0.002	0.5687	NA
00b65cc09893d47765ac0925658ae35e	1.5612	3.7481	1.0185	1.5612	3.7481	0.1132	13.796	33.1207	NA	0.0048	3e-04	NA	0.0074	0.0013	NA
00c799f63b8289b2b606e7f2e056cf59	5.5666	0.5307	1.9748	5.5666	0.5307	0.2194	25.3691	2.4186	NA	7e-04	0.1543	NA	0.0014	0.2104	NA
00f6d2cccf1735abedc75afff481ba2d	12.5151	4.8049	2.9379	12.5151	4.8049	0.3264	38.3394	14.7194	NA	2e-04	0.004	NA	4e-04	0.0099	NA
0104f91f1cc33e553be3bfc68a517ce7	5.3575	0.0604	0.5701	5.3575	0.0604	0.0633	84.5749	0.9537	NA	0	0.3543	NA	1e-04	0.4281	NA
010f0a7d84a28949c78be5930457dabc	0.6363	0.4674	1.2185	0.6363	0.4674	0.1354	4.7	3.4525	NA	0.0583	0.0961	NA	0.0721	0.1406	NA
011e5941b5e89b68b7b904c87c05ae99	0.4846	11.8482	5.8541	0.4846	11.8482	0.6505	0.7451	18.2153	NA	0.4105	0.0021	NA	0.4431	0.0059	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	2.8982	0.0289	0.4546	2.8982	0.0289	0.0505	57.38	0.5719	NA	0	0.4688	NA	1e-04	0.5398	NA
016131c962c5b8b9fa691ffd928a7ad7	2.696	0.3661	1.0346	2.696	0.3661	0.115	23.4522	3.1847	NA	9e-04	0.108	NA	0.0018	0.1556	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.8707	3.1594	0.7293	3.8707	3.1594	0.081	47.7644	38.9876	NA	1e-04	2e-04	NA	2e-04	8e-04	NA
01748fb97de74d17bdb942aeaa74a1aa	0.4388	4.9993	0.3973	0.4388	4.9993	0.0441	9.9406	113.245	NA	0.0117	0	NA	0.0165	0	NA
018166381b3825f4433929cd661c73b1	0.0196	2.9414	0.725	0.0196	2.9414	0.0806	0.2439	36.5154	NA	0.6332	2e-04	NA	0.6619	9e-04	NA
01b59402bea919155f2b72585914dc28	4.0104	0.9144	0.8655	4.0104	0.9144	0.0962	41.7005	9.5083	NA	1e-04	0.0131	NA	3e-04	0.026	NA
01ba5a538d3091e6f291367ab4c114de	7.2681	0.2278	2.5496	7.2681	0.2278	0.2833	25.6558	0.8042	NA	7e-04	0.3932	NA	0.0014	0.4664	NA
01d02aad8a625053d2284c0580b85fc2	1.0537	4.6297	3.9125	1.0537	4.6297	0.4347	2.4238	10.6499	NA	0.1539	0.0098	NA	0.1786	0.0203	NA
