treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	2.424	0.7136	1.9113	2.424	0.7136	0.2124	11.4142	3.3601	NA	0.0081	0.1	NA	0.0116	0.1372	NA
0032aede248babc5516f057b3bcd4409	5.3922	1.332	1.7951	5.3922	1.332	0.1995	27.0347	6.6783	NA	6e-04	0.0295	NA	0.0011	0.048	NA
0051ee453ff489fa79b20379bcc79b6b	5.1589	0.0165	0.5199	5.1589	0.0165	0.0578	89.2993	0.2848	NA	0	0.6065	NA	0	0.6544	NA
00539cb2af8b7b06ee1279130fa2f307	11.3834	1.4947	1.4039	11.3834	1.4947	0.156	72.9738	9.5821	NA	0	0.0128	NA	1e-04	0.0236	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.8535	8e-04	12.7283	0.8535	8e-04	1.4143	0.6035	6e-04	NA	0.4572	0.9817	NA	0.4902	0.9853	NA
0092362bbf11972deda26d5b9e919f85	15.0801	1.5938	1.0139	15.0801	1.5938	0.1127	133.8576	14.1472	NA	0	0.0045	NA	0	0.0098	NA
0095b52bd61b59e97345c0564dc8496e	2.6212	6.4394	1.7288	2.6212	6.4394	0.1921	13.646	33.524	NA	0.005	3e-04	NA	0.0075	0.001	NA
00c4a692e67b1c93a289ffcae447cfcf	4.4355	0.0985	1.177	4.4355	0.0985	0.1308	33.9162	0.7532	NA	3e-04	0.408	NA	5e-04	0.4644	NA
00cee8684ccbb62fce87c20103b8aed2	10.9731	2.6597	2.5985	10.9731	2.6597	0.2887	38.0052	9.2118	NA	2e-04	0.0141	NA	4e-04	0.0256	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	0.0737	3.1463	5.7278	0.0737	3.1463	0.6364	0.1158	4.9437	NA	0.7414	0.0533	NA	0.7663	0.0801	NA
0112c347c6def14a99ba74cd77bfc94d	7.9991	0.0329	1.0597	7.9991	0.0329	0.1177	67.936	0.2791	NA	0	0.6101	NA	1e-04	0.6574	NA
011b116b1e264e2cde7ec36aa569ad7c	15.3488	3.4865	0.845	15.3488	3.4865	0.0939	163.4691	37.132	NA	0	2e-04	NA	0	8e-04	NA
0127000197e26a049598b4a6d0225ba2	2.3277	6.1799	5.8774	2.3277	6.1799	0.653	3.5644	9.4632	NA	0.0916	0.0132	NA	0.109	0.0242	NA
013c9c13c8d7029019462bef0627adba	7.6725	2.416	1.2322	7.6725	2.416	0.1369	56.0379	17.6459	NA	0	0.0023	NA	1e-04	0.0057	NA
015116cb2ae1efade79e1af688f3c15b	0.9535	0.1459	1.8636	0.9535	0.1459	0.2071	4.6048	0.7044	NA	0.0604	0.423	NA	0.0742	0.4798	NA
01524ceb0052552ad3c425bf777b0b3a	5.2117	2.751	0.7649	5.2117	2.751	0.085	61.3264	32.3711	NA	0	3e-04	NA	1e-04	0.0011	NA
0160f5a856b526939ba1062b1cc9df76	8.7999	0.2679	0.593	8.7999	0.2679	0.0659	133.547	4.065	NA	0	0.0746	NA	0	0.1068	NA
017a60cbade7b309db182bcabe59d6a4	8.0367	2.3944	5.0149	8.0367	2.3944	0.5572	14.4232	4.2971	NA	0.0042	0.068	NA	0.0065	0.0986	NA
017d459400583fe36857c77a1d541f39	9.6846	1.3127	1.1655	9.6846	1.3127	0.1295	74.7833	10.1368	NA	0	0.0111	NA	1e-04	0.0208	NA
018de0ee05bc68de9383baf688539f9f	8.0727	4.2238	0.7889	8.0727	4.2238	0.0877	92.0931	48.1845	NA	0	1e-04	NA	0	4e-04	NA
01ac16555e036cea2ece2a239591aae6	6.9722	0.5644	1.1743	6.9722	0.5644	0.1305	53.4351	4.3254	NA	0	0.0673	NA	1e-04	0.0977	NA
01e7154d4b5f3188595e288aeab7f7a0	8.9912	8.6225	1.0714	8.9912	8.6225	0.119	75.5299	72.4325	NA	0	0	NA	1e-04	1e-04	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.4168	0.4801	0.8163	4.4168	0.4801	0.0907	48.6989	5.2939	NA	1e-04	0.0469	NA	2e-04	0.0719	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.9453	1.3395	0.8509	0.9453	1.3395	0.0945	9.9987	14.1676	NA	0.0115	0.0045	NA	0.016	0.0098	NA
01feb696b69822d637cdf0956d28bad4	4.8437	68.1889	5.2638	4.8437	68.1889	0.5849	8.2817	116.5882	NA	0.0182	0	NA	0.0243	0	NA
02104476719f02b32307edfdb1e6a0c4	5.406	1.5226	0.8157	5.406	1.5226	0.0906	59.6474	16.7994	NA	0	0.0027	NA	1e-04	0.0065	NA
02266378f920e88e1dac1ed916c48ff6	9.1519	0.2585	0.7078	9.1519	0.2585	0.0786	116.3786	3.2878	NA	0	0.1032	NA	0	0.1412	NA
022b87e073ba519506a6d0d9dac1bba1	12.2772	0.1011	1.0157	12.2772	0.1011	0.1129	108.7847	0.8956	NA	0	0.3687	NA	0	0.4259	NA
023ba7a7b10d718c663d5207c4f61f07	3.3185	0.1322	3.5371	3.3185	0.1322	0.393	8.4439	0.3364	NA	0.0174	0.5761	NA	0.0233	0.6257	NA
026f6d9d6a5c591d5465aaeddf6222f1	10.8318	0.1083	1.2898	10.8318	0.1083	0.1433	75.5811	0.756	NA	0	0.4072	NA	1e-04	0.4636	NA
028a375a3a51f2d5d05b85cf4ef10890	3.9018	8.6858	0.5774	3.9018	8.6858	0.0642	60.8195	135.3884	NA	0	0	NA	1e-04	0	NA
02a63d174c8502c109303db99cf1e437	4.3924	0.968	0.2882	4.3924	0.968	0.032	137.1595	30.2262	NA	0	4e-04	NA	0	0.0013	NA
02adf979cb3500c39977fffbf7d2a048	6.4271	0.1982	0.7361	6.4271	0.1982	0.0818	78.5782	2.423	NA	0	0.154	NA	0	0.1991	NA
02c19d40dee2d87c409a2e2f7b713d7f	0.0389	1.201	4.0183	0.0389	1.201	0.4465	0.0872	2.6899	NA	0.7745	0.1354	NA	0.7967	0.1783	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	21.4287	5.1213	2.9407	21.4287	5.1213	0.3267	65.5828	15.6737	NA	0	0.0033	NA	1e-04	0.0077	NA
