treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	5.3983	8.196	1.7384	5.3983	8.196	0.1932	27.9478	42.4316	NA	5e-04	1e-04	NA	9e-04	7e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	12.5723	0.7354	1.118	12.5723	0.7354	0.1242	101.2094	5.9201	NA	0	0.0378	NA	0	0.0685	NA
0046281d7bcee40b30209fff59cb8a72	1.1435	2.328	0.3239	1.1435	2.328	0.036	31.777	64.6927	NA	3e-04	0	NA	6e-04	2e-04	NA
005c9aeb0fcf676d0c82c53e266f6c7e	3.1314	3.0274	0.9265	3.1314	3.0274	0.1029	30.418	29.407	NA	4e-04	4e-04	NA	7e-04	0.0019	NA
008277a5fd42cb04f88c34a26df200ce	1.4172	0.0259	0.3319	1.4172	0.0259	0.0369	38.4305	0.7024	NA	2e-04	0.4237	NA	4e-04	0.5058	NA
00b05a391e262ebf75433a5901c94f69	10.5568	2.1809	1.3769	10.5568	2.1809	0.153	69.0037	14.2555	NA	0	0.0044	NA	1e-04	0.0116	NA
0104f91f1cc33e553be3bfc68a517ce7	7.5902	1.2933	0.2918	7.5902	1.2933	0.0324	234.0976	39.8891	NA	0	1e-04	NA	0	8e-04	NA
010f0a7d84a28949c78be5930457dabc	1.4299	0.8916	0.2899	1.4299	0.8916	0.0322	44.3875	27.6784	NA	1e-04	5e-04	NA	2e-04	0.0022	NA
013c73c0e5fa3c156721aa03c5399a7c	3.6835	2.8992	0.2564	3.6835	2.8992	0.0285	129.295	101.7671	NA	0	0	NA	0	1e-04	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.679	5e-04	1.1597	3.679	5e-04	0.1289	28.5523	0.0037	NA	5e-04	0.9528	NA	9e-04	0.9627	NA
01748fb97de74d17bdb942aeaa74a1aa	1.8292	35.4878	0.9569	1.8292	35.4878	0.1063	17.2046	333.7807	NA	0.0025	0	NA	0.0039	0	NA
018166381b3825f4433929cd661c73b1	0.2268	0.0213	0.5103	0.2268	0.0213	0.0567	4.0004	0.3758	NA	0.0765	0.555	NA	0.0896	0.6313	NA
01b59402bea919155f2b72585914dc28	2.3474	0.5054	1.1838	2.3474	0.5054	0.1315	17.8459	3.8419	NA	0.0022	0.0816	NA	0.0035	0.1289	NA
01ba5a538d3091e6f291367ab4c114de	3.4927	0.2684	6.5033	3.4927	0.2684	0.7226	4.8336	0.3714	NA	0.0555	0.5573	NA	0.0662	0.6332	NA
01eeb07eabe250603ae069b7c9a1b78a	17.4052	0.0278	0.832	17.4052	0.0278	0.0924	188.2765	0.3005	NA	0	0.5969	NA	0	0.6725	NA
021b2869c2627d813d2146e5a70b97da	0.4483	2.5489	2.0621	0.4483	2.5489	0.2291	1.9567	11.1248	NA	0.1954	0.0087	NA	0.2179	0.0202	NA
0241e3fe915ef4b4685394ee622017ad	5.2348	0.2989	3.4337	5.2348	0.2989	0.3815	13.7209	0.7835	NA	0.0049	0.3991	NA	0.007	0.4825	NA
029ac96df8a3842cd51b0e24cb25d147	32.0309	17.042	8.6373	32.0309	17.042	0.9597	33.3759	17.7576	NA	3e-04	0.0023	NA	6e-04	0.0068	NA
