treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	6.1727	0.6339	1.3427	6.1727	0.6339	0.1492	41.374	4.2489	NA	1e-04	0.0693	NA	3e-04	0.1221	NA
002f1a45b5c69d673731dd633504a01e	3.9076	3.6883	0.6019	3.9076	3.6883	0.0669	58.4282	55.1499	NA	0	0	NA	1e-04	5e-04	NA
00361d4ec0f6bc9593b3365b7718c95b	10.0261	3.7639	1.5703	10.0261	3.7639	0.1745	57.4633	21.5722	NA	0	0.0012	NA	1e-04	0.0052	NA
0036d59b9c2c58b22fd5945b4aa3f348	16.506	0.1886	2.0433	16.506	0.1886	0.227	72.7026	0.8308	NA	0	0.3858	NA	1e-04	0.4765	NA
0046281d7bcee40b30209fff59cb8a72	1.8997	0.884	0.7431	1.8997	0.884	0.0826	23.0065	10.7058	NA	0.001	0.0097	NA	0.0019	0.0256	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.0868	2.415	6.0575	0.0868	2.415	0.6731	0.129	3.5881	NA	0.7277	0.0907	NA	0.7495	0.1501	NA
005e34772346d65b74ff2f90ea4ec0ee	10.0198	1.9633	0.5749	10.0198	1.9633	0.0639	156.8517	30.7343	NA	0	4e-04	NA	0	0.0021	NA
008277a5fd42cb04f88c34a26df200ce	1.6972	0.4936	0.8624	1.6972	0.4936	0.0958	17.7119	5.1507	NA	0.0023	0.0494	NA	0.0039	0.0926	NA
0096aa36bc665b9d641ed715c86461f4	8.1668	0.276	0.2044	8.1668	0.276	0.0227	359.6228	12.1539	NA	0	0.0069	NA	0	0.0196	NA
00b05a391e262ebf75433a5901c94f69	14.714	2.1868	0.6571	14.714	2.1868	0.073	201.5215	29.9506	NA	0	4e-04	NA	0	0.0022	NA
00b65cc09893d47765ac0925658ae35e	2.8677	11.2169	1.6549	2.8677	11.2169	0.1839	15.5959	61.0036	NA	0.0034	0	NA	0.0055	4e-04	NA
00c799f63b8289b2b606e7f2e056cf59	3.7723	1.1377	0.5094	3.7723	1.1377	0.0566	66.6446	20.0997	NA	0	0.0015	NA	1e-04	0.0062	NA
0104f91f1cc33e553be3bfc68a517ce7	10.6235	0.8413	0.7275	10.6235	0.8413	0.0808	131.4227	10.4078	NA	0	0.0104	NA	0	0.0272	NA
010f0a7d84a28949c78be5930457dabc	0.3169	1.5665	1.6328	0.3169	1.5665	0.1814	1.7469	8.6347	NA	0.2189	0.0165	NA	0.2462	0.0385	NA
016131c962c5b8b9fa691ffd928a7ad7	5.311	0.4655	1.1412	5.311	0.4655	0.1268	41.8833	3.6709	NA	1e-04	0.0876	NA	3e-04	0.1464	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.804	0.0754	1.234	3.804	0.0754	0.1371	27.743	0.5499	NA	5e-04	0.4773	NA	0.0011	0.5603	NA
01748fb97de74d17bdb942aeaa74a1aa	1.2626	16.7467	2.6132	1.2626	16.7467	0.2904	4.3485	57.6774	NA	0.0667	0	NA	0.0819	4e-04	NA
018166381b3825f4433929cd661c73b1	0.145	0.039	0.7628	0.145	0.039	0.0848	1.7103	0.4598	NA	0.2234	0.5148	NA	0.2507	0.5943	NA
01b59402bea919155f2b72585914dc28	4.4172	1.1647	1.1197	4.4172	1.1647	0.1244	35.5034	9.3614	NA	2e-04	0.0136	NA	5e-04	0.0333	NA
01ba5a538d3091e6f291367ab4c114de	0.0658	2.7615	19.1663	0.0658	2.7615	2.1296	0.0309	1.2967	NA	0.8643	0.2842	NA	0.8748	0.3746	NA
01ec87fc65833175cd78632f91b9c013	6.0429	0.5389	4.4991	6.0429	0.5389	0.4999	12.0882	1.0781	NA	0.007	0.3262	NA	0.0105	0.4158	NA
01eeb07eabe250603ae069b7c9a1b78a	12.5793	1.1473	0.5557	12.5793	1.1473	0.0617	203.7457	18.5822	NA	0	0.002	NA	0	0.0075	NA
01f55d0674a1fc462804f5dcf6ed0312	3.2999	11.0522	3.3385	3.2999	11.0522	0.3709	8.8957	29.7944	NA	0.0154	4e-04	NA	0.0214	0.0022	NA
021b2869c2627d813d2146e5a70b97da	1.5187	2.7823	2.0948	1.5187	2.7823	0.2328	6.5248	11.9537	NA	0.031	0.0072	NA	0.0403	0.0202	NA
022ffb62b99d7950cce0c04b7db390a5	9.2357	0.1007	4.306	9.2357	0.1007	0.4784	19.3036	0.2105	NA	0.0017	0.6573	NA	0.0031	0.7256	NA
029ac96df8a3842cd51b0e24cb25d147	19.7346	4.0427	1.9973	19.7346	4.0427	0.2219	88.9242	18.2165	NA	0	0.0021	NA	0	0.0079	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	6.0986	0.4003	0.6562	6.0986	0.4003	0.0729	83.647	5.4899	NA	0	0.0438	NA	0	0.0834	NA
02b33d576f65cc2a7b11d181440278fe	6.1153	0.3931	0.3418	6.1153	0.3931	0.038	161.0409	10.3514	NA	0	0.0105	NA	0	0.0274	NA
02c5ba36522584f868e4d3548c1e02af	7.9037	4.248	0.7593	7.9037	4.248	0.0844	93.6882	50.3551	NA	0	1e-04	NA	0	6e-04	NA
02d5baf4915b88cd26c96b95b5015208	6.825	3.5556	1.1449	6.825	3.5556	0.1272	53.6533	27.9514	NA	0	5e-04	NA	2e-04	0.0026	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	12.0836	1.4722	8.2734	12.0836	1.4722	0.9193	13.1448	1.6015	NA	0.0055	0.2375	NA	0.0085	0.3225	NA
0308e44d8c5c89fef7d2aa63090a9a8c	12.3716	0.004	7.1154	12.3716	0.004	0.7906	15.6483	0.0051	NA	0.0033	0.9448	NA	0.0055	0.9609	NA
0316f5eb4d9b051e65b40cebf08edbba	0.3232	0.982	2.4074	0.3232	0.982	0.2675	1.2081	3.671	NA	0.3002	0.0876	NA	0.3291	0.1464	NA
033d19faa0ce86082c0215df5bffbdb5	5.6626	1.6634	0.621	5.6626	1.6634	0.069	82.068	24.1078	NA	0	8e-04	NA	0	0.0039	NA
03522a86e8b54bd9508023e65e04dfd1	4.497	0.4636	1.918	4.497	0.4636	0.2131	21.1019	2.1756	NA	0.0013	0.1743	NA	0.0024	0.2529	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.2736	1.2972	1.7334	0.2736	1.2972	0.1926	1.4205	6.7348	NA	0.2638	0.029	NA	0.2928	0.0595	NA
035ad00cb4268363afb29c9db102e959	2.6732	0.2508	1.0081	2.6732	0.2508	0.112	23.8654	2.2389	NA	9e-04	0.1688	NA	0.0017	0.247	NA
0362c5f6815777388ea02ff51947c85e	17.8276	2.1704	0.8466	17.8276	2.1704	0.0941	189.5263	23.0732	NA	0	0.001	NA	0	0.0044	NA
0366632c1fdcf16e8c7b8699f543b6a6	11.5307	0.0417	2.3076	11.5307	0.0417	0.2564	44.9716	0.1625	NA	1e-04	0.6963	NA	3e-04	0.7572	NA
036fd95372a59cb54c18db11e833a6e5	1.7403	0.0041	3.4806	1.7403	0.0041	0.3867	4.5	0.0105	NA	0.0629	0.9207	NA	0.0778	0.9413	NA
037524aa568740056509743fc5a5ffb5	4.6053	4.8268	2.7047	4.6053	4.8268	0.3005	15.3243	16.0614	NA	0.0035	0.0031	NA	0.0058	0.0107	NA
0386c2c39453985371b1e0a028dae5bd	5.9102	0.562	1.54	5.9102	0.562	0.1711	34.5409	3.2846	NA	2e-04	0.1034	NA	6e-04	0.1658	NA
03a7140d58c2f4370a116f4370db71b2	14.1025	0.7157	3.0289	14.1025	0.7157	0.3365	41.9042	2.1266	NA	1e-04	0.1788	NA	3e-04	0.2581	NA
03aa788c08141e567920d07949ef1597	3.1348	0.7385	2.4208	3.1348	0.7385	0.269	11.6544	2.7455	NA	0.0077	0.1319	NA	0.0115	0.2018	NA
03b17bf8dedf92c8881ef5a0fe401e0a	2.3921	3.5799	0.6026	2.3921	3.5799	0.067	35.7287	53.4698	NA	2e-04	0	NA	5e-04	5e-04	NA
03c3804b27717d58097d438f97396ac2	3.7574	0	1.3785	3.7574	0	0.1532	24.5313	1e-04	NA	8e-04	0.9929	NA	0.0016	0.9953	NA
03e6f65e9c8056054bf520af12a431e4	6e-04	11.3733	4.4436	6e-04	11.3733	0.4937	0.0012	23.0355	NA	0.9729	0.001	NA	0.9757	0.0044	NA
03f1014e7b49b7d27f67c5e9d6cf9f5a	8.8615	1.6501	0.9597	8.8615	1.6501	0.1066	83.1017	15.4748	NA	0	0.0034	NA	0	0.0116	NA
03f189aa58435a27b6de7eb961b20307	1.4745	0.5483	1.8294	1.4745	0.5483	0.2033	7.2542	2.6974	NA	0.0247	0.1349	NA	0.0327	0.2056	NA
040d33a988e7004112ecdeb4e029b32f	3.7464	0.0375	1.1206	3.7464	0.0375	0.1245	30.0899	0.3009	NA	4e-04	0.5966	NA	9e-04	0.6706	NA
041ea541f1c4f5b3ffdc193464a3c139	8.1524	0.1287	2.6309	8.1524	0.1287	0.2923	27.8882	0.4402	NA	5e-04	0.5237	NA	0.0011	0.6024	NA
04327e5022331564cf8543999a1eac1e	5.264	0.1399	0.7585	5.264	0.1399	0.0843	62.4612	1.6597	NA	0	0.2298	NA	1e-04	0.3139	NA
