treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	6.3611	0.0014	2.5133	6.3611	0.0014	0.2793	22.7783	0.0048	NA	0.001	0.946	NA	0.0024	0.9663	NA
0051ee453ff489fa79b20379bcc79b6b	4.4659	0.0616	2.043	4.4659	0.0616	0.227	19.6739	0.2713	NA	0.0016	0.615	NA	0.0034	0.7143	NA
00539cb2af8b7b06ee1279130fa2f307	13.2834	0.431	1.8236	13.2834	0.431	0.2026	65.556	2.1272	NA	0	0.1787	NA	1e-04	0.298	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.1017	3.7165	6.8644	0.1017	3.7165	0.7627	0.1334	4.8728	NA	0.7234	0.0547	NA	0.7462	0.1264	NA
0092362bbf11972deda26d5b9e919f85	16.8342	0.9695	0.8198	16.8342	0.9695	0.0911	184.8181	10.6434	NA	0	0.0098	NA	0	0.0371	NA
0095b52bd61b59e97345c0564dc8496e	2.6461	4.6971	2.3468	2.6461	4.6971	0.2608	10.148	18.0137	NA	0.0111	0.0022	NA	0.0168	0.0133	NA
00a550b3fa43f178639afb2a02540b16	0.1416	0.2611	7.4986	0.1416	0.2611	0.8332	0.1699	0.3133	NA	0.6898	0.5893	NA	0.7149	0.6971	NA
00cee8684ccbb62fce87c20103b8aed2	11.3849	1.8256	3.2631	11.3849	1.8256	0.3626	31.401	5.0352	NA	3e-04	0.0515	NA	0.001	0.1209	NA
0112c347c6def14a99ba74cd77bfc94d	8.2523	1.6993	1.4448	8.2523	1.6993	0.1605	51.4046	10.5853	NA	1e-04	0.0099	NA	3e-04	0.0372	NA
011b116b1e264e2cde7ec36aa569ad7c	13.1653	0.2155	2.0642	13.1653	0.2155	0.2294	57.4013	0.9396	NA	0	0.3577	NA	2e-04	0.4881	NA
0127000197e26a049598b4a6d0225ba2	3.4838	0.6008	1.6358	3.4838	0.6008	0.1818	19.1676	3.3054	NA	0.0018	0.1024	NA	0.0036	0.1983	NA
013c9c13c8d7029019462bef0627adba	6.5313	0.0106	3.1001	6.5313	0.0106	0.3445	18.9612	0.0308	NA	0.0018	0.8646	NA	0.0037	0.9116	NA
015116cb2ae1efade79e1af688f3c15b	4.3546	1.2571	5.1484	4.3546	1.2571	0.572	7.6123	2.1976	NA	0.0221	0.1724	NA	0.031	0.2897	NA
01524ceb0052552ad3c425bf777b0b3a	5.3264	0.0823	1.0845	5.3264	0.0823	0.1205	44.2028	0.6833	NA	1e-04	0.4298	NA	4e-04	0.5545	NA
0160f5a856b526939ba1062b1cc9df76	8.8279	0.0593	1.4446	8.8279	0.0593	0.1605	54.9988	0.3694	NA	0	0.5584	NA	2e-04	0.6729	NA
017a60cbade7b309db182bcabe59d6a4	15.8556	5.6758	6.025	15.8556	5.6758	0.6694	23.6848	8.4783	NA	9e-04	0.0173	NA	0.0021	0.0547	NA
017d459400583fe36857c77a1d541f39	6.2092	14.4872	3.3797	6.2092	14.4872	0.3755	16.5352	38.5794	NA	0.0028	2e-04	NA	0.0053	0.0023	NA
018de0ee05bc68de9383baf688539f9f	8.1708	2.5903	0.5146	8.1708	2.5903	0.0572	142.9052	45.3041	NA	0	1e-04	NA	0	0.0015	NA
