treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	5.5844	4.2395	0.6109	5.5844	4.2395	0.0679	82.2678	62.455	NA	0	0	NA	0	1e-04	NA
0032aede248babc5516f057b3bcd4409	1.9209	0.0064	0.2873	1.9209	0.0064	0.0319	60.1718	0.1994	NA	0	0.6658	NA	1e-04	0.7068	NA
0051ee453ff489fa79b20379bcc79b6b	4.1282	1.1566	0.457	4.1282	1.1566	0.0508	81.2972	22.7777	NA	0	0.001	NA	0	0.0022	NA
00539cb2af8b7b06ee1279130fa2f307	15.966	1.1536	0.6251	15.966	1.1536	0.0695	229.8717	16.6085	NA	0	0.0028	NA	0	0.0053	NA
006c80037cfc5a276d7d1b8ef20cdccd	1.002	0.001	3.7835	1.002	0.001	0.4204	2.3835	0.0024	NA	0.157	0.9619	NA	0.1789	0.9693	NA
0092362bbf11972deda26d5b9e919f85	14.0126	4.1649	1.7063	14.0126	4.1649	0.1896	73.9112	21.9682	NA	0	0.0011	NA	0	0.0024	NA
0095b52bd61b59e97345c0564dc8496e	2.0131	3.2033	1.8464	2.0131	3.2033	0.2052	9.8127	15.6139	NA	0.0121	0.0033	NA	0.0163	0.0063	NA
00a550b3fa43f178639afb2a02540b16	8.1411	1.368	2.3657	8.1411	1.368	0.2629	30.9712	5.2043	NA	3e-04	0.0485	NA	6e-04	0.0677	NA
00c4a692e67b1c93a289ffcae447cfcf	10.5022	0.0017	1.8691	10.5022	0.0017	0.2077	50.5697	0.008	NA	1e-04	0.9306	NA	1e-04	0.9431	NA
00cee8684ccbb62fce87c20103b8aed2	11.2166	5.0922	2.2756	11.2166	5.0922	0.2528	44.361	20.1394	NA	1e-04	0.0015	NA	2e-04	0.0031	NA
0112c347c6def14a99ba74cd77bfc94d	11.3405	0.0027	0.3436	11.3405	0.0027	0.0382	297.0748	0.0707	NA	0	0.7964	NA	0	0.8237	NA
011b116b1e264e2cde7ec36aa569ad7c	13.0109	4.6345	0.5068	13.0109	4.6345	0.0563	231.0441	82.2985	NA	0	0	NA	0	0	NA
0127000197e26a049598b4a6d0225ba2	5.6978	6.2772	2.6754	5.6978	6.2772	0.2973	19.1676	21.1165	NA	0.0018	0.0013	NA	0.0028	0.0027	NA
013c9c13c8d7029019462bef0627adba	7.9596	7.3039	1.5033	7.9596	7.3039	0.167	47.6534	43.7277	NA	1e-04	1e-04	NA	2e-04	3e-04	NA
015116cb2ae1efade79e1af688f3c15b	0.0475	4.2605	4.3278	0.0475	4.2605	0.4809	0.0987	8.86	NA	0.7606	0.0155	NA	0.7787	0.0246	NA
