treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.1446	1.5458	0.7667	1.1446	1.5458	0.1095	10.4504	14.1134	NA	0.0144	0.0071	NA	0.0238	0.018	NA
002707428636a815354367f102120956	0.293	8.7726	4.5471	0.293	8.7726	0.6496	0.451	13.5051	NA	0.5234	0.0079	NA	0.5629	0.0194	NA
002f1a45b5c69d673731dd633504a01e	2.946	7.0799	0.822	2.946	7.0799	0.1174	25.0888	60.2939	NA	0.0015	1e-04	NA	0.004	0.0015	NA
00361d4ec0f6bc9593b3365b7718c95b	12.7472	1.1125	0.619	12.7472	1.1125	0.0884	144.1415	12.58	NA	0	0.0094	NA	2e-04	0.0221	NA
0036d59b9c2c58b22fd5945b4aa3f348	18.5329	0.3432	1.1434	18.5329	0.3432	0.1633	113.464	2.1012	NA	0	0.1905	NA	2e-04	0.2531	NA
0046281d7bcee40b30209fff59cb8a72	0.6259	4.7459	1.0266	0.6259	4.7459	0.1467	4.2675	32.3592	NA	0.0777	7e-04	NA	0.1035	0.0042	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.1412	3.7896	4.6979	0.1412	3.7896	0.6711	0.2105	5.6465	NA	0.6603	0.0492	NA	0.6939	0.0819	NA
005e34772346d65b74ff2f90ea4ec0ee	8.4556	1.8837	0.7607	8.4556	1.8837	0.1087	77.8066	17.3333	NA	0	0.0042	NA	4e-04	0.0124	NA
008277a5fd42cb04f88c34a26df200ce	2.4284	0.682	1.0528	2.4284	0.682	0.1504	16.1467	4.5346	NA	0.0051	0.0707	NA	0.0102	0.11	NA
00b05a391e262ebf75433a5901c94f69	8.7742	1.1286	0.6433	8.7742	1.1286	0.0919	95.4692	12.2802	NA	0	0.0099	NA	3e-04	0.023	NA
00b65cc09893d47765ac0925658ae35e	4.396	0.2471	1.2637	4.396	0.2471	0.1805	24.3497	1.3688	NA	0.0017	0.2803	NA	0.0043	0.3501	NA
00c799f63b8289b2b606e7f2e056cf59	6.4421	1.0671	1.9288	6.4421	1.0671	0.2755	23.3797	3.8726	NA	0.0019	0.0898	NA	0.0047	0.1342	NA
0104f91f1cc33e553be3bfc68a517ce7	7.4128	1.1966	1.2188	7.4128	1.1966	0.1741	42.574	6.8723	NA	3e-04	0.0343	NA	0.0013	0.0607	NA
010f0a7d84a28949c78be5930457dabc	0.0082	0.0467	0.991	0.0082	0.0467	0.1416	0.0577	0.3301	NA	0.8171	0.5836	NA	0.8369	0.6432	NA
0141cc500b9cfd472681696cfe8f2eb1	7.0912	4.8125	1.0642	7.0912	4.8125	0.152	46.645	31.656	NA	2e-04	8e-04	NA	0.0011	0.0043	NA
014e0244ce0227c40879daa0bae73ee2	0.3656	3.9221	1.1033	0.3656	3.9221	0.1576	2.3195	24.8842	NA	0.1716	0.0016	NA	0.2083	0.0064	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.6921	0.4624	1.4385	0.6921	0.4624	0.2055	3.3678	2.2501	NA	0.1091	0.1773	NA	0.1398	0.2386	NA
01651ac01a6d8f5ab55e823ecd4020b2	2.0406	5.2772	1.0176	2.0406	5.2772	0.1454	14.0374	36.302	NA	0.0072	5e-04	NA	0.0136	0.0034	NA
01748fb97de74d17bdb942aeaa74a1aa	3.7004	1.8403	3.2002	3.7004	1.8403	0.4572	8.0942	4.0253	NA	0.0249	0.0848	NA	0.0379	0.1276	NA
01802ecadc281120b3394531f9b5bcc6	1.8442	1.7125	3.4736	1.8442	1.7125	0.4962	3.7164	3.451	NA	0.0952	0.1056	NA	0.124	0.1537	NA
018166381b3825f4433929cd661c73b1	0.5916	4e-04	0.7126	0.5916	4e-04	0.1018	5.8115	0.0035	NA	0.0467	0.9542	NA	0.0659	0.962	NA
01b59402bea919155f2b72585914dc28	2.5399	0.0019	1.1484	2.5399	0.0019	0.1641	15.4823	0.0118	NA	0.0056	0.9164	NA	0.0111	0.9301	NA
01ba5a538d3091e6f291367ab4c114de	5.6958	1.1311	6.1917	5.6958	1.1311	0.8845	6.4394	1.2788	NA	0.0388	0.2954	NA	0.0559	0.3649	NA
01bea577aa60b2f19561a6239f841214	9.8643	5.0336	0.7599	9.8643	5.0336	0.1086	90.8671	46.3681	NA	0	3e-04	NA	3e-04	0.0022	NA
01ec87fc65833175cd78632f91b9c013	1.2889	2.7967	2.1509	1.2889	2.7967	0.3073	4.1947	9.1018	NA	0.0798	0.0195	NA	0.1057	0.0384	NA
01eeb07eabe250603ae069b7c9a1b78a	10.2352	4.9149	0.6452	10.2352	4.9149	0.0922	111.0411	53.3219	NA	0	2e-04	NA	2e-04	0.0017	NA
021b2869c2627d813d2146e5a70b97da	0.2258	0.1606	1.5906	0.2258	0.1606	0.2272	0.9937	0.7067	NA	0.352	0.4283	NA	0.395	0.497	NA
022ffb62b99d7950cce0c04b7db390a5	5.5691	0.2583	3.0947	5.5691	0.2583	0.4421	12.5968	0.5843	NA	0.0094	0.4696	NA	0.0167	0.5379	NA
0244cf9b127275065b7596de45620f3c	0.2189	0.5735	2.0866	0.2189	0.5735	0.2981	0.7345	1.9241	NA	0.4198	0.208	NA	0.4623	0.2714	NA
029ac96df8a3842cd51b0e24cb25d147	18.1656	0.0032	4.2098	18.1656	0.0032	0.6014	30.2056	0.0053	NA	9e-04	0.944	NA	0.0027	0.953	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	3.0459	1.3295	0.8711	3.0459	1.3295	0.1244	24.4772	10.6843	NA	0.0017	0.0137	NA	0.0042	0.0294	NA
02b33d576f65cc2a7b11d181440278fe	4.5896	11.9222	0.1657	4.5896	11.9222	0.0237	193.8397	503.5326	NA	0	0	NA	1e-04	1e-04	NA
02c5ba36522584f868e4d3548c1e02af	6.9042	0.1275	1.1425	6.9042	0.1275	0.1632	42.2996	0.781	NA	3e-04	0.4062	NA	0.0013	0.4743	NA
02d5baf4915b88cd26c96b95b5015208	6.2587	1.1697	0.9501	6.2587	1.1697	0.1357	46.1141	8.6186	NA	3e-04	0.0218	NA	0.0011	0.0421	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	1.7039	10.4182	8.6929	1.7039	10.4182	1.2418	1.372	8.3893	NA	0.2798	0.0231	NA	0.3239	0.044	NA
0308e44d8c5c89fef7d2aa63090a9a8c	25.1545	0.7984	5.5719	25.1545	0.7984	0.796	31.6016	1.003	NA	8e-04	0.3499	NA	0.0025	0.4194	NA
0316f5eb4d9b051e65b40cebf08edbba	0.1033	1.0589	2.1375	0.1033	1.0589	0.3054	0.3383	3.4678	NA	0.5791	0.1049	NA	0.6165	0.1531	NA
033d19faa0ce86082c0215df5bffbdb5	2.6467	0.7124	0.8407	2.6467	0.7124	0.1201	22.0373	5.9316	NA	0.0022	0.0451	NA	0.0053	0.0761	NA
03522a86e8b54bd9508023e65e04dfd1	1.6139	3.1951	1.0333	1.6139	3.1951	0.1476	10.9338	21.6453	NA	0.013	0.0023	NA	0.0218	0.0082	NA
03576e58e1c6ff8ce50c0fadbbf4860b	5.4463	17.2188	8.6323	5.4463	17.2188	1.2332	4.4165	13.9629	NA	0.0737	0.0073	NA	0.0988	0.0183	NA
035ad00cb4268363afb29c9db102e959	1.4427	3.404	0.7098	1.4427	3.404	0.1014	14.2267	33.5687	NA	0.007	7e-04	NA	0.0132	0.0038	NA
0362c5f6815777388ea02ff51947c85e	14.2343	0.1696	1.0878	14.2343	0.1696	0.1554	91.5957	1.0913	NA	0	0.3309	NA	3e-04	0.4015	NA
0366632c1fdcf16e8c7b8699f543b6a6	9.8618	0.2095	1.7898	9.8618	0.2095	0.2557	38.5694	0.8193	NA	4e-04	0.3955	NA	0.0016	0.4656	NA
036fd95372a59cb54c18db11e833a6e5	0.2075	3.2069	4.256	0.2075	3.2069	0.608	0.3413	5.2745	NA	0.5774	0.0553	NA	0.6153	0.0899	NA
