treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	2.8326	0.0016	0.5507	2.8326	0.0016	0.0787	36.0075	0.0204	NA	5e-04	0.8904	NA	0.0016	0.9102	NA
002707428636a815354367f102120956	0.0748	9.8604	5.7236	0.0748	9.8604	0.8177	0.0914	12.0593	NA	0.7711	0.0104	NA	0.794	0.0228	NA
002f1a45b5c69d673731dd633504a01e	2.2317	24.9815	0.4355	2.2317	24.9815	0.0622	35.8732	401.5649	NA	5e-04	0	NA	0.0016	1e-04	NA
00361d4ec0f6bc9593b3365b7718c95b	22.7694	0.1136	2.0034	22.7694	0.1136	0.2862	79.5561	0.3969	NA	0	0.5487	NA	3e-04	0.6116	NA
0036d59b9c2c58b22fd5945b4aa3f348	15.6224	0.2062	1.5592	15.6224	0.2062	0.2227	70.1375	0.9258	NA	1e-04	0.368	NA	4e-04	0.4374	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.2725	1.3045	3.76	0.2725	1.3045	0.5371	0.5072	2.4285	NA	0.4994	0.1631	NA	0.5381	0.2195	NA
005e34772346d65b74ff2f90ea4ec0ee	11.2871	0.3263	0.7757	11.2871	0.3263	0.1108	101.8546	2.9447	NA	0	0.1299	NA	2e-04	0.1818	NA
008277a5fd42cb04f88c34a26df200ce	1.8003	0.7196	0.7922	1.8003	0.7196	0.1132	15.9072	6.3586	NA	0.0053	0.0397	NA	0.0097	0.0673	NA
00b05a391e262ebf75433a5901c94f69	11.1173	2.6622	0.4131	11.1173	2.6622	0.059	188.3698	45.1072	NA	0	3e-04	NA	1e-04	0.0017	NA
00b65cc09893d47765ac0925658ae35e	5.4673	1.8427	0.165	5.4673	1.8427	0.0236	231.9859	78.1892	NA	0	0	NA	0	7e-04	NA
00c799f63b8289b2b606e7f2e056cf59	3.4481	0.4194	0.3917	3.4481	0.4194	0.056	61.6133	7.4941	NA	1e-04	0.029	NA	5e-04	0.0521	NA
0104f91f1cc33e553be3bfc68a517ce7	14.4712	2.2091	0.7932	14.4712	2.2091	0.1133	127.7077	19.4955	NA	0	0.0031	NA	1e-04	0.0088	NA
010f0a7d84a28949c78be5930457dabc	3e-04	0.3715	1.0792	3e-04	0.3715	0.1542	0.0018	2.4097	NA	0.967	0.1645	NA	0.9696	0.221	NA
0141cc500b9cfd472681696cfe8f2eb1	6.589	11.1482	0.7708	6.589	11.1482	0.1101	59.8358	101.238	NA	1e-04	0	NA	6e-04	5e-04	NA
014e0244ce0227c40879daa0bae73ee2	3.6285	7.8286	3.8657	3.6285	7.8286	0.5522	6.5705	14.1762	NA	0.0374	0.007	NA	0.0516	0.0168	NA
016131c962c5b8b9fa691ffd928a7ad7	5.5963	2.6147	0.7956	5.5963	2.6147	0.1137	49.2398	23.0055	NA	2e-04	0.002	NA	8e-04	0.0063	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.6332	6.6078	1.1962	3.6332	6.6078	0.1709	21.2606	38.6672	NA	0.0025	4e-04	NA	0.0052	0.0023	NA
01748fb97de74d17bdb942aeaa74a1aa	0.5478	5.0239	4.1899	0.5478	5.0239	0.5986	0.9152	8.3934	NA	0.3706	0.0231	NA	0.41	0.043	NA
01802ecadc281120b3394531f9b5bcc6	4.5197	0.4593	3.7282	4.5197	0.4593	0.5326	8.4862	0.8624	NA	0.0226	0.384	NA	0.033	0.4519	NA
018166381b3825f4433929cd661c73b1	0.2339	0.4309	0.5687	0.2339	0.4309	0.0812	2.8784	5.3038	NA	0.1336	0.0547	NA	0.1631	0.0879	NA
01ba5a538d3091e6f291367ab4c114de	7.6541	0.1086	4.508	7.6541	0.1086	0.644	11.8853	0.1687	NA	0.0107	0.6936	NA	0.0174	0.7431	NA
01bea577aa60b2f19561a6239f841214	10.1478	1.6941	0.7854	10.1478	1.6941	0.1122	90.4408	15.0986	NA	0	0.006	NA	2e-04	0.0148	NA
01ec87fc65833175cd78632f91b9c013	1.2627	1.8502	2.6447	1.2627	1.8502	0.3778	3.3422	4.8971	NA	0.1102	0.0625	NA	0.1368	0.0976	NA
01eeb07eabe250603ae069b7c9a1b78a	13.4578	6.0127	0.6074	13.4578	6.0127	0.0868	155.0871	69.2898	NA	0	1e-04	NA	1e-04	9e-04	NA
021b2869c2627d813d2146e5a70b97da	0.6084	1.3038	1.5261	0.6084	1.3038	0.218	2.7906	5.9802	NA	0.1387	0.0444	NA	0.1689	0.0735	NA
022ffb62b99d7950cce0c04b7db390a5	6.7596	2.8512	3.3089	6.7596	2.8512	0.4727	14.3002	6.0318	NA	0.0069	0.0437	NA	0.0121	0.0724	NA
029ac96df8a3842cd51b0e24cb25d147	15.7657	24.7621	2.4492	15.7657	24.7621	0.3499	45.0591	70.7712	NA	3e-04	1e-04	NA	0.001	8e-04	NA
02a0cf41fc307b0bf084a940a0245da0	15.5296	0.0047	0.632	15.5296	0.0047	0.0903	172.0179	0.0516	NA	0	0.8269	NA	1e-04	0.8597	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	6.3573	0.0746	0.6677	6.3573	0.0746	0.0954	66.6451	0.7825	NA	1e-04	0.4057	NA	4e-04	0.4753	NA
02b33d576f65cc2a7b11d181440278fe	6.1218	0.7735	0.3307	6.1218	0.7735	0.0472	129.5945	16.3744	NA	0	0.0049	NA	1e-04	0.0126	NA
02c5ba36522584f868e4d3548c1e02af	7.5099	2.7586	0.5932	7.5099	2.7586	0.0847	88.622	32.5529	NA	0	7e-04	NA	3e-04	0.0032	NA
02d5baf4915b88cd26c96b95b5015208	7.8255	0.8762	0.8709	7.8255	0.8762	0.1244	62.8987	7.0422	NA	1e-04	0.0328	NA	5e-04	0.0572	NA
02de9d9c220bb2b88a240926da4a39e9	14.0486	1.7832	1.2338	14.0486	1.7832	0.1763	79.7082	10.1175	NA	0	0.0155	NA	3e-04	0.0311	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	5.1466	1.2977	5.6995	5.1466	1.2977	0.8142	6.321	1.5938	NA	0.0402	0.2472	NA	0.0548	0.3113	NA
0308e44d8c5c89fef7d2aa63090a9a8c	12.2463	9.8901	8.2888	12.2463	9.8901	1.1841	10.3422	8.3524	NA	0.0147	0.0233	NA	0.0227	0.0433	NA
0316f5eb4d9b051e65b40cebf08edbba	0.1806	12.0571	1.9096	0.1806	12.0571	0.2728	0.6619	44.1986	NA	0.4427	3e-04	NA	0.4833	0.0018	NA
033d19faa0ce86082c0215df5bffbdb5	4.2478	0.0876	0.7028	4.2478	0.0876	0.1004	42.31	0.8724	NA	3e-04	0.3814	NA	0.0011	0.4502	NA
03522a86e8b54bd9508023e65e04dfd1	4.1375	5.0116	1.288	4.1375	5.0116	0.184	22.4864	27.2373	NA	0.0021	0.0012	NA	0.0046	0.0044	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.1558	2.8873	0.7895	0.1558	2.8873	0.1128	1.3815	25.599	NA	0.2783	0.0015	NA	0.3158	0.005	NA
