treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	7.583	1.6258	0.8095	7.583	1.6258	0.1012	74.9428	16.0673	NA	0	0.0039	NA	2e-04	0.0152	NA
0051ee453ff489fa79b20379bcc79b6b	2.5197	1.5042	1.8725	2.5197	1.5042	0.2341	10.7652	6.4264	NA	0.0112	0.035	NA	0.0198	0.0746	NA
00539cb2af8b7b06ee1279130fa2f307	7.8496	7.7155	1.4207	7.8496	7.7155	0.1776	44.2024	43.4475	NA	2e-04	2e-04	NA	7e-04	0.0023	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0147	15.9009	2.3124	0.0147	15.9009	0.2891	0.051	55.0107	NA	0.8271	1e-04	NA	0.8468	0.0014	NA
0092362bbf11972deda26d5b9e919f85	10.3217	1.7045	0.6434	10.3217	1.7045	0.0804	128.3332	21.1922	NA	0	0.0017	NA	0	0.0093	NA
00a550b3fa43f178639afb2a02540b16	3.3376	0.5421	1.9528	3.3376	0.5421	0.2441	13.6727	2.221	NA	0.0061	0.1745	NA	0.0117	0.2551	NA
00c4a692e67b1c93a289ffcae447cfcf	5.5199	1.1333	1.3318	5.5199	1.1333	0.1665	33.1578	6.8074	NA	4e-04	0.0312	NA	0.0014	0.0688	NA
00c6a28930e3eafc29b6cf8827820e4c	2.0622	0.154	2.5655	2.0622	0.154	0.3207	6.4303	0.4801	NA	0.0349	0.508	NA	0.0522	0.6001	NA
00cee8684ccbb62fce87c20103b8aed2	2.3406	1.5143	1.2738	2.3406	1.5143	0.1592	14.6997	9.5104	NA	0.005	0.015	NA	0.01	0.0401	NA
0112c347c6def14a99ba74cd77bfc94d	9.281	0.0448	1.4041	9.281	0.0448	0.1755	52.8812	0.2553	NA	1e-04	0.627	NA	4e-04	0.7059	NA
011b116b1e264e2cde7ec36aa569ad7c	11.4005	6.2226	1.6395	11.4005	6.2226	0.2049	55.6292	30.3634	NA	1e-04	6e-04	NA	4e-04	0.0048	NA
0127000197e26a049598b4a6d0225ba2	4.684	0.0811	1.5947	4.684	0.0811	0.1993	23.4973	0.407	NA	0.0013	0.5413	NA	0.0034	0.6288	NA
013c9c13c8d7029019462bef0627adba	6.9388	0.3794	1.0864	6.9388	0.3794	0.1358	51.0972	2.7937	NA	1e-04	0.1332	NA	5e-04	0.2084	NA
01524ceb0052552ad3c425bf777b0b3a	4.1109	0.0122	1.2742	4.1109	0.0122	0.1593	25.8094	0.0767	NA	0.001	0.7889	NA	0.0027	0.8401	NA
017a60cbade7b309db182bcabe59d6a4	6.6831	5.99	6.5076	6.6831	5.99	0.8134	8.2157	7.3637	NA	0.0209	0.0265	NA	0.0333	0.0609	NA
017d459400583fe36857c77a1d541f39	4.7761	16.1145	1.428	4.7761	16.1145	0.1785	26.7563	90.2758	NA	9e-04	0	NA	0.0024	5e-04	NA
