treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	4.8936	0.0271	1.3055	4.8936	0.0271	0.1451	33.7356	0.187	NA	3e-04	0.6756	NA	8e-04	0.7229	NA
0051ee453ff489fa79b20379bcc79b6b	2.0799	1.1525	0.9351	2.0799	1.1525	0.1039	20.0182	11.0926	NA	0.0015	0.0088	NA	0.0033	0.0178	NA
00539cb2af8b7b06ee1279130fa2f307	9.4879	9.7056	0.7331	9.4879	9.7056	0.0815	116.4725	119.1448	NA	0	0	NA	1e-04	0	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0984	7.8978	3.5475	0.0984	7.8978	0.3942	0.2498	20.0367	NA	0.6292	0.0015	NA	0.6598	0.0045	NA
00823592d773ca77be3da202ae020b29	2.1746	0.1021	1.1399	2.1746	0.1021	0.1267	17.1697	0.8059	NA	0.0025	0.3927	NA	0.0048	0.4498	NA
0092362bbf11972deda26d5b9e919f85	6.5349	28.7088	2.5256	6.5349	28.7088	0.2806	23.2872	102.3049	NA	9e-04	0	NA	0.0022	1e-04	NA
00a550b3fa43f178639afb2a02540b16	6.4309	4.4005	1.9532	6.4309	4.4005	0.217	29.6331	20.277	NA	4e-04	0.0015	NA	0.0012	0.0044	NA
00c4a692e67b1c93a289ffcae447cfcf	6.2996	0.7661	1.4507	6.2996	0.7661	0.1612	39.0817	4.7528	NA	1e-04	0.0572	NA	6e-04	0.0841	NA
00c6a28930e3eafc29b6cf8827820e4c	2.2544	20.2163	2.5385	2.2544	20.2163	0.2821	7.9931	71.6761	NA	0.0198	0	NA	0.0288	2e-04	NA
00cee8684ccbb62fce87c20103b8aed2	2.7725	8.7021	0.8691	2.7725	8.7021	0.0966	28.7093	90.1111	NA	5e-04	0	NA	0.0013	1e-04	NA
0112c347c6def14a99ba74cd77bfc94d	8.71	0.8392	1.756	8.71	0.8392	0.1951	44.6404	4.3009	NA	1e-04	0.0679	NA	4e-04	0.0978	NA
011b116b1e264e2cde7ec36aa569ad7c	7.247	11.5171	0.8067	7.247	11.5171	0.0896	80.8514	128.4915	NA	0	0	NA	1e-04	0	NA
0127000197e26a049598b4a6d0225ba2	5.8558	0.2608	1.5726	5.8558	0.2608	0.1747	33.5119	1.4926	NA	3e-04	0.2528	NA	9e-04	0.3047	NA
013c9c13c8d7029019462bef0627adba	2.8167	9.0991	3.3305	2.8167	9.0991	0.3701	7.6116	24.5885	NA	0.0222	8e-04	NA	0.032	0.0027	NA
01524ceb0052552ad3c425bf777b0b3a	2.5306	0.607	1.8165	2.5306	0.607	0.2018	12.538	3.0073	NA	0.0063	0.1169	NA	0.0107	0.1559	NA
01525c063123cb2134c64e84ad1e2118	5.3002	3.3742	1.932	5.3002	3.3742	0.2147	24.69	15.718	NA	8e-04	0.0033	NA	0.0019	0.0081	NA
0160f5a856b526939ba1062b1cc9df76	6.2653	4.7077	0.5103	6.2653	4.7077	0.0567	110.5018	83.0294	NA	0	0	NA	1e-04	1e-04	NA
017a60cbade7b309db182bcabe59d6a4	1.3896	0.207	1.6685	1.3896	0.207	0.1854	7.4953	1.1165	NA	0.0229	0.3182	NA	0.0329	0.3739	NA
018de0ee05bc68de9383baf688539f9f	7.7425	0.0865	0.6945	7.7425	0.0865	0.0772	100.3332	1.1211	NA	0	0.3173	NA	1e-04	0.373	NA
019ee757485f09fa0c7881843036a765	0.0953	0.5069	2.6497	0.0953	0.5069	0.2944	0.3238	1.7218	NA	0.5833	0.2219	NA	0.6153	0.2722	NA
019f94720ba42ef1861b87fc58cdd3de	3.0962	12.2266	3.8671	3.0962	12.2266	0.4297	7.2058	28.4554	NA	0.025	5e-04	NA	0.0354	0.0018	NA
01ac16555e036cea2ece2a239591aae6	4.9589	1.8898	1.0393	4.9589	1.8898	0.1155	42.944	16.366	NA	1e-04	0.0029	NA	5e-04	0.0074	NA
