treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	2.9521	1.1239	2.4007	2.9521	1.1239	0.2667	11.0675	4.2134	NA	0.0088	0.0703	NA	0.0136	0.097	NA
0032aede248babc5516f057b3bcd4409	4.5453	3.3868	3.3825	4.5453	3.3868	0.3758	12.0939	9.0115	NA	0.007	0.0149	NA	0.011	0.0255	NA
0051ee453ff489fa79b20379bcc79b6b	3.6427	2.3774	0.9746	3.6427	2.3774	0.1083	33.6371	21.9531	NA	3e-04	0.0011	NA	7e-04	0.003	NA
00539cb2af8b7b06ee1279130fa2f307	7.3532	7.3257	0.764	7.3532	7.3257	0.0849	86.6183	86.2952	NA	0	0	NA	1e-04	1e-04	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0756	10.6363	10.9726	0.0756	10.6363	1.2192	0.062	8.7242	NA	0.809	0.0161	NA	0.8312	0.0273	NA
00823592d773ca77be3da202ae020b29	0.6072	2.3436	1.7288	0.6072	2.3436	0.1921	3.1612	12.2008	NA	0.1091	0.0068	NA	0.1305	0.0131	NA
0092362bbf11972deda26d5b9e919f85	13.6326	6.404	0.9002	13.6326	6.404	0.1	136.2962	64.0259	NA	0	0	NA	0	2e-04	NA
00c4a692e67b1c93a289ffcae447cfcf	3.7141	0.9313	1.0876	3.7141	0.9313	0.1208	30.7351	7.7066	NA	4e-04	0.0215	NA	9e-04	0.0349	NA
00c6a28930e3eafc29b6cf8827820e4c	2.5332	1.6615	2.6401	2.5332	1.6615	0.2933	8.6355	5.6641	NA	0.0165	0.0412	NA	0.0238	0.0608	NA
00cee8684ccbb62fce87c20103b8aed2	5.9477	10.998	1.4771	5.9477	10.998	0.1641	36.2392	67.011	NA	2e-04	0	NA	6e-04	2e-04	NA
0112c347c6def14a99ba74cd77bfc94d	8.3152	3.5152	1.7877	8.3152	3.5152	0.1986	41.8625	17.6972	NA	1e-04	0.0023	NA	4e-04	0.0052	NA
011b116b1e264e2cde7ec36aa569ad7c	14.1851	7.3807	1.2581	14.1851	7.3807	0.1398	101.4774	52.8002	NA	0	0	NA	0	3e-04	NA
0127000197e26a049598b4a6d0225ba2	3.0399	3.3973	5.5674	3.0399	3.3973	0.6186	4.9141	5.4919	NA	0.0538	0.0438	NA	0.0691	0.064	NA
013c9c13c8d7029019462bef0627adba	7.6278	1.5868	1.1458	7.6278	1.5868	0.1273	59.9131	12.4636	NA	0	0.0064	NA	1e-04	0.0124	NA
01524ceb0052552ad3c425bf777b0b3a	6.1131	0.9378	1.1997	6.1131	0.9378	0.1333	45.8612	7.0354	NA	1e-04	0.0264	NA	3e-04	0.0416	NA
01525c063123cb2134c64e84ad1e2118	4.0621	6.2442	1.0436	4.0621	6.2442	0.116	35.031	53.8489	NA	2e-04	0	NA	6e-04	3e-04	NA
0160f5a856b526939ba1062b1cc9df76	7.0295	9.7681	0.6776	7.0295	9.7681	0.0753	93.364	129.736	NA	0	0	NA	0	0	NA
017a60cbade7b309db182bcabe59d6a4	3.7354	1.9835	7.8819	3.7354	1.9835	0.8758	4.2653	2.2649	NA	0.0689	0.1666	NA	0.0862	0.2077	NA
017d459400583fe36857c77a1d541f39	10.241	14.6295	1.9405	10.241	14.6295	0.2156	47.4964	67.8498	NA	1e-04	0	NA	3e-04	2e-04	NA
018de0ee05bc68de9383baf688539f9f	11.1714	0.1951	0.6419	11.1714	0.1951	0.0713	156.6435	2.7362	NA	0	0.1325	NA	0	0.1694	NA
01ac16555e036cea2ece2a239591aae6	6.4566	1.5252	1.8061	6.4566	1.5252	0.2007	32.1748	7.6004	NA	3e-04	0.0222	NA	8e-04	0.0358	NA
01e013346904f75a91f713c559585ff7	1.8104	10.7869	1.4825	1.8104	10.7869	0.1647	10.9905	65.4836	NA	0.009	0	NA	0.0139	2e-04	NA
01e7154d4b5f3188595e288aeab7f7a0	9.9683	6.6137	2.1752	9.9683	6.6137	0.2417	41.2436	27.3638	NA	1e-04	5e-04	NA	4e-04	0.0017	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.5183	2.2172	1.1732	4.5183	2.2172	0.1304	34.6599	17.0083	NA	2e-04	0.0026	NA	6e-04	0.0058	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.7873	30.3756	1.5766	0.7873	30.3756	0.1752	4.494	173.3944	NA	0.063	0	NA	0.0795	0	NA
0202a0b2dfad6a6e5b225afdddaf5729	2.0305	2.3045	1.3807	2.0305	2.3045	0.1534	13.2354	15.0215	NA	0.0054	0.0038	NA	0.0088	0.0079	NA
02104476719f02b32307edfdb1e6a0c4	5.9287	0.2482	1.1165	5.9287	0.2482	0.1241	47.7922	2.0007	NA	1e-04	0.1909	NA	3e-04	0.2337	NA
022b87e073ba519506a6d0d9dac1bba1	14.9007	0.3751	0.9305	14.9007	0.3751	0.1034	144.1284	3.6277	NA	0	0.0892	NA	0	0.1191	NA
023ba7a7b10d718c663d5207c4f61f07	0.2949	3.0501	2.8436	0.2949	3.0501	0.316	0.9334	9.6533	NA	0.3592	0.0126	NA	0.3961	0.0221	NA
026f6d9d6a5c591d5465aaeddf6222f1	13.5379	1.5116	2.3625	13.5379	1.5116	0.2625	51.5721	5.7583	NA	1e-04	0.0399	NA	2e-04	0.0592	NA
028a375a3a51f2d5d05b85cf4ef10890	5.5478	2.7606	1.0348	5.5478	2.7606	0.115	48.2536	24.0108	NA	1e-04	8e-04	NA	3e-04	0.0024	NA
02a63d174c8502c109303db99cf1e437	5.2074	4.0305	0.7653	5.2074	4.0305	0.085	61.2379	47.3982	NA	0	1e-04	NA	1e-04	4e-04	NA
02adf979cb3500c39977fffbf7d2a048	6.3862	2.8664	1.5757	6.3862	2.8664	0.1751	36.475	16.3719	NA	2e-04	0.0029	NA	6e-04	0.0063	NA
02c19d40dee2d87c409a2e2f7b713d7f	5.9913	0.3114	1.3807	5.9913	0.3114	0.1534	39.0536	2.0301	NA	1e-04	0.188	NA	5e-04	0.2306	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	26.5212	0.4847	2.3	26.5212	0.4847	0.2556	103.7779	1.8968	NA	0	0.2017	NA	0	0.2459	NA
02f7b0f943947c68160210ebf8af9e7d	6.1061	1.7493	1.5655	6.1061	1.7493	0.1739	35.1049	10.0569	NA	2e-04	0.0113	NA	6e-04	0.0201	NA
03202b02066380ba1d7fadbf07ec658a	0.159	13.433	1.0481	0.159	13.433	0.1165	1.3658	115.3519	NA	0.2726	0	NA	0.3059	1e-04	NA
03734cd02763530410103ffac1802bfc	23.2516	0.7786	3.2016	23.2516	0.7786	0.3557	65.363	2.1887	NA	0	0.1732	NA	1e-04	0.2143	NA
0381b98525605c48d762e395044ca5b2	12.1936	2.0472	0.8056	12.1936	2.0472	0.0895	136.2237	22.8712	NA	0	0.001	NA	0	0.0027	NA
03dbe23a9e8b7382924fd20ec95338af	3.5216	0.0228	0.9388	3.5216	0.0228	0.1043	33.7604	0.219	NA	3e-04	0.6509	NA	7e-04	0.6894	NA
03e263884fc71d9f491555f67c1f630d	2.718	4.7494	1.1915	2.718	4.7494	0.1324	20.5309	35.8755	NA	0.0014	2e-04	NA	0.0028	8e-04	NA
03f86a1233871340db1328f6fc35aff1	9.1774	0.0897	1.3995	9.1774	0.0897	0.1555	59.0187	0.577	NA	0	0.4669	NA	1e-04	0.5176	NA
03f8d34575dc20b78b31c3c1177379b9	6.7347	16.8685	3.0977	6.7347	16.8685	0.3442	19.567	49.0098	NA	0.0017	1e-04	NA	0.0032	3e-04	NA
040ffbbb2858152fe7b1bfe2be12eebb	4.5893	10.94	2.0612	4.5893	10.94	0.229	20.038	47.767	NA	0.0015	1e-04	NA	0.003	4e-04	NA
041c4b843dce3deada3d6b1daf849177	20.3624	2.1999	1.3892	20.3624	2.1999	0.1544	131.9229	14.2527	NA	0	0.0044	NA	0	0.009	NA
04270753eac3e84e5b3f45e5131fd1e7	0.2459	4.571	0.461	0.2459	4.571	0.0512	4.8001	89.2425	NA	0.0562	0	NA	0.0717	1e-04	NA
042e4f8f55c4d2dc78a925fa1fe5b112	4.1097	6.8711	5.6158	4.1097	6.8711	0.624	6.5863	11.0118	NA	0.0304	0.009	NA	0.041	0.0164	NA
042f95fd86a3be60cda5e0a13e76be0c	2.5731	8.2131	0.8465	2.5731	8.2131	0.0941	27.3562	87.3195	NA	5e-04	0	NA	0.0013	1e-04	NA
04356242a8d119e65547c999cf90c0a1	0.0084	4.9447	2.5502	0.0084	4.9447	0.2834	0.0295	17.4505	NA	0.8675	0.0024	NA	0.882	0.0054	NA
04731e32cb646050ab7f27f284c04106	0.2228	0.4617	13.1515	0.2228	0.4617	1.4613	0.1525	0.316	NA	0.7053	0.5878	NA	0.7356	0.6306	NA
0495aca4ee75b03118200f39e55de807	9.8979	8.1802	1.2004	9.8979	8.1802	0.1334	74.2085	61.3304	NA	0	0	NA	1e-04	2e-04	NA
0496149b2d1f183353cbf9189b7049e2	8.4266	8.2191	1.0967	8.4266	8.2191	0.1219	69.1531	67.4507	NA	0	0	NA	1e-04	2e-04	NA
04b93fa3ee523f9634c9c795a5f49e4b	8.2544	0.7261	3.4329	8.2544	0.7261	0.3814	21.6405	1.9035	NA	0.0012	0.201	NA	0.0024	0.2451	NA
04bd54b9e03f729a1a5670b1416e260b	6.4598	1.4127	1.2114	6.4598	1.4127	0.1346	47.993	10.4955	NA	1e-04	0.0102	NA	3e-04	0.0183	NA
