treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	6.8764	3.8462	1.1884	6.8764	3.8462	0.132	52.0751	29.1271	NA	0	4e-04	NA	2e-04	0.0025	NA
00539cb2af8b7b06ee1279130fa2f307	7.0893	1.3564	0.5128	7.0893	1.3564	0.057	124.4104	23.8028	NA	0	9e-04	NA	0	0.0041	NA
006c80037cfc5a276d7d1b8ef20cdccd	1.3459	8.9754	4.6564	1.3459	8.9754	0.5174	2.6014	17.3479	NA	0.1412	0.0024	NA	0.1667	0.0087	NA
0092362bbf11972deda26d5b9e919f85	10.063	0.8718	0.9355	10.063	0.8718	0.1039	96.8062	8.3869	NA	0	0.0177	NA	0	0.0398	NA
00cee8684ccbb62fce87c20103b8aed2	3.0876	1.2032	0.9855	3.0876	1.2032	0.1095	28.1972	10.9883	NA	5e-04	0.009	NA	0.0011	0.0234	NA
011b116b1e264e2cde7ec36aa569ad7c	9.3412	0.3584	0.5669	9.3412	0.3584	0.063	148.3064	5.6903	NA	0	0.0409	NA	0	0.0774	NA
013c9c13c8d7029019462bef0627adba	6.5432	1.4424	1.3243	6.5432	1.4424	0.1471	44.4692	9.8032	NA	1e-04	0.0121	NA	3e-04	0.0292	NA
01524ceb0052552ad3c425bf777b0b3a	2.693	3.3133	1.6883	2.693	3.3133	0.1876	14.3557	17.6623	NA	0.0043	0.0023	NA	0.0071	0.0084	NA
0160f5a856b526939ba1062b1cc9df76	4.7758	2.4554	0.2039	4.7758	2.4554	0.0227	210.7595	108.3603	NA	0	0	NA	0	1e-04	NA
017a60cbade7b309db182bcabe59d6a4	1.1776	14.7128	1.9147	1.1776	14.7128	0.2127	5.5355	69.1579	NA	0.0431	0	NA	0.0561	3e-04	NA
017d459400583fe36857c77a1d541f39	9.3996	6.1845	1.5606	9.3996	6.1845	0.1734	54.2093	35.6668	NA	0	2e-04	NA	2e-04	0.0015	NA
018de0ee05bc68de9383baf688539f9f	8.366	1.3007	0.8419	8.366	1.3007	0.0935	89.4286	13.9035	NA	0	0.0047	NA	0	0.0143	NA
019ee757485f09fa0c7881843036a765	0.1405	1.8745	2.6545	0.1405	1.8745	0.2949	0.4763	6.3555	NA	0.5075	0.0327	NA	0.5418	0.065	NA
019f94720ba42ef1861b87fc58cdd3de	2.0121	5.7933	3.5344	2.0121	5.7933	0.3927	5.1236	14.7521	NA	0.0499	0.004	NA	0.0641	0.0126	NA
01ac16555e036cea2ece2a239591aae6	5.4552	0.7457	0.978	5.4552	0.7457	0.1087	50.202	6.8621	NA	1e-04	0.0278	NA	2e-04	0.0574	NA
01e013346904f75a91f713c559585ff7	0.0922	20.5615	1.6917	0.0922	20.5615	0.188	0.4908	109.3908	NA	0.5013	0	NA	0.5361	1e-04	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.1382	0.0262	1.2803	3.1382	0.0262	0.1423	22.061	0.1844	NA	0.0011	0.6778	NA	0.0022	0.748	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.276	5.354	1.469	0.276	5.354	0.1632	1.6911	32.8021	NA	0.2258	3e-04	NA	0.2562	0.0019	NA
02104476719f02b32307edfdb1e6a0c4	8.4661	0.0027	0.8794	8.4661	0.0027	0.0977	86.6449	0.028	NA	0	0.8708	NA	0	0.9046	NA
022b87e073ba519506a6d0d9dac1bba1	16.161	0.1945	0.6824	16.161	0.1945	0.0758	213.1394	2.5648	NA	0	0.1437	NA	0	0.2115	NA
028a375a3a51f2d5d05b85cf4ef10890	4.2546	0.5781	1.2702	4.2546	0.5781	0.1411	30.1458	4.0963	NA	4e-04	0.0737	NA	9e-04	0.1248	NA
02a63d174c8502c109303db99cf1e437	4.8197	2.3175	1.1946	4.8197	2.3175	0.1327	36.3115	17.4601	NA	2e-04	0.0024	NA	5e-04	0.0086	NA
02adf979cb3500c39977fffbf7d2a048	3.5903	7.8292	2.7674	3.5903	7.8292	0.3075	11.6764	25.4622	NA	0.0077	7e-04	NA	0.0118	0.0036	NA
02c19d40dee2d87c409a2e2f7b713d7f	2.1295	0.0342	2.7466	2.1295	0.0342	0.3052	6.9779	0.112	NA	0.0268	0.7456	NA	0.0364	0.8047	NA
