treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	7.2004	3.4897	2.6914	7.2004	3.4897	0.299	24.0781	11.6696	NA	8e-04	0.0077	NA	0.0024	0.0318	NA
0051ee453ff489fa79b20379bcc79b6b	3.0644	1.3582	2.383	3.0644	1.3582	0.2648	11.5733	5.1295	NA	0.0078	0.0498	NA	0.014	0.1187	NA
00539cb2af8b7b06ee1279130fa2f307	8.8947	4.582	1.5423	8.8947	4.582	0.1714	51.9042	26.7378	NA	1e-04	6e-04	NA	3e-04	0.0061	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.1089	1.7041	4.3237	0.1089	1.7041	0.4804	0.2266	3.5471	NA	0.6454	0.0923	NA	0.6783	0.1821	NA
00823592d773ca77be3da202ae020b29	3.7701	0.5378	3.6925	3.7701	0.5378	0.4103	9.1892	1.3109	NA	0.0142	0.2818	NA	0.0229	0.4153	NA
0092362bbf11972deda26d5b9e919f85	15.3027	5.0749	0.79	15.3027	5.0749	0.0878	174.3398	57.8175	NA	0	0	NA	0	0.001	NA
00a550b3fa43f178639afb2a02540b16	0.5701	5.6668	9.5663	0.5701	5.6668	1.0629	0.5364	5.3313	NA	0.4826	0.0463	NA	0.5245	0.113	NA
00cee8684ccbb62fce87c20103b8aed2	6.2519	0.1118	2.2493	6.2519	0.1118	0.2499	25.0153	0.4472	NA	7e-04	0.5204	NA	0.0022	0.6439	NA
0112c347c6def14a99ba74cd77bfc94d	8.5733	0.5664	2.1679	8.5733	0.5664	0.2409	35.5921	2.3514	NA	2e-04	0.1595	NA	8e-04	0.2735	NA
011b116b1e264e2cde7ec36aa569ad7c	12.0893	1.726	2.3896	12.0893	1.726	0.2655	45.5323	6.5006	NA	1e-04	0.0312	NA	4e-04	0.0854	NA
0127000197e26a049598b4a6d0225ba2	4.3444	0.0175	1.1773	4.3444	0.0175	0.1308	33.2108	0.1338	NA	3e-04	0.7229	NA	0.001	0.8053	NA
013c9c13c8d7029019462bef0627adba	6.4901	0.0367	3.0102	6.4901	0.0367	0.3345	19.404	0.1099	NA	0.0017	0.7479	NA	0.0042	0.8229	NA
01524ceb0052552ad3c425bf777b0b3a	6.2372	8.4911	1.5098	6.2372	8.4911	0.1678	37.1796	50.6145	NA	2e-04	1e-04	NA	7e-04	0.0014	NA
0160f5a856b526939ba1062b1cc9df76	7.0545	5.5901	1.5321	7.0545	5.5901	0.1702	41.4392	32.8369	NA	1e-04	3e-04	NA	6e-04	0.0039	NA
017a60cbade7b309db182bcabe59d6a4	9.4847	0.3287	10.9616	9.4847	0.3287	1.218	7.7874	0.2699	NA	0.021	0.6159	NA	0.0321	0.7266	NA
017d459400583fe36857c77a1d541f39	6.6563	42.0593	4.264	6.6563	42.0593	0.4738	14.0494	88.774	NA	0.0046	0	NA	0.0091	4e-04	NA
018de0ee05bc68de9383baf688539f9f	11.2868	0	0.3503	11.2868	0	0.0389	290.0042	4e-04	NA	0	0.9843	NA	0	0.9891	NA
019ee757485f09fa0c7881843036a765	1.0666	2.6597	3.5631	1.0666	2.6597	0.3959	2.694	6.718	NA	0.1351	0.0291	NA	0.1641	0.0811	NA
019f94720ba42ef1861b87fc58cdd3de	2.2739	0.1	8.7556	2.2739	0.1	0.9728	2.3374	0.1028	NA	0.1607	0.7558	NA	0.1916	0.8289	NA
01ac16555e036cea2ece2a239591aae6	5.5477	0.6175	1.4941	5.5477	0.6175	0.166	33.4179	3.7194	NA	3e-04	0.0859	NA	0.001	0.173	NA
01e013346904f75a91f713c559585ff7	1.9504	4.1239	6.9124	1.9504	4.1239	0.768	2.5395	5.3694	NA	0.1455	0.0457	NA	0.1754	0.1119	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.7654	0.0228	1.8024	4.7654	0.0228	0.2003	23.7951	0.1137	NA	9e-04	0.7437	NA	0.0025	0.8206	NA
02104476719f02b32307edfdb1e6a0c4	8.1804	0.1405	1.7036	8.1804	0.1405	0.1893	43.2159	0.7422	NA	1e-04	0.4113	NA	5e-04	0.5469	NA
022b87e073ba519506a6d0d9dac1bba1	14.6876	0.3711	1.5957	14.6876	0.3711	0.1773	82.8421	2.0931	NA	0	0.1819	NA	1e-04	0.3002	NA
026f6d9d6a5c591d5465aaeddf6222f1	14.2025	3.5288	2.743	14.2025	3.5288	0.3048	46.599	11.5783	NA	1e-04	0.0078	NA	4e-04	0.0322	NA
028a375a3a51f2d5d05b85cf4ef10890	5.7317	1.7132	1.9011	5.7317	1.7132	0.2112	27.1346	8.1107	NA	6e-04	0.0192	NA	0.0018	0.0602	NA
02a63d174c8502c109303db99cf1e437	6.6665	0.6832	1.4529	6.6665	0.6832	0.1614	41.2965	4.2319	NA	1e-04	0.0698	NA	6e-04	0.1482	NA
