treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	6.3725	0.0238	0.8402	6.3725	0.0238	0.0934	68.2564	0.2545	NA	0	0.6261	NA	1e-04	0.6597	NA
0032aede248babc5516f057b3bcd4409	1.43	0.5867	1.5187	1.43	0.5867	0.1687	8.4743	3.477	NA	0.0173	0.0951	NA	0.024	0.1201	NA
0051ee453ff489fa79b20379bcc79b6b	2.7858	6.1954	0.738	2.7858	6.1954	0.082	33.9748	75.5588	NA	3e-04	0	NA	6e-04	1e-04	NA
00539cb2af8b7b06ee1279130fa2f307	11.1122	6.5437	0.8088	11.1122	6.5437	0.0899	123.6508	72.8143	NA	0	0	NA	0	1e-04	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.1239	10.2491	2.128	0.1239	10.2491	0.2364	0.5242	43.347	NA	0.4874	1e-04	NA	0.5226	3e-04	NA
00823592d773ca77be3da202ae020b29	2.7051	5.826	1.1449	2.7051	5.826	0.1272	21.2648	45.7982	NA	0.0013	1e-04	NA	0.0023	3e-04	NA
0092362bbf11972deda26d5b9e919f85	12.6185	10.9492	1.5391	12.6185	10.9492	0.171	73.7897	64.028	NA	0	0	NA	1e-04	1e-04	NA
00a550b3fa43f178639afb2a02540b16	10.4463	2.9647	2.5569	10.4463	2.9647	0.2841	36.7698	10.4353	NA	2e-04	0.0103	NA	5e-04	0.0164	NA
00c4a692e67b1c93a289ffcae447cfcf	9.375	0.4789	2.1856	9.375	0.4789	0.2428	38.6056	1.9719	NA	2e-04	0.1938	NA	4e-04	0.2284	NA
00c6a28930e3eafc29b6cf8827820e4c	0.2198	6.7418	4.3139	0.2198	6.7418	0.4793	0.4585	14.0652	NA	0.5154	0.0046	NA	0.5486	0.0079	NA
00cee8684ccbb62fce87c20103b8aed2	6.1273	15.5399	1.2181	6.1273	15.5399	0.1353	45.2717	114.8165	NA	1e-04	0	NA	2e-04	0	NA
0112c347c6def14a99ba74cd77bfc94d	11.7163	4.0169	1.0119	11.7163	4.0169	0.1124	104.2118	35.729	NA	0	2e-04	NA	0	6e-04	NA
011b116b1e264e2cde7ec36aa569ad7c	11.9413	9.014	0.8257	11.9413	9.014	0.0917	130.1515	98.2458	NA	0	0	NA	0	0	NA
0127000197e26a049598b4a6d0225ba2	6.7852	3.4695	1.9901	6.7852	3.4695	0.2211	30.685	15.6902	NA	4e-04	0.0033	NA	8e-04	0.006	NA
013c9c13c8d7029019462bef0627adba	7.9141	5.798	1.4177	7.9141	5.798	0.1575	50.2411	36.8076	NA	1e-04	2e-04	NA	2e-04	5e-04	NA
