treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	1.1682	0.0673	4.2902	1.1682	0.0673	0.4767	2.4506	0.1411	NA	0.1519	0.7159	NA	0.1823	0.7511	NA
0032aede248babc5516f057b3bcd4409	1.7084	3.643	1.9965	1.7084	3.643	0.2218	7.7012	16.4226	NA	0.0216	0.0029	NA	0.0322	0.0061	NA
0051ee453ff489fa79b20379bcc79b6b	2.3991	9.7853	1.4888	2.3991	9.7853	0.1654	14.5032	59.155	NA	0.0042	0	NA	0.0091	2e-04	NA
00539cb2af8b7b06ee1279130fa2f307	7.6313	15.6231	2.8238	7.6313	15.6231	0.3138	24.3228	49.7945	NA	8e-04	1e-04	NA	0.0045	4e-04	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.7303	9.0351	1.9651	0.7303	9.0351	0.2183	3.3447	41.3798	NA	0.1007	1e-04	NA	0.1256	6e-04	NA
00823592d773ca77be3da202ae020b29	2.4161	15.1993	1.8404	2.4161	15.1993	0.2045	11.8148	74.3261	NA	0.0074	0	NA	0.0135	1e-04	NA
0092362bbf11972deda26d5b9e919f85	11.8987	5.8287	3.7469	11.8987	5.8287	0.4163	28.5804	14.0004	NA	5e-04	0.0046	NA	0.0044	0.009	NA
00a550b3fa43f178639afb2a02540b16	8.3643	1.8376	1.6975	8.3643	1.8376	0.1886	44.3476	9.7431	NA	1e-04	0.0123	NA	0.0041	0.0209	NA
00c4a692e67b1c93a289ffcae447cfcf	3.9368	0.106	4.8229	3.9368	0.106	0.5359	7.3465	0.1979	NA	0.024	0.6669	NA	0.0353	0.7069	NA
00c6a28930e3eafc29b6cf8827820e4c	1.462	3.4973	2.8542	1.462	3.4973	0.3171	4.6099	11.0278	NA	0.0603	0.0089	NA	0.0797	0.0159	NA
00cee8684ccbb62fce87c20103b8aed2	5.9326	10.5555	3.1189	5.9326	10.5555	0.3465	17.1192	30.4589	NA	0.0025	4e-04	NA	0.0067	0.0012	NA
011b116b1e264e2cde7ec36aa569ad7c	8.0532	20.3297	2.4944	8.0532	20.3297	0.2772	29.0566	73.3512	NA	4e-04	0	NA	0.0044	1e-04	NA
0127000197e26a049598b4a6d0225ba2	1.7457	0.7538	3.547	1.7457	0.7538	0.3941	4.4295	1.9128	NA	0.0646	0.2	NA	0.0846	0.2435	NA
013c9c13c8d7029019462bef0627adba	9.2989	10.8831	5.0143	9.2989	10.8831	0.5571	16.6903	19.5338	NA	0.0027	0.0017	NA	0.0069	0.0039	NA
01524ceb0052552ad3c425bf777b0b3a	4.3162	2.9496	1.8285	4.3162	2.9496	0.2032	21.2448	14.5182	NA	0.0013	0.0042	NA	0.005	0.0082	NA
01525c063123cb2134c64e84ad1e2118	4.983	3.7896	1.6183	4.983	3.7896	0.1798	27.7126	21.0755	NA	5e-04	0.0013	NA	0.0044	0.0032	NA
0160f5a856b526939ba1062b1cc9df76	6.2961	16.442	4.7675	6.2961	16.442	0.5297	11.8856	31.0386	NA	0.0073	3e-04	NA	0.0133	0.0012	NA
017a60cbade7b309db182bcabe59d6a4	0.138	0.106	2.2212	0.138	0.106	0.2468	0.5593	0.4295	NA	0.4736	0.5286	NA	0.5127	0.5759	NA
017d459400583fe36857c77a1d541f39	5.8617	18.8906	1.9889	5.8617	18.8906	0.221	26.5251	85.4828	NA	6e-04	0	NA	0.0044	1e-04	NA
018de0ee05bc68de9383baf688539f9f	8.2513	0.0616	2.2099	8.2513	0.0616	0.2455	33.6036	0.2509	NA	3e-04	0.6285	NA	0.0042	0.6714	NA
019ee757485f09fa0c7881843036a765	0.0649	1.273	3.737	0.0649	1.273	0.4152	0.1564	3.0658	NA	0.7017	0.1139	NA	0.7302	0.1482	NA
019f94720ba42ef1861b87fc58cdd3de	4.3343	27.1115	7.3251	4.3343	27.1115	0.8139	5.3253	33.3107	NA	0.0464	3e-04	NA	0.0631	0.001	NA
01ac16555e036cea2ece2a239591aae6	4.9485	10.2756	3.0987	4.9485	10.2756	0.3443	14.3725	29.8444	NA	0.0043	4e-04	NA	0.0092	0.0013	NA
01b2f3b340d5c58058b29719f8ce8d4e	0.2456	2.8232	1.3383	0.2456	2.8232	0.1487	1.6516	18.9858	NA	0.2308	0.0018	NA	0.2675	0.0042	NA
01e013346904f75a91f713c559585ff7	0.2365	14.8766	2.0397	0.2365	14.8766	0.2266	1.0436	65.6413	NA	0.3337	0	NA	0.3734	2e-04	NA
01e7154d4b5f3188595e288aeab7f7a0	7.2192	13.2695	3.8555	7.2192	13.2695	0.4284	16.852	30.9755	NA	0.0027	3e-04	NA	0.0068	0.0012	NA
01e9bb0d97f8ed373a8d529ffb971acc	3.4517	4.7293	1.4402	3.4517	4.7293	0.16	21.5695	29.5532	NA	0.0012	4e-04	NA	0.005	0.0013	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.805	12.7909	1.3877	0.805	12.7909	0.1542	5.2211	82.9558	NA	0.0482	0	NA	0.065	1e-04	NA
0202a0b2dfad6a6e5b225afdddaf5729	1.3146	0.1376	1.0002	1.3146	0.1376	0.1111	11.8293	1.2379	NA	0.0074	0.2947	NA	0.0135	0.3433	NA
02104476719f02b32307edfdb1e6a0c4	5.2361	1.8672	1.366	5.2361	1.8672	0.1518	34.4973	12.3021	NA	2e-04	0.0066	NA	0.0042	0.0123	NA
022b87e073ba519506a6d0d9dac1bba1	10.8803	1.3258	3.4193	10.8803	1.3258	0.3799	28.6383	3.4896	NA	5e-04	0.0946	NA	0.0044	0.1256	NA
026f6d9d6a5c591d5465aaeddf6222f1	10.5055	0.0522	3.839	10.5055	0.0522	0.4266	24.6288	0.1223	NA	8e-04	0.7346	NA	0.0045	0.7669	NA
028a375a3a51f2d5d05b85cf4ef10890	4.7254	6.3911	1.7378	4.7254	6.3911	0.1931	24.4733	33.0998	NA	8e-04	3e-04	NA	0.0045	0.001	NA
02a63d174c8502c109303db99cf1e437	5.2048	9.1833	1.8278	5.2048	9.1833	0.2031	25.6283	45.2182	NA	7e-04	1e-04	NA	0.0044	4e-04	NA
