treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	2.957	7.7783	1.3168	2.957	7.7783	0.1463	20.2107	53.1635	NA	0.0015	0	NA	0.0031	2e-04	NA
00089b46831e8ef8664d2a632b8145c5	1.5242	0.5507	0.8181	1.5242	0.5507	0.0909	16.7673	6.0579	NA	0.0027	0.0361	NA	0.0051	0.0513	NA
002707428636a815354367f102120956	0.1166	12.7151	4.5951	0.1166	12.7151	0.5106	0.2284	24.9037	NA	0.6441	7e-04	NA	0.674	0.0019	NA
002f1a45b5c69d673731dd633504a01e	2.1748	15.0126	0.6619	2.1748	15.0126	0.0735	29.5706	204.1293	NA	4e-04	0	NA	0.0012	0	NA
00361d4ec0f6bc9593b3365b7718c95b	24.2105	0.0351	0.8187	24.2105	0.0351	0.091	266.1612	0.3855	NA	0	0.5501	NA	1e-04	0.5889	NA
0036d59b9c2c58b22fd5945b4aa3f348	14.5803	1.7618	4.2479	14.5803	1.7618	0.472	30.8909	3.7326	NA	4e-04	0.0854	NA	0.0011	0.1111	NA
0046281d7bcee40b30209fff59cb8a72	1.7306	4.7733	0.7641	1.7306	4.7733	0.0849	20.3832	56.2215	NA	0.0015	0	NA	0.0031	2e-04	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.0354	0.1346	4.3474	0.0354	0.1346	0.483	0.0734	0.2785	NA	0.7926	0.6104	NA	0.813	0.6469	NA
005e34772346d65b74ff2f90ea4ec0ee	10.0923	0.3012	1.2026	10.0923	0.3012	0.1336	75.5295	2.2544	NA	0	0.1675	NA	4e-04	0.2043	NA
008277a5fd42cb04f88c34a26df200ce	1.6732	0.4875	0.9139	1.6732	0.4875	0.1015	16.4779	4.8012	NA	0.0028	0.0561	NA	0.0053	0.0764	NA
00b05a391e262ebf75433a5901c94f69	9.6302	3.7671	1.139	9.6302	3.7671	0.1266	76.097	29.767	NA	0	4e-04	NA	4e-04	0.0012	NA
00b65cc09893d47765ac0925658ae35e	5.2657	7.2181	0.5367	5.2657	7.2181	0.0596	88.2981	121.0371	NA	0	0	NA	3e-04	0	NA
00c799f63b8289b2b606e7f2e056cf59	14.504	2.982	4.1489	14.504	2.982	0.461	31.4629	6.4687	NA	3e-04	0.0315	NA	0.0011	0.0456	NA
0104f91f1cc33e553be3bfc68a517ce7	9.797	2.4931	1.1413	9.797	2.4931	0.1268	77.2585	19.6606	NA	0	0.0016	NA	4e-04	0.0036	NA
010f0a7d84a28949c78be5930457dabc	0.0115	0.0818	0.9155	0.0115	0.0818	0.1017	0.1126	0.804	NA	0.7448	0.3932	NA	0.7681	0.4367	NA
0141cc500b9cfd472681696cfe8f2eb1	8.763	16.4609	2.2791	8.763	16.4609	0.2532	34.6046	65.0029	NA	2e-04	0	NA	9e-04	1e-04	NA
014e0244ce0227c40879daa0bae73ee2	0.8235	23.3825	1.1188	0.8235	23.3825	0.1243	6.6247	188.0994	NA	0.03	0	NA	0.0407	0	NA
01532d9e56ecb072ab5a8eaa9b39de5c	1.0555	1.039	1.2314	1.0555	1.039	0.1368	7.7146	7.5936	NA	0.0215	0.0223	NA	0.0301	0.0334	NA
016131c962c5b8b9fa691ffd928a7ad7	4.1105	5.1736	1.3784	4.1105	5.1736	0.1532	26.8381	33.7791	NA	6e-04	3e-04	NA	0.0016	8e-04	NA
01736729cfb0d535468b43ecf6f2282f	0.4988	0.5549	0.252	0.4988	0.5549	0.028	17.8179	19.8207	NA	0.0022	0.0016	NA	0.0043	0.0035	NA
01748fb97de74d17bdb942aeaa74a1aa	2.6277	4.2033	2.8586	2.6277	4.2033	0.3176	8.2731	13.2339	NA	0.0183	0.0054	NA	0.0261	0.0098	NA
018166381b3825f4433929cd661c73b1	0.1902	6.4886	2.0043	0.1902	6.4886	0.2227	0.8543	29.1353	NA	0.3795	4e-04	NA	0.4149	0.0013	NA
01b59402bea919155f2b72585914dc28	2.2887	3.4472	1.2534	2.2887	3.4472	0.1393	16.4345	24.7533	NA	0.0029	8e-04	NA	0.0053	0.0019	NA
01ba5a538d3091e6f291367ab4c114de	4.5469	3.3313	7.8951	4.5469	3.3313	0.8772	5.1832	3.7975	NA	0.0488	0.0831	NA	0.063	0.1084	NA
01bea577aa60b2f19561a6239f841214	9.7123	2.4425	1.5584	9.7123	2.4425	0.1732	56.0886	14.1053	NA	0	0.0045	NA	5e-04	0.0085	NA
01ec87fc65833175cd78632f91b9c013	2.5007	16.6513	2.3661	2.5007	16.6513	0.2629	9.5121	63.3366	NA	0.0131	0	NA	0.0194	1e-04	NA
01eeb07eabe250603ae069b7c9a1b78a	12.1843	2.9332	0.8684	12.1843	2.9332	0.0965	126.2701	30.3976	NA	0	4e-04	NA	2e-04	0.0011	NA
01f55d0674a1fc462804f5dcf6ed0312	2.241	3.2454	2.4647	2.241	3.2454	0.2739	8.1832	11.8508	NA	0.0188	0.0074	NA	0.0267	0.0128	NA
021b2869c2627d813d2146e5a70b97da	0.5675	2.7225	3.1368	0.5675	2.7225	0.3485	1.6283	7.8114	NA	0.2339	0.0209	NA	0.2669	0.0317	NA
022ffb62b99d7950cce0c04b7db390a5	7.2861	6.8279	3.6148	7.2861	6.8279	0.4016	18.1408	17	NA	0.0021	0.0026	NA	0.0041	0.0053	NA
0244cf9b127275065b7596de45620f3c	1.8887	15.7228	3.0249	1.8887	15.7228	0.3361	5.6196	46.7807	NA	0.0419	1e-04	NA	0.0548	3e-04	NA
029ac96df8a3842cd51b0e24cb25d147	33.2837	4.601	2.7026	33.2837	4.601	0.3003	110.8379	15.3216	NA	0	0.0035	NA	3e-04	0.0069	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	3.5058	0.9478	0.7471	3.5058	0.9478	0.083	42.2336	11.4182	NA	1e-04	0.0081	NA	6e-04	0.014	NA
02b33d576f65cc2a7b11d181440278fe	5.8528	2.2735	0.7589	5.8528	2.2735	0.0843	69.4141	26.9639	NA	0	6e-04	NA	4e-04	0.0015	NA
02c5ba36522584f868e4d3548c1e02af	7.5125	2.1242	1.4097	7.5125	2.1242	0.1566	47.9635	13.5618	NA	1e-04	0.0051	NA	5e-04	0.0093	NA
02d5baf4915b88cd26c96b95b5015208	0.6172	13.86	6.0231	0.6172	13.86	0.6692	0.9222	20.7102	NA	0.362	0.0014	NA	0.3978	0.0032	NA
02de9d9c220bb2b88a240926da4a39e9	8.673	0.006	4.3133	8.673	0.006	0.4793	18.0969	0.0125	NA	0.0021	0.9133	NA	0.0041	0.9266	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	14.9392	4.2997	11.3489	14.9392	4.2997	1.261	11.8472	3.4098	NA	0.0074	0.0979	NA	0.0118	0.1255	NA
0308e44d8c5c89fef7d2aa63090a9a8c	30.6284	0.8233	4.2558	30.6284	0.8233	0.4729	64.7711	1.7411	NA	0	0.2196	NA	4e-04	0.2602	NA
0316f5eb4d9b051e65b40cebf08edbba	3e-04	7.4029	1.9581	3e-04	7.4029	0.2176	0.0012	34.0265	NA	0.9727	2e-04	NA	0.9746	8e-04	NA
033d19faa0ce86082c0215df5bffbdb5	4.8844	0.0208	1.0548	4.8844	0.0208	0.1172	41.6753	0.1772	NA	1e-04	0.6837	NA	6e-04	0.7189	NA
03522a86e8b54bd9508023e65e04dfd1	5.101	0.8575	0.5967	5.101	0.8575	0.0663	76.9429	12.9339	NA	0	0.0058	NA	4e-04	0.0103	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.1508	8.467	0.7944	0.1508	8.467	0.0883	1.7088	95.9232	NA	0.2235	0	NA	0.2562	1e-04	NA
035ad00cb4268363afb29c9db102e959	0.1618	8.2603	2.0913	0.1618	8.2603	0.2324	0.6964	35.5492	NA	0.4256	2e-04	NA	0.4606	7e-04	NA
0362c5f6815777388ea02ff51947c85e	13.8481	4.8929	2.1276	13.8481	4.8929	0.2364	58.5783	20.6975	NA	0	0.0014	NA	4e-04	0.0032	NA
0366632c1fdcf16e8c7b8699f543b6a6	14.287	2.5281	2.7169	14.287	2.5281	0.3019	47.3266	8.3745	NA	1e-04	0.0178	NA	5e-04	0.0275	NA
036fd95372a59cb54c18db11e833a6e5	0.1023	4.0992	5.7777	0.1023	4.0992	0.642	0.1594	6.3854	NA	0.699	0.0324	NA	0.7272	0.0466	NA
0386c2c39453985371b1e0a028dae5bd	9.4864	11.3213	4.4053	9.4864	11.3213	0.4895	19.3805	23.129	NA	0.0017	0.001	NA	0.0035	0.0023	NA
03a7140d58c2f4370a116f4370db71b2	30.3927	0.882	3.5766	30.3927	0.882	0.3974	76.4797	2.2193	NA	0	0.1705	NA	4e-04	0.2074	NA
03aa788c08141e567920d07949ef1597	2.2931	15.7527	2.2065	2.2931	15.7527	0.2452	9.3529	64.2518	NA	0.0136	0	NA	0.0202	1e-04	NA
03c3804b27717d58097d438f97396ac2	3.5754	2.1765	1.5329	3.5754	2.1765	0.1703	20.9926	12.7789	NA	0.0013	0.006	NA	0.0029	0.0106	NA
03e3fa5681989615172a9cbfa48c2700	4.6379	22.7732	3.1511	4.6379	22.7732	0.3501	13.2465	65.0434	NA	0.0054	0	NA	0.009	1e-04	NA
03f1014e7b49b7d27f67c5e9d6cf9f5a	8.1123	0.0083	1.4665	8.1123	0.0083	0.1629	49.7867	0.0506	NA	1e-04	0.827	NA	5e-04	0.8497	NA
03f189aa58435a27b6de7eb961b20307	0.7936	11.2598	1.3799	0.7936	11.2598	0.1533	5.1758	73.4381	NA	0.049	0	NA	0.0632	1e-04	NA
03f6204f70f7051b6767b3afeff3de7c	3.5742	0.1275	2.0725	3.5742	0.1275	0.2303	15.521	0.5536	NA	0.0034	0.4758	NA	0.0061	0.5163	NA
040d33a988e7004112ecdeb4e029b32f	1.7372	9.9514	3.4528	1.7372	9.9514	0.3836	4.5282	25.939	NA	0.0622	7e-04	NA	0.0787	0.0017	NA
041ea541f1c4f5b3ffdc193464a3c139	12.2603	1.3101	2.7096	12.2603	1.3101	0.3011	40.723	4.3516	NA	1e-04	0.0666	NA	6e-04	0.0888	NA
04327e5022331564cf8543999a1eac1e	15.1185	2.2192	2.8592	15.1185	2.2192	0.3177	47.5891	6.9854	NA	1e-04	0.0268	NA	5e-04	0.0393	NA
043aab733df943204ad5f00be077291c	3.1686	15.6127	1.8509	3.1686	15.6127	0.2057	15.4071	75.9151	NA	0.0035	0	NA	0.0062	1e-04	NA
0445b4e8e7b7b2d747e4176d95f1c3c0	3.8644	2.072	1.4911	3.8644	2.072	0.1657	23.3243	12.5059	NA	9e-04	0.0064	NA	0.0022	0.0112	NA
0468f59da37cad8e1d8dc328ddff8811	5.9379	6.7507	1.5417	5.9379	6.7507	0.1713	34.6628	39.4078	NA	2e-04	1e-04	NA	9e-04	5e-04	NA
04a48bc130a4ad3b04ea1cd490215ce1	2.0856	4.4846	1.0969	2.0856	4.4846	0.1219	17.1115	36.7941	NA	0.0025	2e-04	NA	0.0048	6e-04	NA
04c4e57c46ca8bf11cdf9eb198513e84	1.8795	1.762	6.4866	1.8795	1.762	0.7207	2.6077	2.4448	NA	0.1408	0.1524	NA	0.1666	0.1876	NA
04cef292ee0cff68868246ddf95d083d	2.7049	3.4733	0.8229	2.7049	3.4733	0.0914	29.5818	37.986	NA	4e-04	2e-04	NA	0.0012	6e-04	NA
04f1ced8ad0e946accff2a2b496ddfe3	5.0161	0.1976	2.249	5.0161	0.1976	0.2499	20.0736	0.7906	NA	0.0015	0.3971	NA	0.0032	0.4405	NA
04fbd5fe46912524de63a47ead8f613c	1.3453	0.1356	2.3112	1.3453	0.1356	0.2568	5.2386	0.5282	NA	0.0479	0.4858	NA	0.062	0.526	NA
05076569f381c0d2a23fe7ecc0a3c2af	12.2484	8.6656	2.738	12.2484	8.6656	0.3042	40.2609	28.4842	NA	1e-04	5e-04	NA	7e-04	0.0013	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	0.4613	12.869	1.8669	0.4613	12.869	0.2074	2.2238	62.04	NA	0.1701	0	NA	0.1982	2e-04	NA
053688555df31be6aa7b8a21f3d0b7c2	7.5811	2.2611	1.3117	7.5811	2.2611	0.1457	52.0176	15.5144	NA	1e-04	0.0034	NA	5e-04	0.0066	NA
055582bf87abfc587b152016a37adea2	8.0914	3.1221	3.4811	8.0914	3.1221	0.3868	20.9194	8.0719	NA	0.0013	0.0194	NA	0.0029	0.0296	NA
0586aaf9e2db94ce68674fcfc109de01	3.8398	26.5061	3.481	3.8398	26.5061	0.3868	9.9277	68.53	NA	0.0117	0	NA	0.0177	1e-04	NA
05871147ff12b16b162fac81396e211a	2.0266	0.6033	1.1838	2.0266	0.6033	0.1315	15.4069	4.5865	NA	0.0035	0.0609	NA	0.0062	0.082	NA
059f46cc760a6f4330ae67c7a1edffe4	3.7119	0.0678	1.2553	3.7119	0.0678	0.1395	26.6135	0.486	NA	6e-04	0.5033	NA	0.0016	0.5424	NA
05b0dee66b0a70f529ddb70ec3be9155	12.4468	13.9125	3.2939	12.4468	13.9125	0.366	34.0084	38.0131	NA	2e-04	2e-04	NA	9e-04	6e-04	NA
05b5b9f513a86c3fc939918fcfb060f8	5.4756	14.3026	1.5255	5.4756	14.3026	0.1695	32.3049	84.3828	NA	3e-04	0	NA	0.001	1e-04	NA
05db447f5d09ea1e6ea1697bc67c868d	7.6026	5.5133	2.2705	7.6026	5.5133	0.2523	30.1356	21.8538	NA	4e-04	0.0012	NA	0.0012	0.0027	NA
05dfade82ae64d4b1a7791a874417099	0.8455	3.7278	0.7874	0.8455	3.7278	0.0875	9.6652	42.6115	NA	0.0125	1e-04	NA	0.0188	4e-04	NA
0601ba88d2b9420350741fd55855a7c4	0.6227	1.7789	2.7034	0.6227	1.7789	0.3004	2.073	5.9222	NA	0.1838	0.0378	NA	0.2131	0.0534	NA
062723cfae28faef10350f5beadec93d	2.4814	3.3318	2.786	2.4814	3.3318	0.3096	8.0158	10.7632	NA	0.0197	0.0095	NA	0.0278	0.0159	NA
064c5e95d0c67527732fe85f85708295	0.1797	1.7287	1.7826	0.1797	1.7287	0.1981	0.9074	8.7278	NA	0.3657	0.0161	NA	0.4013	0.0252	NA
06795382cb692df13dca015886e99298	7.2379	2.6849	1.2289	7.2379	2.6849	0.1365	53.0084	19.6636	NA	0	0.0016	NA	5e-04	0.0036	NA
068c8de1b96f28d79f44c89661ee191e	3.3727	0.8546	2.5284	3.3727	0.8546	0.2809	12.0056	3.0419	NA	0.0071	0.1151	NA	0.0115	0.1455	NA
06a4eb7816802860e8f9cc3bca823a65	4.646	1.0683	1.5035	4.646	1.0683	0.1671	27.8105	6.3948	NA	5e-04	0.0323	NA	0.0014	0.0465	NA
06b6b456fa4091284cee40092b308586	6.7411	0.5262	1.2417	6.7411	0.5262	0.138	48.8606	3.8137	NA	1e-04	0.0826	NA	5e-04	0.1078	NA
06cbc422c4d20876f4a9fa841c3d0ce5	0.1172	3.2802	29.7363	0.1172	3.2802	3.304	0.0355	0.9928	NA	0.8548	0.3451	NA	0.869	0.3886	NA
06e58c7b6d9cbfe399d79065c0df6afd	2.1603	1.8098	3.1449	2.1603	1.8098	0.3494	6.1824	5.1791	NA	0.0346	0.0489	NA	0.0463	0.0677	NA
06ec4df660ba5b185668760f897bdabb	3.4169	7.1914	2.2245	3.4169	7.1914	0.2472	13.8246	29.0958	NA	0.0048	4e-04	NA	0.0081	0.0013	NA
070c2a52057eaf5505e61f8cd3dd357a	14.058	0.1619	3.4214	14.058	0.1619	0.3802	36.9796	0.426	NA	2e-04	0.5303	NA	8e-04	0.5699	NA
071118f14eab5b3ab5d917fb0653a477	1.2939	0.3031	3.6787	1.2939	0.3031	0.4087	3.1655	0.7416	NA	0.1089	0.4115	NA	0.1316	0.4537	NA
07555ed9a6e1195b603bd64e380a8372	1.4078	2.7604	0.7832	1.4078	2.7604	0.087	16.177	31.7189	NA	0.003	3e-04	NA	0.0055	0.001	NA
077a602ab0548df2f18d2d2103ec2499	11.0115	3.2512	1.2095	11.0115	3.2512	0.1344	81.9404	24.1932	NA	0	8e-04	NA	3e-04	0.0021	NA
078004302d4d901ea5ad798557260404	1.2285	0.4577	0.8654	1.2285	0.4577	0.0962	12.7758	4.7595	NA	0.006	0.057	NA	0.0099	0.0773	NA
0798df613d1cdef53d0d95eed037f59d	2.7974	14.061	1.0096	2.7974	14.061	0.1122	24.9372	125.346	NA	7e-04	0	NA	0.0019	0	NA
07a251ab9902f7bf92c90998e724cbe8	24.4803	0.0011	5.2486	24.4803	0.0011	0.5832	41.9775	0.002	NA	1e-04	0.9657	NA	6e-04	0.9698	NA
07a8e0221d3e960563e7beae3308dac0	2.1144	3.2709	6.4849	2.1144	3.2709	0.7205	2.9345	4.5395	NA	0.1209	0.062	NA	0.1448	0.0833	NA
07bb92c9ac32dd91d62ee20310a4029f	3.1182	20.0632	1.8174	3.1182	20.0632	0.2019	15.442	99.3569	NA	0.0035	0	NA	0.0061	0	NA
080cf0b45696411f418e0b3550e58337	1.2393	0.1602	1.1474	1.2393	0.1602	0.1275	9.7213	1.2565	NA	0.0124	0.2913	NA	0.0185	0.3342	NA
0832bc626cd4d1471e021ac0d9353b9b	7.9459	15.8239	1.4002	7.9459	15.8239	0.1556	51.0745	101.7124	NA	1e-04	0	NA	5e-04	0	NA
0834282a8c71d24b5e1bd78112773c27	1.9495	0.3367	2.2459	1.9495	0.3367	0.2495	7.8122	1.3491	NA	0.0209	0.2753	NA	0.0294	0.3178	NA
08347b66b3b857ae477515178de93b41	0.6265	0.7948	0.7579	0.6265	0.7948	0.0842	7.4398	9.4386	NA	0.0233	0.0133	NA	0.0323	0.0214	NA
084730dabba66e5c714a6766e89be25d	7.7127	3.4852	1.3831	7.7127	3.4852	0.1537	50.1891	22.6791	NA	1e-04	0.001	NA	5e-04	0.0025	NA
0877836a10cd97170a3abbd52aa48591	8.416	19.5361	5.4752	8.416	19.5361	0.6084	13.8341	32.1131	NA	0.0048	3e-04	NA	0.0081	0.001	NA
087ffde31fe2d006cfeb589feda28da6	0.0014	1.5478	6.1808	0.0014	1.5478	0.6868	0.002	2.2538	NA	0.9653	0.1675	NA	0.9684	0.2043	NA
0890808ca007108fe5192233a4dfb9e5	15.038	5.7287	3.9696	15.038	5.7287	0.4411	34.0945	12.9882	NA	2e-04	0.0057	NA	9e-04	0.0102	NA
089d089f65da01cc423f07a7eb60033a	0.9552	8.0211	2.5629	0.9552	8.0211	0.2848	3.3542	28.1674	NA	0.1003	5e-04	NA	0.1219	0.0014	NA
08a4968eeda59c7acd900077bfae713e	9.2701	5.6319	2.0246	9.2701	5.6319	0.225	41.2086	25.0355	NA	1e-04	7e-04	NA	6e-04	0.0019	NA
08cbc4f2e8933d996cf84b70e49670a2	0.6109	22.3756	1.5221	0.6109	22.3756	0.1691	3.612	132.3062	NA	0.0898	0	NA	0.1102	0	NA
08d3d26d6e3fe9f10e90b403789b3d83	2.9215	18.7474	1.3264	2.9215	18.7474	0.1474	19.8224	127.2016	NA	0.0016	0	NA	0.0033	0	NA
08e569309864ee41306b9f6f02fe8e1a	10.4976	0.8662	1.7219	10.4976	0.8662	0.1913	54.8704	4.5276	NA	0	0.0622	NA	5e-04	0.0836	NA
08f4ef24fffb6950afd0ff7606221b27	33.3125	4.41	6.0161	33.3125	4.41	0.6685	49.8348	6.5973	NA	1e-04	0.0303	NA	5e-04	0.0439	NA
08fbb11881e6984dbf704aba13edecc7	4.1138	0.9625	4.7092	4.1138	0.9625	0.5232	7.8621	1.8396	NA	0.0206	0.208	NA	0.029	0.2482	NA
09047b92207cfdea1751eeb91c7511a5	1.0421	3.3594	1.2458	1.0421	3.3594	0.1384	7.5287	24.2697	NA	0.0227	8e-04	NA	0.0316	0.0021	NA
090fdadffdc9c34a2064748fc9e5d12d	0.0048	1.525	1.0475	0.0048	1.525	0.1164	0.041	13.1023	NA	0.8441	0.0056	NA	0.8601	0.0101	NA
093b67bd5d23b19ff1778a546874a3cf	3.4394	0.5097	1.7615	3.4394	0.5097	0.1957	17.573	2.6041	NA	0.0023	0.141	NA	0.0045	0.175	NA
0956b7bd06f0de67bf3cb46519c2da7b	34.7635	2.3368	9.2304	34.7635	2.3368	1.0256	33.8956	2.2784	NA	3e-04	0.1655	NA	9e-04	0.2022	NA
0965e9926203af401da74e68c86f6813	11.927	12.7164	2.7641	11.927	12.7164	0.3071	38.8346	41.4049	NA	2e-04	1e-04	NA	7e-04	5e-04	NA
09732539a9924551683e5f0efe93b02d	0.51	0.0081	1.0506	0.51	0.0081	0.1167	4.3686	0.0694	NA	0.0662	0.7981	NA	0.0832	0.8228	NA
09736b451b7eb043dc111fb2ee8214cc	0.3689	6.8763	0.8482	0.3689	6.8763	0.0942	3.9139	72.9648	NA	0.0793	0	NA	0.0986	1e-04	NA
098ae82bdb0feea3ac29a557c8b60545	1.584	7.884	0.921	1.584	7.884	0.1023	15.479	77.0415	NA	0.0034	0	NA	0.0061	1e-04	NA
09a221cd876550f9a66f574989c42652	0.0643	0.0281	1.823	0.0643	0.0281	0.2026	0.3173	0.1387	NA	0.587	0.7182	NA	0.62	0.7512	NA
09ab16ca236d0aa7c13cde1c46908d23	3.7618	16.1447	1.655	3.7618	16.1447	0.1839	20.4577	87.7984	NA	0.0014	0	NA	0.0031	1e-04	NA
09ba50ab03b97ab549dbeca40b82674b	1.0198	7.8835	4.0293	1.0198	7.8835	0.4477	2.2779	17.6089	NA	0.1655	0.0023	NA	0.1932	0.0048	NA
09bd83931ff7cbe1969133c4f7bacdbb	1.9229	18.5605	2.0632	1.9229	18.5605	0.2292	8.3882	80.9658	NA	0.0177	0	NA	0.0254	1e-04	NA
09d506033e514d969c913f3579d13b92	6.1063	3.0392	1.2522	6.1063	3.0392	0.1391	43.8878	21.8436	NA	1e-04	0.0012	NA	6e-04	0.0027	NA
09de96808a579ac05ea006652e6d788c	7.6672	6.7562	3.5054	7.6672	6.7562	0.3895	19.6853	17.3466	NA	0.0016	0.0024	NA	0.0034	0.005	NA
09ee91382cc473f59d4f1e428fc3b1e3	0.0936	10.6565	2.089	0.0936	10.6565	0.2321	0.4033	45.9104	NA	0.5412	1e-04	NA	0.575	3e-04	NA
09f4e1aab8d71a288e6e80a3f26cf7b6	4.3977	17.9011	1.9498	4.3977	17.9011	0.2166	20.2987	82.6275	NA	0.0015	0	NA	0.0031	1e-04	NA
0a022518376fa3bae6fb9626891a8e68	7.4227	2.1405	0.9903	7.4227	2.1405	0.11	67.455	19.4523	NA	0	0.0017	NA	4e-04	0.0037	NA
0a043c0c4c8f9286a02edad0d7e97dc6	13.1906	44.7645	3.1441	13.1906	44.7645	0.3493	37.7583	128.1391	NA	2e-04	0	NA	7e-04	0	NA
0a1a691f58a5149289e312041aedbb5a	0.3374	1.9499	4.2487	0.3374	1.9499	0.4721	0.7147	4.1305	NA	0.4198	0.0727	NA	0.4548	0.096	NA
0a2da5a909a729f5100866a5079035eb	13.0088	6.752	1.5746	13.0088	6.752	0.175	74.3529	38.5916	NA	0	2e-04	NA	4e-04	6e-04	NA
0a7030a9d1a86d43184dc51c68f817dc	1.4183	19.6497	2.0185	1.4183	19.6497	0.2243	6.3237	87.6128	NA	0.0331	0	NA	0.0444	1e-04	NA
0a795ad66ac9159193b95c6e00ce61ca	2.1836	12.6054	1.791	2.1836	12.6054	0.199	10.9728	63.3433	NA	0.009	0	NA	0.0141	1e-04	NA
0a7fded2e35667c9f8f598e1f932cb17	4.744	13.4543	1.6703	4.744	13.4543	0.1856	25.5618	72.4951	NA	7e-04	0	NA	0.0017	1e-04	NA
0a86ef38bef26a5aab905db456556f5a	6.3563	1.3862	4.7091	6.3563	1.3862	0.5232	12.1481	2.6494	NA	0.0069	0.138	NA	0.0112	0.1716	NA
0aa2c204d7afc160e9d32634290f96a1	0.7348	0.1266	1.3108	0.7348	0.1266	0.1456	5.0453	0.8689	NA	0.0513	0.3756	NA	0.0658	0.4192	NA
0aaaade0279c9941f20edd8e0974d46d	15.8632	0.9468	2.4801	15.8632	0.9468	0.2756	57.5657	3.436	NA	0	0.0968	NA	4e-04	0.1242	NA
0aabe7f270ba9ad1e72d8bf339802318	4.0233	2.8349	1.9027	4.0233	2.8349	0.2114	19.0308	13.4094	NA	0.0018	0.0052	NA	0.0037	0.0096	NA
